fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,18270652000,5216919000,889900000,168928000,2161287000,2309490000,14375549000,9382766000,None,1891587000,261858000,1629729000,1351466000,1369855000,168928000,443475000,297087000,8858472000,3560462000,None,78027000,635463000,656344000,5904194000,104484000,4166763000,625761000,3541002000,4166763000,560918000,769100000,9412180000,None,6987015000,1174000,117356000
2023-09-30,18883354000,7125562000,1601668000,1844817000,3404212000,1707756000,12021629000,8308615000,2620535000,1866618000,260541000,1606077000,280881000,1254041000,243149000,411926000,328518000,8985539000,3941612000,None,None,171801000,162351000,5036805000,114993000,3658322000,162351000,3495971000,3658322000,1530855000,807051000,9897815000,None,7651638000,1174000,117352000
2023-06-30,19109668000,7454777000,1599738000,1794462000,3658623000,1771058000,11918473000,7854541000,2542424000,1909232000,274409000,1634823000,279500000,1621424000,194724000,425358000,269694000,9294359000,4291513000,None,None,15617000,6247000,4989211000,115806000,3515536000,6247000,3509289000,3515536000,2325198000,700825000,9815309000,None,7396045000,1174000,117340000
2023-03-31,17564358000,6657575000,1586734000,1764237000,3180825000,1664475000,11115603000,7353489000,2476768000,1918660000,284508000,1634152000,273976000,1391229000,177503000,225541000,243405000,8351623000,3505369000,1758254000,None,7039000,2167000,4808433000,73903000,3235560000,2167000,3233393000,3235560000,732126000,686655000,9212735000,None,6792938000,1173000,117299000
2022-12-31,15456522000,5186917000,1499142000,5890000,2076031000,1590440000,11121233000,6962997000,2391333000,1905497000,287870000,1617627000,1131793000,1150553000,5890000,234955000,250558000,7473895000,2741015000,1533624000,0,7123000,2128000,5169528000,74409000,3217100000,2128000,3214972000,3217100000,686886000,636596000,7982627000,None,5601277000,1172000,117168000
2022-09-30,13828502000,4296971000,1382803000,1395000000,1614299000,1170826000,9732756000,6425107000,2288664000,1730832000,262984000,1467848000,260901000,1158535000,12197000,129043000,217057000,7095866000,2487951000,1651866000,None,254939000,251216000,4583561000,70758000,3369969000,251216000,3118753000,3369969000,584869000,597980000,6732636000,None,4515115000,1171000,117145000
2022-06-30,12520405000,3350104000,930596000,930596000,1216213000,1086624000,9378427000,6208024000,2257379000,1828070000,285303000,1542767000,256064000,903861000,None,116671000,230346000,6435114000,1781762000,1091583000,None,255503000,251304000,4653405000,72194000,3457034000,251304000,3205730000,3457034000,46927000,591021000,6085291000,None,3664172000,1171000,117122000
2022-03-31,11416058000,2336483000,463325000,463325000,1013793000,729958000,9298567000,6028653000,2209664000,1873024000,297407000,1575617000,746907000,937619000,None,129407000,240279000,5589458000,2103338000,845710000,None,507791000,503795000,3505687000,73109000,2489491000,503795000,1985696000,2489491000,753833000,649878000,5826600000,None,3303661000,1171000,117112000
2021-12-31,10974118000,1993681000,439272000,439272000,798620000,735816000,9214977000,5909616000,2165130000,1906574000,308947000,1597627000,877048000,912008000,897708000,132683000,252239000,5348852000,1874335000,600487000,None,393688000,389920000,3965086000,74011000,2394239000,389920000,2004319000,2394239000,836429000,663698000,5625266000,None,3096539000,1170000,117015000
2021-09-30,10832325000,2078106000,595049000,595049000,745598000,577044000,8978564000,5655477000,2128485000,1944452000,320981000,1623471000,256975000,902504000,902504000,160415000,251786000,5138209000,1591042000,545922000,None,3269000,611000,3576448000,57968000,2022098000,611000,2021487000,2022098000,1044509000,617488000,5694116000,None,3145999000,1170000,116976000
2021-06-30,10796926000,2151354000,823572000,823572000,732563000,513478000,8876212000,5510599000,2086085000,1971812000,331092000,1640720000,252630000,907080000,907080000,81741000,256081000,4631377000,984928000,535153000,None,2992000,623000,3683478000,58168000,2044417000,623000,2043794000,2044417000,449152000,616912000,6165549000,None,3584400000,1169000,116945000
2021-03-31,10290302000,2009394000,569859000,569859000,685779000,593522000,8467820000,5390329000,2043264000,1964190000,335021000,1629169000,8300000,663448000,663448000,93844000,212258000,4543918000,953256000,492532000,None,2662000,616000,3600311000,58294000,2030648000,616000,2030032000,2030648000,4068000,619309000,5746384000,None,3205408000,1167000,116718000
2020-12-31,10450946000,2206184000,746724000,35000000,750237000,683136000,8460334000,5354625000,2073016000,2014625000,349105000,1665520000,642108000,656244000,35000,116427000,219268000,6182719000,1801849000,483221000,None,806429000,804677000,4837935000,58543000,3572058000,804677000,2767381000,3572058000,513951000,629377000,4268227000,None,3155252000,1069000,106842000
2020-09-30,10231983000,2227012000,702073000,702100000,828080000,577688000,8196710000,5242724000,2041851000,1946968000,343919000,1603049000,428427000,603745000,27000,119171000,211534000,6107102000,1612739000,465644000,None,605199000,603787000,4504525000,58576000,3544320000,603787000,2940533000,3544320000,543308000,612013000,4124881000,None,3111749000,1065000,106457000
2020-06-30,10170253000,2292409000,736696000,736720000,851256000,594583000,8073026000,5136357000,2002612000,1914119000,342839000,1571280000,7424000,614145000,24000,109874000,213223000,6145781000,1420803000,523160000,None,406793000,428009000,4749557000,58620000,3538392000,406201000,3132191000,3538392000,469634000,670001000,4024472000,None,3054434000,1064000,106337000
2020-03-31,9847638000,2155181000,553228000,553248000,853500000,592468000,7893604000,5025969000,1947848000,1903616000,344561000,1559055000,7520000,543670000,20000,155985000,219202000,5969634000,1192926000,573075000,None,60056000,59441000,4823461000,58713000,3140840000,35615000,3105225000,3140840000,560410000,768757000,3878004000,None,3009749000,1063000,106319000
2019-12-31,9860863000,2225109000,613110000,613142000,768984000,804507000,7829112000,4909473000,1908370000,1933407000,354622000,1578785000,568099000,579813000,32000,162813000,213061000,5928613000,1408996000,574138000,None,211109000,210473000,4622060000,58888000,3050257000,187336000,2862921000,3050257000,624385000,754536000,3932250000,None,2943478000,1061000,106040000
2019-09-30,8141603000,1969752000,317823000,317852000,802434000,723593000,6313866000,3524037000,1882086000,1895299000,361058000,1534241000,29000,551657000,29000,125902000,200858000,4305044000,1421243000,527052000,None,565226000,564566000,2867004000,3174000,1921944000,539960000,1381984000,1921944000,329625000,618822000,3836559000,None,2892057000,1060000,106031000
2019-06-30,8094414000,2036637000,398183000,398213000,814022000,730015000,6057777000,3390625000,1858369000,1939546000,373082000,1566464000,30000,541014000,30000,94417000,186592000,4293613000,1399981000,558839000,None,490691000,510132000,2757180000,3459000,1889110000,490691000,1398419000,1889110000,331010000,609209000,3800801000,None,2775940000,1059000,105971000
