fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,23684243000,1679717000,278315000,278315000,220944000,646401000,1685045000,None,None,821293000,90036000,731257000,320867000,None,232975000,526927000,863752000,12411034000,1170481000,None,None,1561000,0,10425359000,None,6964667000,1561000,6963106000,7395704000,742304000,601743000,11273209000,None,3858068000,754000,150834397
2023-09-30,22516968000,885768000,15404000,15404000,245830000,342572000,3041789000,19829949000,None,823459000,92202000,731257000,490266000,104602000,None,292036000,1201158000,11646904000,1352592000,None,74424000,243501000,241933000,9957282000,48825000,13065308000,253423000,5402591000,13307241000,763086000,599898000,10870064000,None,3666674000,742000,148492783
2023-06-30,21771529000,888926000,56237000,56237000,211041000,330827000,1864262000,19018341000,None,824857000,93600000,731257000,405976000,None,123716000,288945000,1039405000,11169148000,1034321000,None,None,1540000,0,9280298000,None,5761576000,1540000,5760036000,6504392000,698918000,521389000,10602381000,None,3659421000,737000,147304538
2023-03-31,21311861000,1073106000,95175000,95175000,183467000,523741000,1792869000,18445886000,None,731257000,None,731257000,347941000,None,95735000,270723000,1061612000,11106656000,1112997000,None,None,1512000,0,9196865000,None,5881337000,1512000,5879825000,6503476000,746512000,508030000,10205205000,None,3629963000,722000,144484650
2022-12-31,23366161000,3627763000,171597000,171597000,323678000,826416000,1766730000,17971668000,None,731257000,None,731257000,387856000,None,107834000,2306072000,1035473000,13529887000,3531894000,None,None,2201484000,0,9157568000,None,10057638000,2201484000,7856154000,8701784000,755687000,530177000,9836274000,None,3378465000,716000,143155761
2022-09-30,22192989000,3047693000,51554000,51554000,357941000,375619000,2893997000,17240239000,None,731257000,0,731257000,478003000,96012000,None,2274490000,1173800000,12773898000,3602600000,None,64644000,2386424000,184967000,8717147000,50393000,9118843000,2200000000,6918843000,16055221000,720157000,538302000,9419091000,None,3211157000,704000,140896598
2022-06-30,21655484000,3281851000,328075000,328075000,223993000,375257000,1817030000,16556603000,None,731257000,None,731257000,488157000,None,169318000,2354526000,1085773000,12387313000,3259117000,None,None,2201430000,2201430000,8222274000,None,9541606000,2201430000,7340176000,7908398000,660629000,526452000,9268171000,None,3236172000,699000,139888756
2022-03-31,21271143000,3528996000,582495000,582495000,96295000,565184000,1657174000,16084973000,None,731257000,None,731257000,283529000,None,None,2285022000,925917000,12287912000,3208416000,None,None,2201404000,2201404000,8132552000,None,10150947000,2201404000,7949543000,7906462000,653009000,526331000,8983231000,None,3202937000,695000,139012029
2021-12-31,20545784000,3274205000,264005000,264005000,220279000,514333000,1544788000,15726791000,None,731257000,None,731257000,141552000,None,None,2275588000,813531000,12256239000,3426492000,None,None,2401377000,2401377000,7846321000,None,11055042000,2401377000,8653665000,7903681000,626684000,546496000,8289545000,None,2971471000,677000,135425081
2021-09-30,19608662000,2838715000,116723000,116723000,178116000,342967000,2474131000,15063970000,None,731257000,None,731257000,338757000,108071000,None,2200909000,974720000,11701773000,3510355000,None,59601000,2400452000,0,7472006000,18287000,10486136000,2400000000,8086136000,14671918000,686681000,537489000,7906889000,None,2812673000,662000,132419754
2021-06-30,19315435000,1115366000,524621000,524621000,99469000,291122000,3722320000,14477749000,None,731257000,None,731257000,238919000,None,None,200154000,2991063000,11541677000,1062516000,None,None,200442000,200442000,9426945000,None,8302186000,200442000,8101744000,7310103000,581722000,630656000,7773758000,None,2846597000,654000,130787039
2021-03-31,19408810000,1620434000,865311000,865311000,50043000,469595000,3748788000,14039588000,None,731257000,None,731257000,327158000,None,None,235485000,3017531000,11587885000,871299000,None,None,177000,177000,9611986000,None,7828592000,177000,7828415000,7307969000,607525000,637582000,7820925000,None,2826098000,653000,130667109
2020-12-31,16475879000,1192288000,457599000,457599000,99569000,492526000,1521448000,13762143000,None,731257000,None,731257000,150398000,None,None,142594000,790191000,9262723000,797839000,None,None,171000,171000,7313429000,8608000,6294842000,171000,6294671000,5116425000,512673000,646173000,7213156000,None,2609669000,641000,128152961
2020-09-30,15359032000,471258000,20808000,20808000,111950000,230595000,1843044000,13355347000,None,731257000,None,731257000,80678000,103952000,None,107905000,801170000,8567829000,782401000,None,66545000,165000,0,6879793000,8466000,9083313000,165000,5597183000,9083313000,546461000,642128000,6791203000,None,2471014000,629000,125882477
2020-06-30,14870982000,602159000,208064000,208064000,84886000,236466000,1621838000,12880850000,None,730706000,None,730706000,5864000,None,None,72743000,657267000,8409511000,702686000,None,None,157000,0,6746621000,8479000,4522862000,None,5563300000,4522862000,502413000,594825000,6461471000,None,2477451000,617000,123351267
2020-03-31,14716398000,829561000,320099000,320099000,68061000,377817000,1567881000,12548240000,None,730706000,None,730706000,882000,None,None,63584000,607891000,8411983000,933390000,None,None,200054000,199923000,6335479000,6535000,4322331000,200054000,4863851000,4522254000,543248000,584834000,6304415000,None,2430257000,612000,122308725
2019-12-31,14388125000,812129000,189272000,189272000,115259000,435616000,1551581000,12250423000,None,730706000,None,730706000,1371000,None,None,71982000,594867000,8260350000,845172000,None,None,50000,0,6264625000,2484000,4321801000,50000,4927756000,4321801000,537009000,588007000,6127775000,None,2261131000,611000,122262403
2019-09-30,13367619000,458031000,24550000,24550000,130138000,230571000,1122144000,11787669000,None,730706000,None,730706000,1811000,101883000,None,72772000,391213000,7617396000,1209440000,None,67183000,464915000,464915000,3964091000,None,4216249000,0,3529452000,4681164000,479501000,400216000,5750223000,None,2152015000,597000,119338925
2019-06-30,12881098000,503534000,46163000,46163000,106014000,285433000,1036968000,11340596000,None,730419000,None,730419000,2557000,None,None,65924000,306549000,7239102000,901374000,None,None,199942000,74942000,5627754000,None,4269253000,125000000,3529135000,4344195000,494932000,175855000,5641996000,None,2157344000,591000,118196113
2019-03-31,12674950000,671181000,108353000,108353000,78148000,419612000,1032035000,10971734000,None,730419000,None,730419000,1611000,None,None,65068000,301616000,7166849000,864139000,None,None,125000000,0,5127780000,None,4090641000,125000000,3528713000,4090641000,495097000,170638000,5508101000,None,2138532000,585000,116982903
2018-12-31,12615789000,912738000,218197000,218197000,146552000,478373000,1004822000,10698229000,None,730419000,None,730419000,3526000,None,None,69616000,274403000,7267594000,1455498000,None,None,575000000,0,4625513000,None,3659779000,575000000,3084779000,3659779000,578764000,172328000,5348195000,None,1985250000,584000,116892959
2018-09-30,11874437000,478853000,13771000,13771000,165732000,253295000,1024687000,10371147000,None,730419000,730419000,730419000,1619000,99385000,None,46055000,294018000,7104486000,1915131000,None,None,1150780000,575780000,4074869000,None,3736679000,575000000,2493665000,4312459000,547068000,158028000,4769951000,None,1878116000,556000,111273683
2018-06-30,11507624000,452855000,20930000,20930000,126010000,253546000,982909000,10071860000,None,730132000,730132000,730132000,98401000,None,None,52369000,252777000,6748072000,1465961000,None,None,694777000,244777000,4066601000,None,3068315000,450000000,2618315000,3313092000,573012000,74718000,4759552000,None,1871334000,556000,111195448
2018-03-31,11356322000,622736000,71074000,71074000,89265000,407134000,972257000,9761329000,None,730132000,730132000,730132000,94267000,None,None,55263000,242125000,6634976000,1349127000,None,None,579602000,129602000,4063305000,None,3067892000,450000000,2617892000,3197494000,538702000,100929000,4721346000,None,1854257000,555000,111060328
2017-12-31,11264720000,778910000,54750000,54750000,163959000,489217000,967018000,9518792000,None,730132000,730132000,730132000,91545000,None,None,70984000,236886000,6701100000,959410000,None,None,336816000,336816000,5261604000,None,3067469000,3518460000,3067469000,3404285000,336919000,181346000,4563620000,None,1729319000,555000,110962112
2017-09-30,10749596000,539646000,26409000,26409000,184653000,222263000,1062548000,9259182000,None,730132000,730132000,730132000,91648000,88409000,None,106321000,220636000,6850930000,1013443000,None,None,447745000,447745000,5491536000,None,6152045000,0,3067045000,6599790000,332648000,175735000,3898666000,None,1467024000,531000,106104634
2017-06-30,10498775000,534382000,69777000,69777000,151656000,250224000,1040012000,8924381000,None,729673000,729673000,729673000,92839000,None,None,62725000,310339000,6597065000,745659000,None,None,258573000,258573000,5394346000,None,3066734000,0,3066734000,3325307000,322721000,169129000,3901710000,None,1480027000,530000,106059875
2017-03-31,10361466000,563084000,45403000,45403000,120026000,336637000,1059895000,8738487000,None,729673000,729673000,729673000,85748000,None,None,61018000,330222000,6526602000,1496072000,None,None,920607000,670607000,4585682000,None,2564620000,250000000,2314620000,3235227000,390253000,155057000,3834864000,None,1456980000,526000,105275505
2016-12-31,10579155000,979432000,44624000,44624000,163763000,458813000,1048043000,8552962000,None,729673000,729673000,729673000,97100000,None,None,76750000,317088000,6880180000,1949815000,None,None,1190747000,940747000,4597879000,None,2564199000,250000000,2314199000,3504946000,381123000,158611000,3698975000,None,1339826000,526000,105109905
2016-09-30,10010889000,681686000,47534000,47534000,233316000,300007000,1265404000,8280511000,None,743407000,16445000,726962000,84327000,72701000,None,88085000,305019000,6547830000,1788281000,None,None,1079811000,829811000,4546722000,None,4898779000,250000000,2188779000,5728590000,439085000,245374000,3463059000,None,1262534000,520000,103930560
2016-06-30,9727368000,648913000,66206000,66206000,244841000,277362000,1026566000,8053547000,None,742702000,742702000,742702000,81101000,None,None,60504000,282206000,6260644000,1529800000,None,None,920466000,670466000,4480003000,None,2455645000,250000000,2205645000,3126111000,410452000,228788000,3466724000,None,1273057000,519000,103827358
2016-03-31,9543926000,652912000,47918000,47918000,190961000,361582000,1051601000,7839413000,None,742702000,742702000,742702000,82021000,None,None,52451000,308899000,6199361000,1227353000,None,None,626929000,626929000,4730309000,None,2455559000,626929000,2455559000,3082488000,373783000,237526000,3344565000,None,1245418000,511000,102209505
2015-12-31,9554653000,863270000,47918000,78903000,236017000,456904000,1038192000,7653287000,None,742702000,742702000,742702000,94220000,None,30985000,91446000,295394000,6282544000,1515056000,None,None,763236000,763236000,3003945000,None,2455474000,None,2455474000,3218710000,471333000,155195000,3272109000,None,1132254000,510000,102079316
2015-09-30,9075072000,626306000,28653000,28653000,236603000,295160000,1232194000,7430580000,None,742702000,742702000,742702000,83800000,74200000,None,65890000,275484000,5880275000,1154823000,None,None,457927000,457927000,3037068000,None,4915388000,0,2437515000,5373315000,457954000,161696000,3194797000,None,1073029000,507000,101478818
2015-06-30,8884489000,616649000,43153000,43153000,213151000,301743000,8268949000,7212088000,1804955000,742029000,742029000,742029000,92184000,None,None,58602000,313723000,5646234000,916577000,None,None,251977000,251977000,2915638000,None,2455303000,None,2455303000,2707280000,437344000,94971000,3238255000,None,1092887000,507000,101336818
