fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,29865800000,552200000,552200000,552200000,None,None,13593200000,807000000,None,10836300000,4823400000,6012900000,2317300000,1156200000,None,-5349200000,None,16149700000,167900000,None,None,167900000,167900000,393100000,865400000,3046900000,None,None,3214800000,620000000,1219700000,12001600000,None,12402400000,49500000,494734214
2023-09-30,30121200000,363700000,363700000,363700000,-10353200000,None,13201600000,800100000,957300000,10906000000,4902200000,6003800000,2222000000,1089200000,-9637200000,10353200000,None,16547300000,1393200000,None,None,None,467800000,450400000,467800000,3052800000,None,None,3052800000,2652200000,1286200000,11916900000,None,12376600000,49600000,495937891
2023-06-30,30234600000,201500000,201500000,201500000,None,None,13362800000,806100000,None,11007200000,4994900000,6012300000,2249100000,1118500000,867300000,-5729500000,None,16645300000,1577500000,None,None,None,494800000,450700000,494800000,3358700000,None,None,3358700000,448600000,1313700000,11948100000,None,12360700000,49900000,499012841
2023-03-31,29085700000,299700000,299700000,299700000,None,None,13419600000,749800000,None,11077600000,5070400000,6007200000,2378000000,1138100000,987100000,-5579400000,None,15682600000,1466100000,None,None,None,522600000,339600000,522600000,3364600000,None,None,3364600000,-35700000,1630300000,11831800000,None,12260100000,50100000,500912066
2022-12-31,29335100000,460100000,460100000,460100000,None,None,13163800000,759900000,None,11097500000,5154700000,5942800000,2045800000,830700000,2045800000,-5794000000,None,14800400000,1864800000,None,None,None,539000000,258200000,539000000,3370500000,None,None,3370500000,126600000,1545700000,11666300000,None,12112600000,50000000,500265643
2022-09-30,28060600000,647600000,647600000,647600000,1,None,12840000000,743300000,957700000,10860700000,5082100000,5778600000,1651300000,771500000,1651300000,-6047300000,None,14235900000,1636200000,None,None,None,528400000,347800000,528400000,3376400000,None,None,3376400000,-5300000,1425000000,11474600000,None,12045600000,50000000,499575175
2022-06-30,27596000000,372900000,372900000,372900000,1658500000,None,12974900000,759100000,None,10984500000,5177400000,5807100000,1658500000,744500000,1658500000,-1658500000,None,13817200000,4896500000,None,None,None,3382200000,290900000,555300000,3382200000,3382200000,None,3382200000,521200000,1133900000,11543700000,None,11997500000,49800000,498356132
2022-03-31,25832900000,603100000,603100000,603100000,None,None,11175400000,744000000,None,9440100000,4721900000,4718200000,1398400000,593000000,1398400000,None,None,12505200000,5138800000,None,None,None,3388000000,252300000,462600000,3388000000,3388000000,None,3388000000,591800000,306900000,11540700000,None,11891300000,50000000,500374393
2021-12-31,24995100000,4544300000,4544300000,4544300000,None,None,11448700000,756400000,None,9508900000,4784400000,4724500000,1663200000,760900000,731900000,-4178000000,None,11815300000,2018000000,None,None,None,491300000,218500000,491300000,3393700000,None,None,3393700000,866700000,372100000,11552900000,None,11892200000,50300000,502519277
2021-09-30,24168400000,4647200000,289400000,4647200000,None,None,11200600000,770000000,1180700000,9167900000,4710200000,4457700000,1510300000,814300000,4357800000,-4357000000,None,11424800000,1730900000,None,None,None,518400000,311700000,518400000,3399400000,None,None,3399400000,175200000,354300000,11223400000,None,11550800000,50200000,501807677
