fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-01-31,8237000000,4415000000,589000000,589000000,2529000000,878000000,3822000000,1014000000,None,2468000000,1004000000,1464000000,7000000,None,None,258000000,274000000,4992000000,1612000000,None,None,728000000,728000000,3380000000,None,2678000000,728000000,2678000000,3406000000,15000000,242000000,3245000000,613000000,3995000000,72000000,474806000
2023-10-31,8115000000,4273000000,373000000,373000000,2585000000,948000000,3934000000,1060000000,None,2450000000,989000000,1461000000,24000000,None,None,250000000,269000000,4661000000,1297000000,None,None,456000000,456000000,3364000000,None,2654000000,456000000,2654000000,3110000000,11000000,240000000,3454000000,252000000,3916000000,72000000,479200000
2023-07-31,8086000000,4190000000,426000000,426000000,2502000000,872000000,3991000000,1050000000,None,2508000000,1014000000,1494000000,8000000,None,None,255000000,271000000,4748000000,1308000000,None,None,389000000,389000000,3440000000,None,2687000000,389000000,2687000000,3076000000,13000000,258000000,3338000000,210000000,3674000000,72000000,479353000
2023-04-30,7777000000,3801000000,374000000,374000000,2283000000,855000000,4060000000,1031000000,889000000,2621000000,1164000000,1457000000,16000000,None,None,289000000,258000000,4509000000,1084000000,308000000,None,235000000,235000000,3544000000,None,2678000000,0,2678000000,2913000000,22000000,253000000,3268000000,213000000,3643000000,72000000,479316000
2023-01-31,7754000000,3843000000,428000000,428000000,2160000000,944000000,3911000000,955000000,None,2600000000,1145000000,1455000000,18000000,None,None,311000000,269000000,4716000000,1933000000,None,None,1004000000,1004000000,2783000000,None,2024000000,0,2024000000,3028000000,142000000,247000000,3038000000,219000000,3437000000,72000000,479152000
2022-10-31,6852000000,4258000000,1087000000,1087000000,1995000000,894000000,2594000000,890000000,None,1319000000,571000000,748000000,69000000,None,None,282000000,303000000,3812000000,1243000000,None,None,436000000,186000000,2569000000,None,2224000000,250000000,1974000000,2410000000,57000000,178000000,3040000000,220000000,3534000000,72000000,479138000
2022-07-31,6521000000,3923000000,899000000,899000000,1912000000,841000000,2598000000,880000000,None,1334000000,578000000,756000000,57000000,None,None,271000000,303000000,3714000000,1110000000,None,None,250000000,250000000,2604000000,None,2248000000,250000000,1998000000,2248000000,216000000,187000000,2807000000,221000000,3307000000,72000000,479079000
2022-04-30,6373000000,3776000000,868000000,868000000,1818000000,813000000,2671000000,875000000,849000000,1347000000,586000000,761000000,48000000,None,None,122000000,301000000,3636000000,1034000000,218000000,None,250000000,0,2656000000,None,2269000000,250000000,2019000000,2269000000,81000000,181000000,2737000000,225000000,3242000000,72000000,479020000
2022-01-31,6226000000,3653000000,812000000,812000000,1769000000,796000000,2573000000,818000000,None,1423000000,652000000,771000000,30000000,None,None,276000000,265000000,3707000000,1049000000,None,None,266000000,16000000,2658000000,None,2311000000,250000000,2061000000,2327000000,154000000,191000000,2519000000,229000000,3091000000,72000000,478887000
2021-10-31,6616000000,4032000000,1073000000,1073000000,1793000000,933000000,2584000000,813000000,None,1439000000,663000000,776000000,11000000,None,None,233000000,264000000,3693000000,783000000,None,None,19000000,19000000,2910000000,None,2331000000,19000000,2331000000,2350000000,708000000,197000000,2923000000,231000000,3491000000,72000000,478857000
2021-07-31,6579000000,3992000000,1172000000,1172000000,1771000000,803000000,2587000000,816000000,None,1448000000,670000000,778000000,4000000,None,None,246000000,253000000,3896000000,943000000,None,None,155000000,155000000,2953000000,None,2346000000,155000000,2346000000,2501000000,86000000,198000000,2683000000,232000000,3255000000,72000000,478793000
2021-04-30,6522000000,3917000000,1150000000,1150000000,1751000000,753000000,2672000000,832000000,792000000,1455000000,676000000,779000000,3000000,None,None,93000000,248000000,3866000000,918000000,172000000,None,205000000,205000000,2997000000,None,2354000000,0,2354000000,2559000000,437000000,206000000,2656000000,237000000,3243000000,72000000,478729000
2021-01-31,6495000000,3914000000,1106000000,1106000000,1723000000,820000000,2581000000,826000000,None,1450000000,676000000,774000000,6000000,None,None,265000000,237000000,4027000000,1044000000,None,None,312000000,312000000,2983000000,None,2347000000,312000000,2347000000,2659000000,86000000,194000000,2468000000,240000000,3125000000,72000000,478599000
2020-10-31,6350000000,3815000000,964000000,964000000,1715000000,879000000,2535000000,828000000,None,1413000000,654000000,759000000,29000000,None,None,257000000,236000000,3947000000,1022000000,None,None,358000000,358000000,2925000000,None,2309000000,358000000,2309000000,2667000000,601000000,173000000,2403000000,243000000,3082000000,72000000,478506000
2020-07-31,6191000000,3646000000,908000000,908000000,1741000000,721000000,2545000000,834000000,None,1417000000,657000000,760000000,24000000,None,None,276000000,236000000,4041000000,1091000000,None,None,389000000,389000000,2950000000,None,2316000000,389000000,2316000000,2705000000,84000000,181000000,2150000000,248000000,2849000000,72000000,478327000
