fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,87476000000,46949000000,6978000000,6978000000,16565000000,18820000000,38267000000,12680000000,15943000000,5872000000,564000000,5308000000,5697000000,None,1900000000,4340000000,5257000000,67973000000,34728000000,7906000000,4318000000,4643000000,4643000000,34126000000,-61000000,25800000000,13406000000,24472000000,30443000000,3123000000,4675000000,19503000000,36339000000,51250000000,6403000000,499400000
2023-09-30,86791000000,48005000000,6545000000,6545000000,17580000000,18742000000,36067000000,12287000000,None,5872000000,604000000,5268000000,25321000000,None,2550000000,5138000000,4891000000,66284000000,33124000000,7827000000,5149000000,None,12880000000,8901000000,None,24259000000,12880000000,None,37139000000,3115000000,4841000000,20507000000,33865000000,49888000000,6698000000,509100000
2023-06-30,85427000000,47000000000,7387000000,7387000000,17746000000,18704000000,35820000000,12124000000,None,5923000000,630000000,5293000000,24847000000,13183000000,500000000,3163000000,4590000000,67171000000,35314000000,8443000000,4729000000,None,14714000000,8872000000,None,22985000000,14714000000,None,37699000000,3109000000,4788000000,18256000000,33391000000,47094000000,6478000000,510100000
2023-03-31,83649000000,45660000000,6789000000,6789000000,17633000000,18349000000,35584000000,11973000000,None,6003000000,694000000,5309000000,3237000000,13054000000,250000000,2889000000,4554000000,65479000000,31842000000,8951000000,4866000000,None,12165000000,8764000000,None,24873000000,12165000000,None,37038000000,3035000000,4695000000,18170000000,32108000000,45457000000,6546000000,515900000
2022-12-31,81943000000,43785000000,7004000000,7004000000,16270000000,17869000000,36509000000,12028000000,16036000000,6046000000,758000000,5288000000,3164000000,None,None,11655000000,4593000000,66052000000,31531000000,8689000000,4174000000,5957000000,5957000000,35420000000,112000000,23662000000,5325000000,25714000000,29619000000,2690000000,4604000000,15891000000,31748000000,43514000000,6560000000,516300000
2022-09-30,80907000000,42577000000,6346000000,6346000000,16860000000,17076000000,36112000000,11643000000,None,6898000000,806000000,6092000000,2767000000,13137000000,2021000000,2295000000,4434000000,65285000000,30202000000,8260000000,4121000000,None,11016000000,9574000000,None,25509000000,11016000000,None,36525000000,2878000000,4536000000,15622000000,30883000000,43304000000,6523000000,520400000
2022-06-30,81107000000,41982000000,6014000000,6014000000,15881000000,17315000000,37004000000,11744000000,None,7084000000,889000000,6195000000,2777000000,13569000000,659000000,2772000000,4607000000,65348000000,28963000000,8092000000,3668000000,None,10743000000,10166000000,None,26219000000,10743000000,None,36962000000,2333000000,5006000000,15759000000,29501000000,41263000000,6464000000,527900000
2022-03-31,82276000000,42570000000,6526000000,6526000000,15038000000,18138000000,37733000000,11932000000,None,7260000000,967000000,6293000000,2662000000,13869000000,None,2868000000,4672000000,65179000000,29532000000,8361000000,3257000000,None,12307000000,10370000000,None,25277000000,12307000000,None,37584000000,2355000000,5007000000,17097000000,28326000000,40820000000,6281000000,533400000
2021-12-31,82793000000,43455000000,9254000000,9254000000,14038000000,17375000000,38123000000,12090000000,16781000000,7366000000,1042000000,6324000000,2063000000,12707000000,None,2788000000,4131000000,66277000000,29847000000,8154000000,2644000000,5404000000,5404000000,37326000000,79000000,23586000000,11756000000,26033000000,28990000000,2256000000,4805000000,16516000000,27643000000,39282000000,6398000000,535900000
2021-09-30,80784000000,41893000000,9446000000,9446000000,13666000000,16566000000,37147000000,11904000000,None,7474000000,1121000000,6353000000,4178000000,13878000000,None,2215000000,3891000000,64089000000,25976000000,7218000000,2732000000,3247000000,3247000000,10959000000,None,27154000000,9630000000,None,3247000000,2319000000,4564000000,16695000000,26608000000,38361000000,6352000000,540900000
