fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,230682000000,8006000000,2449000000,8006000000,-15828000000,None,37604000000,2900000000,None,26461000000,6775000000,19686000000,136735000000,5718000000,8006000000,27665000000,None,166991000000,1460000000,None,None,1460000000,1460000000,1555000000,None,13035000000,1460000000,None,14495000000,61469000000,None,59507000000,4400000000,54810000000,241000000,405269637
2023-09-30,222748000000,8849000000,2586000000,8849000000,-46335000000,None,32530000000,549000000,None,26398000000,6844000000,19554000000,129961000000,5583000000,8849000000,29453000000,None,165244000000,700000000,None,1100000000,700000000,700000000,759000000,None,13736000000,700000000,None,14436000000,-16903000000,None,52373000000,3747000000,51510000000,241000000000,407984339
2023-06-30,205448000000,7425000000,2285000000,7425000000,-27463000000,None,36892000000,543000000,None,21642000000,5320000000,16322000000,116636000000,14707000000,5140000000,27463000000,None,152573000000,699000000,None,1026000000,699000000,699000000,533000000,None,13782000000,699000000,None,14481000000,-15293000000,130695000000,52875000000,3174000000,49467000000,241000000000,410691354
2023-03-31,201415000000,6923000000,2288000000,6923000000,60117000000,None,36302000000,571000000,None,21539000000,5364000000,16175000000,115616000000,14192000000,4635000000,25018000000,None,148428000000,1842000000,None,937000000,0,0,541000000,None,14375000000,None,None,14375000000,-12592000000,126856000000,52987000000,5341000000,50197000000,10346000000,414158680
2022-12-31,199017000000,7799000000,2012000000,7799000000,65034000000,None,41308000000,2400000000,None,21669000000,5441000000,16228000000,113551000000,16573000000,5787000000,25449000000,None,148498000000,475000000,None,None,475000000,475000000,292000000,None,14402000000,475000000,None,14877000000,-23857000000,117848000000,50519000000,5113000000,48305000000,10346000000,414594856
2022-09-30,198111000000,7506000000,2128000000,7506000000,-26056000000,None,35593000000,458000000,None,21490000000,5383000000,16107000000,111740000000,13645000000,5378000000,26353000000,None,150472000000,1475000000,None,755000000,1475000000,1475000000,2000000,None,14044000000,1475000000,12067000000,15519000000,-2417000000,118278000000,47675000000,4978000000,47022000000,10346000000,415020484
2022-06-30,195651000000,13202000000,7122000000,13202000000,None,None,33482000000,433000000,None,20317000000,5272000000,15045000000,109849000000,12168000000,6080000000,-100051000000,None,143984000000,1474000000,None,692000000,1474000000,1474000000,23878000000,None,14311000000,1474000000,13122000000,15785000000,-23878000000,113683000000,51268000000,6794000000,48363000000,10666000000,418474087
2022-03-31,197990000000,9471000000,1734000000,8737000000,None,None,33360000000,437000000,None,20643000000,5399000000,15244000000,118247000000,11947000000,7003000000,19137000000,None,141292000000,1474000000,None,659000000,1474000000,1474000000,23789000000,None,14585000000,1474000000,14702000000,16059000000,-23789000000,110319000000,55716000000,5700000000,47148000000,10666000000,423675327
2021-12-31,200054000000,9587000000,1659000000,9587000000,None,None,37412000000,2000000000,None,20668000000,5455000000,15213000000,122323000000,14299000000,7928000000,-115491000000,None,140340000000,999000000,None,None,999000000,999000000,389000000,None,15169000000,999000000,16848000000,16168000000,-23246000000,108779000000,59714000000,7464000000,47365000000,10985000000,426572612
2021-09-30,199054000000,10338000000,1620000000,9706000000,None,None,32242000000,434000000,None,20965000000,5578000000,15387000000,122129000000,10843000000,8086000000,16648000000,None,139736000000,22574000000,None,None,None,None,217000000,None,14823000000,None,16648000000,14823000000,-22574000000,109226000000,59318000000,6621000000,45224000000,10985000000,430876252
2021-06-30,197174000000,11525000000,1843000000,10920000000,None,None,31086000000,429000000,None,21200000000,5694000000,15506000000,121370000000,9457000000,9077000000,-112561000000,None,137112000000,22109000000,None,None,None,None,581000000,None,14954000000,None,16822000000,14954000000,-22109000000,106993000000,60062000000,5772000000,43902000000,11064000000,438717213
2021-03-31,191977000000,10462000000,1684000000,9824000000,None,None,30245000000,448000000,None,21161000000,5749000000,15412000000,118979000000,8636000000,8140000000,-110922000000,None,132901000000,20617000000,None,None,None,None,482000000,None,14879000000,None,16408000000,14879000000,-20617000000,103489000000,59076000000,3901000000,41637000000,11064000000,449676959
2020-12-31,190774000000,10119000000,1747000000,10119000000,None,None,34442000000,2000000000,None,21211000000,5811000000,15400000000,118669000000,10758000000,8372000000,-121322000000,None,131333000000,20760000000,None,None,0,0,892000000,None,14948000000,None,17487000000,14948000000,-20760000000,101441000000,59441000000,3644000000,39337000000,11064000000,450732625
2020-09-30,187786000000,10032000000,1707000000,9455000000,None,None,28369000000,470000000,None,21103000000,5849000000,15254000000,116047000000,6796000000,7748000000,5662000000,None,131373000000,1300000000,None,None,1300000000,1300000000,815000000,None,14830000000,1300000000,16995000000,16130000000,-20794000000,101354000000,56413000000,3541000000,36919000000,11064000000,451376194
2020-06-30,181474000000,8477000000,1557000000,7954000000,None,None,27499000000,483000000,None,21093000000,5909000000,15184000000,110877000000,5923000000,6397000000,16421000000,None,126714000000,1300000000,None,None,1300000000,1300000000,696000000,None,13656000000,1300000000,15650000000,14956000000,-20138000000,98473000000,54760000000,3866000000,35991000000,11121000000,451360023
2020-03-31,173127000000,7662000000,1512000000,7166000000,None,None,27457000000,509000000,None,20873000000,5902000000,14971000000,105284000000,6075000000,5654000000,16145000000,None,120930000000,1300000000,None,None,1300000000,1300000000,474000000,None,13510000000,1300000000,14353000000,14810000000,-19439000000,93591000000,52197000000,3872000000,36331000000,11121000000,451367782
2019-12-31,176943000000,6640000000,1537000000,6640000000,None,None,31204000000,1900000000,None,21359000000,6063000000,15296000000,109234000000,7394000000,5103000000,16916000000,None,121612000000,1299000000,None,None,1299000000,1299000000,804000000,None,13559000000,1299000000,15048000000,14858000000,17320000000,93869000000,55331000000,3754000000,36142000000,11121000000,451971567
2019-09-30,175148000000,4760000000,1478000000,4313000000,88078000000,None,28974000000,577000000,None,21378000000,6148000000,15230000000,107178000000,7019000000,2835000000,-100770000000,None,120576000000,10000000,None,None,10000000,10000000,766000000,None,13285000000,10000000,14901000000,13295000000,88465000000,94040000000,54572000000,3504000000,34969000000,11121000000,453533642
2019-06-30,174516000000,5597000000,1270000000,5078000000,201000000,None,28584000000,601000000,None,21566000000,6266000000,15300000000,105739000000,7018000000,3808000000,-19454000000,None,120714000000,9000000,None,None,9000000,9000000,13679000000,None,13371000000,9000000,14541000000,13380000000,89016000000,94690000000,53802000000,3093000000,33878000000,11121000000,456077819
2019-03-31,171347000000,5291000000,1271000000,4349000000,203000000,None,27689000000,608000000,None,21419000000,6091000000,15328000000,103260000000,6270000000,3078000000,-97003000000,None,118992000000,509000000,None,None,509000000,509000000,12379000000,None,12071000000,509000000,12719000000,12580000000,88425000000,94353000000,52355000000,2775000000,32728000000,11121000000,458179205
2018-12-31,167771000000,5033000000,1247000000,4263000000,202000000,None,29069000000,1700000000,None,21414000000,6143000000,15271000000,100968000000,5955000000,3016000000,3287000000,None,117459000000,509000000,None,None,509000000,509000000,304000000,None,12087000000,624000000,12181000000,12596000000,87646000000,93779000000,50312000000,2618000000,31700000000,11121000000,459203378
