fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,5225280000,2880694000,145524000,145524000,None,2381963000,2344586000,144718000,292740000,1517262000,43662000,1473600000,None,None,None,163307000,114097000,3806583000,2051993000,1303951000,None,160000000,234451000,1754590000,372014000,1580487000,160000000,1420487000,1580487000,442460000,2074000,1418697000,4886917000,5620790000,11677000,116768000
2023-09-30,5317667000,2959243000,174733000,174733000,1,2442297000,2358424000,150858000,None,1511898000,46579000,1465319000,None,None,None,137476000,130244000,3913083000,2649543000,1375529000,None,662966000,736647000,1263540000,368432000,1583686000,662966000,920720000,1583686000,461928000,3773000,1404584000,4910467000,5663714000,11647000,116465000
2023-06-30,5405261000,3051485000,210155000,210155000,1,2505130000,2353776000,159222000,None,1521998000,52591000,1469407000,None,None,None,147993000,126964000,4017154000,2761491000,1358619000,None,815863000,888086000,1255663000,361183000,1736358000,815863000,920495000,1736358000,423817000,3005000,1388107000,4920340000,5655489000,11633000,116335000
2023-03-31,5595584000,3234646000,239160000,239160000,None,2681580000,2360938000,160864000,None,1529083000,58397000,1470686000,None,None,None,122195000,123028000,4214196000,2947868000,1411371000,None,952759000,1025717000,1266328000,374126000,1873031000,952759000,920272000,1873031000,438904000,2549000,1381388000,4905986000,5631750000,11644000,116437000
2022-12-31,5954564000,3589238000,217482000,217482000,1,2991753000,2365326000,159432000,290396000,1534839000,64026000,1470813000,None,None,None,122406000,117312000,4601142000,3322852000,1466998000,None,1053655000,1127377000,1278290000,387464000,1973704000,1053655000,920049000,1973704000,624916000,1926000,1353422000,4903078000,5590440000,11632000,116323000
2022-09-30,6795530000,4433366000,187532000,187532000,1,3802160000,2362164000,158706000,None,1526425000,68122000,1458303000,None,None,None,79977000,120195000,5117969000,3358878000,1662606000,None,779000000,850002000,1759091000,364327000,2198380000,779000000,1419380000,2198380000,753107000,1480000,1677561000,4495936000,5567592000,12059000,120594000
2022-06-30,7457439000,5168256000,238925000,238925000,1,4302321000,2289183000,155829000,None,1548644000,75789000,1472855000,None,None,None,108258000,112083000,5405024000,3485750000,1872497000,None,674000000,746686000,1919274000,354005000,2268055000,674000000,1594055000,2268055000,812207000,1088000,2052415000,3992746000,5411346000,12512000,125116000
2022-03-31,7521338000,5279231000,242809000,242809000,None,4391512000,2242107000,139926000,None,1572627000,84011000,1488616000,None,None,None,140306000,102897000,5425836000,3541203000,2001180000,None,572000000,640507000,1884633000,312809000,2165756000,572000000,1593756000,2165756000,833781000,714000,2095502000,3678559000,5134667000,12801000,128011000
2021-12-31,7028112000,4804153000,257413000,257413000,None,3963487000,2223959000,139831000,302281000,1574360000,89606000,1484754000,None,None,None,129593000,92309000,5006178000,3326342000,1813473000,None,525000000,591311000,1679836000,307680000,1918649000,525000000,1393649000,1918649000,921558000,315000,2021934000,3540340000,4936861000,12919000,129186000
2021-09-30,6602606000,4430663000,202649000,202649000,None,3721571000,2171943000,177418000,None,1582224000,96025000,1486199000,None,None,None,89472000,88808000,4651806000,3251693000,1797441000,None,632000000,698470000,1400113000,312372000,1725950000,632000000,1093950000,1725950000,716506000,14553000,1950800000,3413904000,4779964000,13038000,130376000
