fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,32769000000,3799000000,907000000,907000000,-18241000000,None,262000000,208000000,337000000,-152000000,-152000000,30000000,25357000000,24780000000,13791000000,3799000000,None,20671000000,8424000000,None,None,None,25000000,2173000000,59000000,790000000,25000000,None,790000000,8399000000,None,12098000000,2385000000,13084000000,397000000,157000000
2023-09-30,30915000000,899000000,899000000,899000000,-9104000000,None,199000000,199000000,333000000,1101000000,1101000000,None,23408000000,22874000000,814000000,4652000000,None,20291000000,25000000,None,None,None,25000000,844000000,54000000,790000000,25000000,None,790000000,-25000000,None,10624000000,2386000000,12018000000,397000000,156900000
2023-06-30,31352000000,748000000,748000000,748000000,-4524000000,None,198000000,198000000,329000000,1109000000,1109000000,21303000000,23879000000,24140000000,507000000,4524000000,None,20322000000,25000000,None,None,None,25000000,842000000,53000000,789000000,25000000,None,789000000,-25000000,18297000000,11030000000,2386000000,12235000000,397000000,157000000
2023-03-31,30474000000,955000000,955000000,955000000,-7904000000,None,199000000,199000000,326000000,1048000000,1048000000,None,23123000000,23377000000,478000000,4443000000,None,19733000000,50000000,None,None,None,50000000,845000000,56000000,789000000,50000000,None,789000000,-50000000,17734000000,10741000000,2345000000,11818000000,397000000,157200000
2022-12-31,29732000000,1264000000,1264000000,1264000000,-4547000000,None,252000000,202000000,322000000,61000000,61000000,30000000,22425000000,21973000000,452000000,4547000000,None,19170000000,50000000,None,None,None,50000000,1886000000,52000000,789000000,50000000,None,789000000,-1045000000,17269000000,10562000000,2324000000,11711000000,397000000,157300000
2022-09-30,28199000000,1083000000,1083000000,1083000000,13373000000,None,204000000,204000000,317000000,1036000000,1036000000,None,20988000000,20988000000,20988000000,4412000000,None,18768000000,-1137000000,None,None,None,44000000,843000000,None,789000000,44000000,None,789000000,-1961000000,None,9480000000,2314000000,10797000000,397000000,158000000
2022-06-30,29192000000,1098000000,1098000000,1098000000,21834000000,None,201000000,201000000,312000000,1045000000,1045000000,None,21834000000,22062000000,21834000000,-3243000000,None,18639000000,44000000,None,None,None,44000000,841000000,None,789000000,44000000,None,789000000,-1069000000,16685000000,10505000000,2112000000,11324000000,397000000,159600000
2022-03-31,30250000000,987000000,987000000,987000000,23399000000,None,203000000,203000000,309000000,None,None,None,23399000000,23638000000,23399000000,-3043000000,None,18158000000,49000000,None,None,None,49000000,841000000,None,789000000,49000000,None,789000000,360000000,15808000000,11912000000,1959000000,12241000000,397000000,160400000
2021-12-31,31387000000,1139000000,1139000000,1139000000,24666000000,None,240000000,205000000,303000000,None,None,None,24666000000,24666000000,24666000000,-2767000000,None,18282000000,54000000,None,None,None,54000000,2587000000,54000000,789000000,54000000,None,789000000,-1744000000,15641000000,13105000000,1921000000,12625000000,397000000,160700000
2021-09-30,29907000000,1085000000,1085000000,1085000000,None,None,209000000,209000000,299000000,None,None,None,23213000000,23213000000,418000000,-2894000000,None,18066000000,59000000,None,None,None,59000000,845000000,None,789000000,59000000,None,789000000,3342000000,15709000000,11841000000,1820000000,11257000000,397000000,161100000
