fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,12361427000,400334000,391749000,400334000,None,None,4168502000,3036912000,None,6100000,6100000,None,11707615000,1061733000,8585000,-574955000,None,6735244000,352755000,None,1000000,None,403109000,6382489000,65091000,6205735000,None,None,6205735000,-403109000,111663000,5422746000,None,-1267536000,6000,64203497
2023-09-30,12497647000,392094000,391994000,392094000,-11199999,None,4235063000,3036912000,None,None,None,None,11769087000,1133515000,100000,-565100000,None,6761240000,215201000,None,1200000,None,751000,6761240000,65927000,6240543000,None,None,6240543000,-1951000,490374000,5531683000,None,-1184597000,6000,64184604
2023-06-30,12245273000,61049000,60949000,61049000,-9100000,None,4224531000,3036912000,None,None,None,None,11854365000,1122114000,100000,-219578000,None,6451913000,34429000,None,1300000,None,34429000,6417484000,66857000,5943284000,34429000,None,5943284000,-174246000,159231000,5585278000,None,-1123594000,6000,64183304
2023-03-31,12279774000,67812000,67712000,67812000,-3000000,None,4228971000,3031415000,None,None,None,None,11925218000,1131183000,100000,-197744000,None,6452709000,457000,None,1500000,None,457000,6452252000,67772000,5944015000,457000,None,5944015000,-209572000,161802000,5618781000,None,-1074930000,6000,64181614
2022-12-31,12372905000,42681000,33295000,42681000,-9386000,None,4245451000,3043321000,None,7400000,7400000,None,12054328000,1127491000,9386000,9386000,None,6450639000,52073000,None,1700000,None,52073000,6398566000,68696000,5958184000,52073000,None,5958184000,-167161000,423759000,5716372000,None,-1080176000,6000,64604603
2022-09-30,12624330000,42911000,42711000,42911000,-10858000,None,4271122000,3059246000,None,None,None,None,12210769000,1145345000,200000,83024000,None,6713895000,219481000,None,1900000,None,219481000,6494414000,68043000,5985176000,219481000,None,5985176000,-224228000,149152000,5703432000,None,-1123215000,6000,64753312
2022-06-30,12558011000,37956000,37756000,37956000,-10707000,None,4205680000,3045100000,None,None,None,None,12177157000,1093235000,200000,78458000,None,6518213000,63175000,None,2100000,None,63175000,6455038000,68924000,5986106000,63175000,None,5986106000,-173716000,154934000,5827847000,None,-1073577000,7000,65124355
2022-03-31,12770301000,98907000,98107000,98907000,-10446000,None,4245378000,3032678000,None,None,None,None,12218764000,1144542000,800000,67037000,None,6592356000,98000000,None,2200000,None,98000000,6494356000,69801000,5987021000,98000000,None,5987021000,-221925000,139352000,5956983000,None,-987333000,7000,65332274
2021-12-31,12997873000,58638000,48420000,58638000,-10218000,None,4289852000,3032678000,None,8900000,8900000,None,12352704000,1177802000,10218000,75182000,None,6786699000,694357000,None,2400000,None,341257000,6445442000,70675000,638959000,341257000,None,638959000,172349000,428614000,5993603000,None,-916833000,7000,65248393
2021-09-30,12788641000,52410000,49910000,52410000,-11042000,None,4149521000,2997904000,None,None,None,None,12168432000,1081861000,2500000,74132000,None,6624044000,438903000,None,2600000,None,42662000,6581382000,71520000,6088818000,42662000,None,6088818000,175813000,464224000,5949232000,None,-917315000,7000,65081032
2021-06-30,12747199000,50655000,48155000,50655000,-10021000,None,4031329000,2923508000,None,None,None,None,12117803000,1037270000,2500000,63505000,None,6575470000,419891000,None,2800000,None,85000000,6490470000,72363000,6089699000,85000000,None,6089699000,174770000,38068000,5953455000,None,-899663000,7000,65003996
2021-03-31,12790204000,105842000,103442000,105842000,-9918000,None,3936373000,2902401000,None,None,None,None,11849061000,962625000,2400000,97362000,None,6542951000,336347000,None,3000000,None,642419000,6542951000,73201000,6140569000,None,None,6140569000,177674000,36694000,6025176000,None,-828625000,6000,64998910
2020-12-31,12936177000,84041000,73629000,84041000,57938000,None,4025662000,2929009000,None,4700000,4700000,None,12096064000,1018010000,10412000,57752000,None,6720746000,356034000,None,3100000,None,350000000,6720746000,74037000,643550000,None,None,643550000,203179000,143022000,6000410000,None,-861193000,6000,64999015
2020-09-30,13401042000,561146000,558446000,561146000,32878000,None,4035666000,2944521000,None,None,None,None,12241888000,1018235000,2700000,57313000,None,7102841000,378177000,None,3300000,None,702379000,7102841000,74844000,6650278000,None,None,6650278000,172657000,114480000,6082997000,None,-821841000,7000,65209946
2020-06-30,13177411000,248904000,246204000,248904000,24495000,None,4016117000,2933690000,None,None,None,None,12259915000,1008758000,2700000,63165000,None,6791289000,355778000,None,3500000,None,None,6791289000,75626000,6351261000,None,None,6351261000,191438000,116099000,6166074000,None,-760028000,7000,65331206
2020-03-31,13450841000,275077000,271877000,275077000,-10470000,None,4054879000,2983314000,None,None,None,None,12576594000,997137000,3200000,60410000,None,7000249000,736902000,None,3700000,None,350000000,6650249000,76405000,6184771000,350000000,None,6184771000,193338000,117695000,6228165000,None,-708697000,7000,65412355
2019-12-31,12705405000,81094000,70087000,81094000,-11007000,None,4187688000,2773805000,None,1200000,1200000,None,11831792000,1335339000,11007000,51942000,None,6264491000,397313000,None,3900000,None,55000000,6209491000,76740000,990667000,288257000,None,990667000,184296000,113305000,6220427000,None,-887619000,7000,65890322
2019-09-30,12997892000,78931000,74031000,78931000,-17695000,None,4255683000,2766344000,None,None,None,None,12015173000,1413861000,4900000,59231000,None,6543811000,4300000,None,4100000,4300000,4300000,6323811000,77495000,5863205000,220000000,None,5867505000,188706000,113623000,6225100000,None,-887521000,7000,66081635
2019-06-30,12671145000,54971000,38168000,54971000,-16803000,None,4178672000,2778386000,None,None,None,None,11884613000,1324081000,16803000,62336000,None,6289199000,4000000,None,4800000,4000000,4000000,6172199000,78226000,5746098000,None,None,5750098000,194160000,113600000,6154907000,None,-857994000,7000,65726808
2019-03-31,12578001000,124126000,107034000,124126000,-17092000,None,4035439000,2727878000,None,None,None,None,11767848000,1307561000,17092000,63975000,None,6223637000,3900000,None,None,3900000,3900000,6223637000,79010000,5759969000,None,None,5763869000,194426000,112839000,6191257000,None,-822087000,7000,65715783
2018-12-31,12383596000,151395000,134465000,151395000,-16930000,None,4005796000,2701356000,None,100000,100000,None,11666238000,1300140000,16930000,56369000,None,5954277000,4500000,None,6200000,4500000,4500000,5954277000,None,1806626000,515658000,None,1806626000,187874000,33375000,6267073000,None,-812796000,7000,65890322
2018-09-30,12518143000,174626000,157279000,174626000,-17347000,None,3977732000,2710139000,None,None,None,None,11819783000,1267593000,17347000,68271000,None,6045450000,3600000,None,None,3600000,3600000,6045450000,None,5643175000,None,None,5646775000,192736000,33616000,6316961000,None,-808085000,7000,66055166
