fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,4523809000,3435196000,1512883000,1512883000,None,1532599000,1067122000,479225000,597473000,7927000,None,7927000,None,None,None,170907000,None,2133459000,1704412000,860856000,280909000,None,99749000,427984000,527733000,None,None,None,527732999,462898000,None,2390350000,None,2580968000,1439000,143866000
2023-09-30,4578121000,3511916000,1639428000,1639428000,223768000,1458983000,1046628000,480924000,579961000,7927000,None,7927000,None,None,None,189737000,None,2088341000,1667045000,846461000,283797000,None,99876000,419602000,519478000,None,None,None,519478000,436911000,None,2489780000,None,2701386000,1454000,145386000
2023-06-30,4564040000,3482546000,1698587000,1698587000,175723000,1423622000,1060974000,494539000,590490000,7927000,None,7927000,None,None,None,184614000,None,2008108000,1579107000,815514000,218561000,None,99962000,426829000,526791000,None,None,None,526791000,445070000,None,2555932000,None,2752461000,1472000,147222000
2023-03-31,5332577000,4257011000,2350794000,2350794000,195670000,1604467000,1055521000,500482000,577841000,7927000,None,7927000,None,None,None,106080000,None,2185408000,1760056000,950907000,244667000,None,98469000,422153000,520622000,None,None,None,520622000,466013000,None,3147169000,None,3336140000,1527000,152712000
2022-12-31,5590434000,4518017000,2034131000,2034131000,257545000,2107645000,1054795000,501916000,567758000,7927000,None,7927000,None,None,None,118696000,None,2480413000,2054055000,1108996000,323101000,None,95621000,422844000,518465000,None,None,None,518465000,526337000,None,3110021000,None,3310892000,1543000,154313000
2022-09-30,6607526000,5587556000,2154534000,2154534000,499935000,2748322000,1003143000,480941000,548585000,7927000,None,7927000,None,None,None,184765000,None,3125346000,2706250000,1544757000,594244000,None,88535000,409883000,498418000,None,None,None,498418000,478714000,None,3482180000,None,3738600000,1591000,159128000
2022-06-30,7361142000,6330149000,1976971000,1976971000,745577000,3469833000,1014298000,495328000,554252000,7927000,None,7927000,None,None,None,137768000,None,3835894000,3411066000,1914979000,867467000,None,88112000,414813000,502925000,None,None,None,502925000,540508000,None,3525248000,None,3717316000,1629000,162931000
2022-03-31,7955993000,6962729000,2139626000,2139626000,817435000,3934856000,976262000,504125000,553048000,7927000,None,7927000,None,None,None,70812000,None,4112601000,3721972000,1980439000,952370000,None,85076000,384690000,469766000,None,None,None,469766000,704087000,None,3843392000,None,3965803000,1675000,167477000
2021-12-31,7609929000,6635045000,1728692000,1728692000,987266000,3810286000,955684000,487870000,541677000,7927000,None,7927000,None,None,None,108801000,None,4115503000,3726297000,2012461000,1142026000,None,82019000,385641000,467660000,None,None,None,467660000,489791000,None,3494426000,None,3620008000,1672000,167210000
2021-09-30,7076383000,6111539000,1820106000,1820106000,841689000,3330398000,947732000,491577000,533450000,7927000,None,7927000,None,None,None,119346000,None,3659025000,3275482000,1806977000,977660000,None,81362000,380309000,456020000,None,None,None,456020000,409483000,None,3417358000,None,3463539000,1694000,169392000
