fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-03-31,4532700000,3083500000,237100000,237100000,1496300000,1213200000,1449200000,1013000000,None,None,None,None,None,None,None,136900000,158100000,1103500000,637900000,276000000,None,None,97400000,465600000,283400000,200000000,0,200000000,200000000,207500000,5800000,3429200000,None,3431400000,5700000,572525495
2023-12-31,4462900000,3020900000,221300000,221300000,1522700000,1087600000,1442000000,1011100000,1425500000,None,None,None,None,None,None,171800000,160700000,1114100000,661300000,264100000,None,60000000,156200000,452800000,275000000,260000000,60000000,200000000,260000000,223500000,1000000,3348800000,None,3356900000,5700000,571982367
2023-09-30,4596600000,3147600000,297500000,297500000,1513800000,1171000000,1449000000,1011700000,None,None,None,None,None,None,None,150000000,163300000,1130000000,667900000,275100000,None,60000000,157000000,462100000,278900000,260000000,60000000,200000000,260000000,220500000,900000,3466600000,None,3507800000,5700000,571404311
2023-06-30,4576800000,3137000000,243600000,243600000,1565400000,1171600000,1439800000,1010300000,None,None,None,None,None,None,None,141700000,165800000,1196000000,736600000,262000000,None,150000000,245100000,459400000,268400000,350000000,150000000,200000000,350000000,214800000,1800000,3380800000,None,3412100000,5700000,571288830
2023-03-31,4577000000,3161500000,239800000,239800000,1651900000,1149800000,1415500000,1003500000,None,None,None,None,None,None,None,120000000,168200000,1306400000,863200000,266800000,None,200000000,291400000,443200000,248100000,400000000,200000000,200000000,400000000,305000000,2500000,3270600000,None,3314000000,5700000,571024422
2022-12-31,4548600000,3124800000,230100000,230100000,1708000000,1013200000,1423800000,1010000000,1301400000,2600000,2600000,None,None,None,None,165400000,170800000,1385400000,789800000,255000000,None,201800000,293700000,595600000,247100000,555000000,201800000,353200000,555000000,241100000,3500000,3163200000,None,3218700000,5700000,570811674
2022-09-30,4627400000,3195600000,231500000,231500000,1678100000,1110600000,1431800000,1008500000,None,None,None,None,None,None,None,172200000,173500000,1466200000,802600000,277200000,None,150300000,243000000,663600000,253900000,555000000,150300000,404700000,555000000,282400000,4800000,3161200000,None,3239700000,5800000,572754406
2022-06-30,4592300000,3152700000,247900000,247900000,1665200000,1103900000,1439600000,1008700000,None,None,None,None,None,None,None,129200000,176100000,1413600000,849000000,291800000,None,195000000,288500000,564600000,259000000,505000000,195000000,310000000,505000000,268700000,None,3178700000,None,3171600000,5800000,574676079
2022-03-31,4466700000,3034000000,234200000,234200000,1600800000,1071600000,1432700000,1008400000,None,None,None,None,None,None,None,127400000,178300000,1324700000,745500000,289900000,None,35000000,126300000,579200000,250900000,365000000,35000000,330000000,365000000,329300000,None,3142000000,None,3063000000,5800000,575601845
2021-12-31,4299000000,2856600000,236200000,236200000,1523600000,900200000,1442400000,1019200000,1178000000,None,None,None,None,None,None,188100000,180900000,1256800000,682200000,233100000,None,60000000,150800000,574600000,246800000,390000000,60000000,330000000,390000000,298300000,0,3042200000,None,2970900000,5800000,575464682
