fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,8436512000,250825000,250825000,250825000,None,None,775216000,613296000,None,33207000,33207000,None,7626734000,34870000,None,-461754000,None,5210990000,297830000,None,None,None,690485000,4913160000,88540000,4615731000,None,None,4615731000,-567369000,225443000,2963509000,None,-1160474000,833000,82775286
2023-09-30,8293693000,98210000,98210000,98210000,-7190000,None,787786000,619964000,None,None,None,None,7618522000,35463000,7190000,-299485000,None,5156105000,331406000,None,None,None,796429000,4824699000,144226000,4450525000,None,None,4450525000,-674877000,229948000,2881911000,None,-1132350000,821000,81618162
2023-06-30,8278876000,98064000,98064000,98064000,-6014999,None,835602000,667554000,None,None,None,None,7611001000,34942000,6015000,-302975000,None,5120296000,306760000,None,None,None,777678000,4813536000,144583000,4431636000,None,None,4431636000,-657945000,237317000,2900689000,None,-1098432000,820000,81515511
2023-03-31,8269294000,99449000,99449000,99449000,-4890999,None,941658000,664184000,None,None,None,None,7583173000,143464000,4891000,-309404000,None,5086700000,314879000,None,None,None,806491000,4771821000,145100000,4389405000,None,None,4389405000,-687704000,237316000,2925226000,None,-1068892000,820000,81511204
2022-12-31,8233991000,85558000,85558000,85558000,-267406000,None,988397000,662554000,None,40602000,40602000,None,7543343000,145205000,145205000,267406000,None,5021606000,309111000,None,None,None,746480000,4712495000,145403000,4344474000,None,None,4344474000,-627709000,237699000,2954012000,None,-1034186000,818000,81342959
2022-09-30,8217007000,146214000,146214000,146214000,-6508000,None,945406000,681641000,None,None,None,None,7482998000,122822000,122822000,266203000,None,5049368000,630773000,None,None,None,267000000,4418595000,145896000,4296899000,267000000,None,4296899000,118163000,242800000,2900943000,None,-1060027000,817000,81204286
2022-06-30,7810441000,176559000,176559000,176559000,-3896000,None,782605000,630287000,None,None,None,None,7081101000,13515000,13515000,226608000,None,4724702000,341289000,None,None,None,445326000,4383413000,143846000,4030350000,None,None,4030350000,-330697000,209217000,2795883000,None,-1126463000,813000,80896804
2022-03-31,7668375000,157944000,157944000,157944000,None,None,815910000,662985000,None,None,None,None,6941629000,13183000,13183000,245581000,None,4739755000,346463000,None,None,None,445885000,4393292000,144345000,4047267000,None,None,4047267000,-333195000,201680000,2633758000,None,-1101154000,799000,79417472
2021-12-31,7622320000,162132000,162132000,162132000,None,None,803792000,607271000,None,42919000,42919000,None,6913537000,13027000,13027000,237069000,None,4745464000,347037000,None,None,None,373498000,4398427000,144693000,4063414000,None,None,4063414000,111869000,206187000,2580602000,None,-1066932000,790000,78603305
2021-09-30,7634442000,177591000,177591000,177591000,None,None,816711000,662643000,None,None,None,None,6912700000,12079000,None,242322000,None,4875310000,354885000,None,None,None,447108000,4520425000,145646000,4164350000,None,None,4164350000,-546924000,356075000,2461163000,None,-1095741000,782000,77774645
