fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,17344000000,5703000000,1093000000,1093000000,1955000000,2135000000,11641000000,7913000000,11238000000,2282000000,197000000,2085000000,306000000,306000000,None,520000000,1140000000,16429000000,6930000000,3653000000,None,567000000,2000000,9320000000,130000000,7982000000,565000000,None,7984000000,494000000,860000000,915000000,5222000000,8368000000,473000000,337000000
2023-09-30,17153000000,5727000000,814000000,814000000,2021000000,2298000000,11426000000,7700000000,10950000000,2242000000,197000000,2045000000,320000000,320000000,None,594000000,1164000000,16473000000,6831000000,3490000000,None,687000000,687000000,9272000000,None,7403000000,687000000,8053000000,8090000000,3341000000,809000000,680000000,5101000000,8217000000,473000000,338000000
2023-06-30,17383000000,5744000000,580000000,580000000,2128000000,2359000000,11639000000,7815000000,10909000000,2294000000,208000000,2086000000,299000000,299000000,None,677000000,1231000000,16883000000,6598000000,3713000000,None,188000000,188000000,9924000000,None,7947000000,188000000,8068000000,8135000000,2697000000,848000000,500000000,5071000000,8040000000,473000000,338200000
2023-03-31,18177000000,5851000000,524000000,524000000,2224000000,2430000000,12326000000,7866000000,10834000000,2958000000,868000000,2090000000,281000000,281000000,None,673000000,1221000000,17458000000,7094000000,3788000000,None,536000000,536000000,10012000000,None,7945000000,536000000,8415000000,8481000000,2770000000,810000000,719000000,5153000000,8365000000,473000000,337400000
2022-12-31,17970000000,5729000000,427000000,427000000,2269000000,2280000000,12241000000,7885000000,10664000000,2925000000,851000000,2074000000,238000000,238000000,None,753000000,1193000000,17423000000,7334000000,3813000000,None,844000000,373000000,9678000000,127000000,8049000000,471000000,8049000000,8422000000,2030000000,799000000,547000000,5137000000,8201000000,473000000,337500000
2022-09-30,17836000000,5625000000,362000000,362000000,2281000000,2333000000,12243000000,7737000000,10407000000,2941000000,898000000,2043000000,266000000,266000000,None,649000000,1299000000,17399000000,7197000000,3660000000,None,959000000,959000000,9796000000,None,7628000000,959000000,7988000000,8587000000,1942000000,695000000,437000000,5126000000,8086000000,473000000,337500000
2022-06-30,18114000000,5662000000,311000000,311000000,2278000000,2469000000,12484000000,7931000000,10522000000,3027000000,925000000,2102000000,270000000,270000000,None,604000000,1256000000,17521000000,7209000000,3701000000,None,1031000000,1031000000,9903000000,None,7698000000,1031000000,8061000000,8729000000,1774000000,673000000,593000000,5111000000,8022000000,473000000,337600000
2022-03-31,18672000000,5903000000,493000000,493000000,2265000000,2516000000,12801000000,8114000000,10591000000,3135000000,958000000,2177000000,266000000,266000000,None,629000000,1286000000,17967000000,7257000000,3846000000,None,969000000,969000000,10301000000,None,8101000000,969000000,8115000000,9070000000,2442000000,716000000,705000000,None,7988000000,473000000,337000000
2021-12-31,17837000000,5565000000,270000000,270000000,2239000000,2207000000,12272000000,8097000000,10431000000,2650000000,810000000,1840000000,290000000,290000000,None,849000000,1235000000,17323000000,6749000000,3840000000,None,433000000,118000000,10325000000,130000000,8456000000,315000000,8456000000,8574000000,1782000000,681000000,514000000,5183000000,7858000000,473000000,336800000
2021-09-30,17775000000,5626000000,286000000,286000000,2098000000,2399000000,12149000000,7964000000,10378000000,2606000000,810000000,1796000000,340000000,340000000,340000000,843000000,1239000000,17068000000,7258000000,3519000000,None,1387000000,1387000000,9782000000,None,7555000000,1387000000,7870000000,8942000000,2352000000,657000000,707000000,5191000000,7883000000,473000000,336700000
