fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,56146800000,7986400000,4579300000,4579300000,52800000,2488000000,34646000000,24907600000,18662400000,3040400000,None,3040400000,1080200000,1080200000,None,919100000,5617800000,60853500000,6859000000,1102900000,790100000,2192400000,347600000,40936800000,13745800000,39300000000,2192400000,37152900000,39647600000,6859000000,949700000,-4706700000,74640100000,63479900000,16600000,727800000
2023-09-30,52089300000,6850000000,3496300000,3496300000,47600000,2247100000,45239300000,23924100000,18042900000,2965200000,2965200000,2965200000,1037900000,1037900000,None,1059000000,5062600000,56944100000,4002700000,862400000,767600000,None,668100000,52941400000,12475300000,37300000000,None,37274600000,37300000000,1704600000,984200000,-4854800000,73799200000,62649000000,16600000,727200000
2023-06-30,50442000000,4945400000,1625600000,1625600000,52400000,2193600000,45496600000,24101500000,18029500000,2968600000,2968600000,2968600000,1038800000,1038800000,13600000,1073800000,4869000000,55441100000,3673700000,806600000,769100000,None,687200000,51767400000,12761400000,35700000000,None,35710100000,35700000000,1410800000,1041800000,-4999100000,72732500000,61436600000,16600000,729600000
2023-03-31,52014400000,6798700000,3708100000,3708100000,51500000,2075500000,45215700000,23858500000,17628600000,2930600000,2930600000,2930600000,1087600000,1087600000,None,963600000,4794800000,57790500000,4624700000,811800000,760500000,524200000,524200000,53165800000,12791300000,37100000000,524200000,36603700000,37624200000,1859500000,1059400000,-5776100000,72173800000,60235000000,16600000,731000000
2022-12-31,50435600000,5424200000,2583800000,2583800000,52000000,2115000000,45011400000,23773600000,17264000000,2900400000,3764700000,2900400000,1064500000,1064500000,None,725400000,4707200000,56439000000,3802100000,980200000,757800000,0,0,52636900000,12134400000,35903500000,None,35903500000,35900000000,1403000000,1051800000,-6003400000,71624400000,59543900000,16600000,731100000
2022-09-30,48501600000,5740800000,2828300000,2828300000,43400000,1889900000,42760800000,22698300000,16398500000,2651300000,2651300000,2651300000,963800000,963800000,None,979200000,4254600000,55067800000,3486100000,794800000,727800000,None,654900000,51581700000,12421700000,34900000000,None,34866200000,34900000000,1308600000,990800000,-6566200000,71235200000,58752000000,16600000,734900000
2022-06-30,49247800000,4919300000,1872500000,1872500000,43300000,1836700000,44328500000,23334500000,16779800000,2722400000,None,2722400000,1074000000,1074000000,66100000,1166800000,4403400000,55617600000,3480100000,739400000,733000000,None,689600000,52137500000,13009000000,34600000000,None,34576500000,34600000000,1318100000,1022800000,-6369800000,70303800000,57785100000,16600000,737500000
2022-03-31,50877700000,4656400000,2335700000,2335700000,49600000,1674100000,46221300000,24434700000,17338400000,2813900000,None,2813900000,1177200000,1177200000,None,597000000,4416900000,56868500000,4234600000,718600000,743000000,None,691900000,52633900000,13563700000,34000000000,None,33988800000,34000000000,2081100000,1092000000,-5990800000,69286600000,57614000000,16600000,742600000
2021-12-31,53854300000,7148500000,4709200000,4709200000,55600000,1872400000,46705800000,24720600000,17196000000,2782500000,None,2782500000,1201200000,1201200000,None,566900000,4449500000,58455300000,4020000000,1006800000,738300000,None,705500000,54435300000,13020900000,35622700000,0,35622700000,35622700000,1569400000,1081000000,-4601000000,67810200000,57534700000,16600000,745700000
2021-09-30,52727000000,6795900000,4305800000,4305800000,50100000,1828500000,45931100000,24428700000,16995000000,2744200000,None,2744200000,1171400000,1171400000,1171000000,611500000,4057900000,58402000000,5095600000,772600000,720100000,500000000,1201500000,53306400000,13688100000,1200000000,500000000,34628000000,1200000000,2401400000,1046600000,-5675000000,67051900000,55897700000,16600000,747100000
