fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-02-29,12890100000,2020200000,178000000,178000000,1129600000,567500000,9954900000,1354500000,None,8600400000,3346800000,5253600000,None,None,None,145100000,None,7632700000,2973800000,1133300000,None,1127900000,329500000,4658900000,None,4127500000,798400000,3329100000,4457000000,712600000,471500000,5232500000,None,3412800000,2213400000,268400000
2023-11-30,12862300000,2001600000,166600000,166600000,1126500000,587500000,10498400000,1324700000,1253100000,8616800000,3356700000,5260100000,None,115000000,None,73400000,None,7778800000,3098900000,1119300000,None,1079800000,272200000,5114400000,103000000,4139200000,799300000,3339900000,4411400000,908100000,478800000,5060700000,None,3249700000,2199600000,268400000
2023-08-31,12990100000,2127500000,154700000,154700000,1225500000,624500000,9902500000,1285700000,None,8616800000,3364400000,5252400000,None,None,None,122800000,None,7920000000,3171000000,1099900000,None,1391800000,387000000,4749000000,None,4390100000,1004800000,3385300000,4777100000,1684100000,499200000,5049300000,None,3251700000,2191500000,268400000
2023-05-31,12908200000,2104000000,127400000,127400000,1276200000,557200000,9856900000,1249600000,None,8607300000,3371900000,5235400000,None,None,None,143200000,None,7951300000,2487100000,1100000000,None,745900000,460200000,5464200000,None,4403300000,285700000,4117600000,4863500000,926900000,484100000,4937000000,None,3191400000,2177100000,268400000
2023-02-28,13205400000,2411300000,356800000,356800000,1344600000,571000000,9836600000,1225200000,None,8611400000,3381700000,5229700000,None,957500000,None,138900000,None,8317700000,3321000000,1124300000,None,1586000000,1304800000,4996700000,None,3901000000,281200000,3619800000,5205800000,610700000,510200000,4870100000,None,3155100000,2152100000,268200000
2022-11-30,13124900000,2386700000,334000000,334000000,1340100000,573700000,10359300000,1198000000,1135000000,8600800000,3387900000,5212900000,None,115100000,None,77200000,None,8425700000,3432400000,1171000000,None,1515100000,1236700000,5449100000,110500000,3912900000,270600000,3642300000,5149600000,754100000,484700000,4680500000,None,3022500000,2138600000,268500000
2022-08-31,12941000000,2412800000,343900000,343900000,1379500000,565800000,9745400000,1139100000,None,8606300000,3396600000,5209700000,None,782800000,None,123600000,None,8334300000,3140400000,1143500000,None,1457000000,1436400000,5193900000,None,3925400000,20600000,3904800000,5361800000,539900000,472800000,4589300000,None,3048400000,2130900000,268300000
2022-05-31,12957900000,2324700000,325800000,325800000,1344600000,493100000,9856000000,1136100000,None,8719900000,3419700000,5300200000,None,777200000,None,161200000,None,8342800000,3133000000,1126400000,None,1437800000,667000000,5209800000,None,4691100000,770800000,3920300000,5358100000,568800000,478500000,4598200000,None,2933600000,2119200000,268300000
2022-02-28,12940800000,2239000000,338400000,338400000,1244200000,516700000,9913000000,1135900000,None,8777100000,3443700000,5333400000,None,788800000,None,139700000,None,8326600000,3076700000,1072600000,None,1407500000,636700000,5249900000,None,4735300000,770800000,3964500000,5372000000,596600000,488900000,4597700000,None,2922400000,2091300000,267800000
2021-11-30,12905800000,2195800000,351700000,351700000,1182300000,549500000,10314800000,1140300000,1061900000,8788300000,3452500000,5335800000,None,137300000,None,70600000,None,8480300000,3223800000,1064200000,None,1316900000,539100000,5752000000,118200000,4743600000,770300000,3973300000,5282700000,850200000,490900000,4411000000,None,2782400000,2055100000,267600000
2021-08-31,12884400000,2160900000,312600000,312600000,1202400000,541000000,9971300000,1113500000,None,8857800000,3478300000,5379500000,None,None,None,104900000,None,8481300000,3161300000,1023100000,None,1535900000,767400000,5320000000,None,4753500000,768500000,3985000000,5520900000,602300000,582400000,4386500000,None,2780000000,2042100000,267400000
