fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,50580000000,16379000000,5933000000,5933000000,4822000000,4750000000,40446000000,9159000000,17711000000,17153000000,4226000000,12927000000,220000000,74000000,53000000,336000000,7130000000,45712000000,15297000000,3245000000,572000000,2947000000,1795000000,31875000000,60000000,14240000000,1152000000,13088000000,16035000000,7611000000,14322000000,4807000000,32859000000,37479000000,9000000,552581136
2023-09-30,49621000000,16198000000,5140000000,5140000000,5065000000,4852000000,33423000000,9004000000,17185000000,17045000000,4324000000,12721000000,96000000,None,73000000,490000000,6592000000,44890000000,15466000000,3104000000,501000000,3137000000,3371000000,29424000000,234000000,14125000000,3137000000,12876000000,14125000000,7866000000,14152000000,4672000000,32889000000,37375000000,9000000,552317038
2023-06-30,48880000000,15754000000,4258000000,4258000000,5280000000,4947000000,33126000000,9211000000,17248000000,17339000000,4470000000,12869000000,79000000,None,56000000,539000000,5764000000,41023000000,10936000000,3231000000,521000000,3033000000,3277000000,30087000000,244000000,14203000000,3033000000,12954000000,14203000000,3471000000,14651000000,7798000000,32926000000,40290000000,9000000,551992430
2023-03-31,46886000000,14963000000,3824000000,3824000000,5306000000,4638000000,31923000000,9247000000,17049000000,17440000000,4585000000,12855000000,168000000,None,145000000,492000000,4353000000,31535000000,10556000000,3130000000,520000000,3012000000,3275000000,20979000000,263000000,14848000000,3012000000,12948000000,14848000000,3279000000,5448000000,15298000000,32963000000,47966000000,9000000,551672217
2022-12-31,46455000000,14688000000,3655000000,3655000000,5372000000,4532000000,34124000000,9178000000,16820000000,17489000000,4699000000,12790000000,504000000,81000000,238000000,456000000,4271000000,31685000000,9523000000,3183000000,538000000,1938000000,2199000000,23847000000,75000000,15939000000,1938000000,14001000000,15939000000,3190000000,5615000000,14722000000,33255000000,47950000000,9000000,549245105
2022-09-30,46176000000,14895000000,3404000000,3404000000,5615000000,4722000000,31281000000,9196000000,17470000000,17484000000,4815000000,12669000000,212000000,None,185000000,502000000,3800000000,32020000000,9543000000,3063000000,506000000,1856000000,2097000000,22477000000,811000000,15705000000,1856000000,13849000000,15705000000,3396000000,5556000000,14080000000,32843000000,48245000000,9000000,552742915
2022-06-30,45634000000,14514000000,2722000000,2722000000,5645000000,4914000000,31120000000,9319000000,17694000000,18057000000,4993000000,13064000000,474000000,None,262000000,383000000,2909000000,31818000000,9896000000,3273000000,503000000,2257000000,2513000000,21922000000,256000000,15921000000,2257000000,14019000000,15921000000,3178000000,4681000000,13742000000,30781000000,45269000000,9000000,569603928
2022-03-31,45855000000,14452000000,3247000000,3247000000,5290000000,4815000000,31403000000,9389000000,17768000000,18509000000,5141000000,13368000000,251000000,None,112000000,427000000,2640000000,30851000000,9152000000,3164000000,549000000,1877000000,2138000000,21699000000,869000000,16673000000,1877000000,14801000000,16673000000,2938000000,3498000000,14930000000,30860000000,46056000000,9000000,569058849
2021-12-31,47072000000,15403000000,4564000000,4564000000,4985000000,4660000000,23999000000,9429000000,17784000000,18774000000,5288000000,13486000000,435000000,129000000,201000000,339000000,2608000000,31955000000,9035000000,2994000000,529000000,1307000000,9000000,24795000000,93000000,17347000000,1291000000,16056000000,17356000000,3191000000,3403000000,15046000000,30463000000,45821000000,9000000,571845478
2021-09-30,48278000000,16426000000,4878000000,4878000000,4950000000,4916000000,31852000000,9323000000,17888000000,19023000000,5426000000,13597000000,885000000,None,855000000,326000000,2666000000,33748000000,9635000000,2862000000,467000000,1972000000,2234000000,24113000000,262000000,18149000000,1972000000,16193000000,18149000000,3242000000,3353000000,14460000000,29673000000,45361000000,9000000,576252803
