fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,177489000000,15361000000,2690000000,2690000000,2106000000,4553000000,162128000000,125776000000,None,6783000000,1692000000,5091000000,9676000000,6156000000,None,1335000000,7704000000,118465000000,27963000000,1861000000,638000000,11806000000,4905000000,90502000000,None,32228000000,6901000000,61405000000,37133000000,2999000000,2762000000,47468000000,None,30235000000,21000000,2052000000
2023-09-30,171674000000,14244000000,1568000000,1568000000,2074000000,4961000000,157430000000,120883000000,None,5043000000,None,5043000000,9728000000,5991000000,None,2442000000,8258000000,115106000000,28496000000,1971000000,615000000,14139000000,6160000000,86610000000,None,59183000000,7979000000,59183000000,6160000000,2243000000,2817000000,47095000000,None,29984000000,21000000,2052000000
2023-06-30,168275000000,13122000000,1577000000,1577000000,1931000000,4594000000,155153000000,117740000000,None,5184000000,None,5184000000,10788000000,7069000000,None,1372000000,7244000000,113899000000,24871000000,1911000000,596000000,11191000000,4861000000,89028000000,None,60982000000,6330000000,60982000000,4861000000,2139000000,2971000000,44793000000,None,29711000000,20000000,2024000000
2023-03-31,165357000000,13549000000,2275000000,2275000000,1915000000,3932000000,151808000000,114929000000,None,5184000000,None,5184000000,10596000000,7004000000,None,1317000000,6980000000,112378000000,25377000000,1456000000,583000000,11634000000,4711000000,87001000000,None,59007000000,6923000000,59007000000,4711000000,2383000000,2978000000,42896000000,None,27862000000,20000000,2023000000
2022-12-31,158935000000,13490000000,1601000000,1601000000,1934000000,5187000000,145445000000,111059000000,None,5613000000,759000000,4854000000,10107000000,6582000000,None,789000000,5695000000,109499000000,26695000000,1760000000,560000000,9710000000,3077000000,82804000000,None,29730000000,6633000000,55256000000,32807000000,3182000000,2696000000,39229000000,None,26707000000,20000000,1987000000
2022-09-30,156409000000,12891000000,2508000000,2508000000,1791000000,5329000000,143518000000,108447000000,None,4872000000,None,4872000000,9860000000,6316000000,None,1212000000,5295000000,109663000000,27793000000,1891000000,525000000,10155000000,2863000000,81870000000,None,54670000000,7292000000,54670000000,2863000000,3415000000,2682000000,38629000000,None,26029000000,20000000,1987000000
2022-06-30,151770000000,14332000000,2861000000,2861000000,1642000000,5131000000,137438000000,105393000000,None,4843000000,None,4843000000,9665000000,6064000000,None,1776000000,4637000000,107163000000,26821000000,1674000000,497000000,10201000000,2951000000,80342000000,None,53382000000,7250000000,53382000000,2951000000,2075000000,2494000000,36439000000,None,25169000000,20000000,1965000000
2022-03-31,144945000000,10988000000,1477000000,1477000000,1586000000,4291000000,133798000000,101935000000,None,4844000000,None,4844000000,8703000000,5752000000,None,1244000000,4427000000,100693000000,22423000000,1572000000,485000000,8719000000,3155000000,78270000000,None,50974000000,5564000000,50974000000,3155000000,1832000000,2581000000,35887000000,None,24625000000,20000000,1964000000
2021-12-31,140912000000,9288000000,639000000,639000000,1561000000,4221000000,131624000000,99348000000,None,5586000000,742000000,4844000000,7983000000,6159000000,None,1166000000,4395000000,95243000000,17437000000,1378000000,485000000,3867000000,2082000000,77806000000,None,21709000000,1785000000,50960000000,23791000000,2695000000,2468000000,37202000000,None,25911000000,20000000,1963000000
2021-09-30,139163000000,9572000000,692000000,692000000,1744000000,3858000000,129464000000,99141000000,None,4844000000,None,4844000000,8279000000,5942000000,5942000000,1610000000,4411000000,94437000000,20456000000,1396000000,482000000,7249000000,4294000000,73981000000,None,48092000000,2955000000,48092000000,4294000000,1823000000,2532000000,36649000000,None,25464000000,20000000,1962000000
2021-06-30,135013000000,8061000000,884000000,884000000,1596000000,3402000000,126810000000,96811000000,None,4846000000,None,4846000000,8050000000,5907000000,5907000000,947000000,4056000000,89899000000,16818000000,1137000000,486000000,5763000000,1259000000,73081000000,None,47559000000,4504000000,47559000000,1259000000,1596000000,2508000000,36932000000,None,25773000000,20000000,1962000000
