fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,57779357000,236323000,232923000,232923000,31466000,None,25185583000,14929310000,None,8749385000,5017907000,3731478000,44745974000,1178174000,-6056000,-2833222000,None,24672388000,583000000,None,None,583000000,583000000,22781675000,469558000,20755747000,764390000,None,21338747000,747552001,1436750000,32941467000,None,-6762136000,39629709000,752460000
2023-09-30,55336920000,344129000,344129000,344129000,19927000,None,24499755000,14408324000,None,8820771000,5089293000,3731478000,42278972000,6030000,23000000,-2762052000,None,23513502000,376800000,None,None,376800000,376800000,21807588000,468826000,19594887000,858260000,None,19971687000,-109279000,2212701000,31657144000,None,-6416534000,38031829000,723894000
2023-06-30,53980666000,253693000,253693000,253693000,17324000,None,24108608000,14011325000,None,8969878000,5238400000,3731478000,41211201000,6003000,15200000,-2493247000,None,22669523000,122700000,None,None,122700000,122700000,20937028000,477386000,18641564000,990257000,None,18764264000,-175231000,2295464000,31143211000,None,-6102226000,37149380000,708773000
2023-03-31,51101438000,164576000,164576000,164576000,24445000,None,23441125000,13324929000,None,8988273000,5256795000,3731478000,38967414000,5977000,11600000,-1784199000,None,21714100000,145000000,None,None,145000000,145000000,19813654000,1445133000,17578618000,1304858000,None,17723618000,-113099000,3539894000,29259106000,None,-5772923000,34958608000,673206775
2022-12-31,49673100000,171102000,171102000,171102000,29535000,None,22919696000,12948835000,None,8899844000,5168366000,3731478000,37835521000,5951000,None,71422000,None,20829803000,701800000,None,None,701800000,701800000,17535916000,1379436000,15381693000,2729040000,None,16083493000,-103935000,4883263000,28713149000,None,-5493193000,34159509000,660300195
2022-09-30,45892475000,187745000,187745000,187745000,18309000,None,21682130000,11852057000,None,8795800000,5064322000,3731478000,34384175000,5926000,4700000,152156000,None,19028218000,723800000,None,None,723800000,723800000,16542578000,1368525000,14421523000,1920159000,None,15145323000,-101033000,4041214000,26737119000,None,-5241012000,32003069000,627145827
2022-06-30,44951918000,172849000,172849000,172849000,66336000,None,21532882000,11605933000,None,8886472000,5154994000,3731478000,33556813000,113562000,5902000,142260000,None,18549039000,950000000,None,None,950000000,950000000,16872379000,1346648000,14785374000,1169121000,None,15735374000,-89136000,3256126000,26326612000,None,-4999150000,31303383000,617564272
2022-03-31,44062017000,151624000,151624000,151624000,-136059000,None,21038315000,11158545000,None,8899261000,5187280000,3711981000,32853406000,141191000,7506000,220505000,None,18483292000,950000000,None,None,950000000,950000000,16508544000,481250000,14411870000,1519625000,None,15361870000,-104182000,2096674000,25502179000,None,-4772112000,30236374000,601566581
2021-12-31,43137500000,258579000,258579000,258579000,-115163000,None,20555606000,10753750000,None,8952009000,5275304000,3676705000,32129690000,140967000,7492000,145633000,None,18008102000,901400000,None,None,901400000,901400000,15958679000,505735000,13891261000,1551376000,None,14792661000,-95203000,3618794000,25052574000,None,-4530571000,29578212000,591261991
2021-09-30,23711094000,516983000,516983000,516983000,-49685000,None,10216646000,7308046000,None,2169955000,2156008000,13947000,19821721000,None,23682107000,94624000,None,10341981000,405000000,None,None,405000000,405000000,9571114000,221336000,8844362000,405000000,None,9249362000,-60191000,726752000,13335093000,None,-4112953000,17449122000,404206076
2021-06-30,21984941000,231164000,231164000,231164000,-60014000,None,9336008000,6975008000,None,1983810000,1969793000,14017000,18943382000,None,None,99554000,None,10111262000,650000000,None,None,650000000,650000000,8475696000,117236000,7880081000,1285306000,None,8530081000,-62565000,595615000,11839532000,None,-3968333000,15827231000,380174042
2021-03-31,20979570000,183984000,183984000,183984000,-28499000,None,8881807000,6672885000,None,1834260000,1820146000,14114000,18209436000,None,None,50999000,None,9412557000,675000000,None,None,675000000,675000000,8448727000,118286000,7857495000,675000000,None,8532495000,-64521000,1266232000,11534872000,None,-3827660000,15371016000,373509822
2020-12-31,20740285000,824476000,824476000,824476000,-34015000,None,8405686000,6318926000,None,1724835000,1710655000,14180000,17466152000,None,None,53019000,None,9722555000,327027000,None,None,None,0,9395528000,120815000,8817467000,None,None,8817467000,-24337000,578061000,10985483000,None,-3659933000,14700050000,361303445
2020-09-30,19785370000,724750000,724750000,724750000,-24064000,None,7936161000,5982495000,None,1624739000,1610457000,14282000,16741673000,None,None,65157000,None,9285582000,300000000,None,None,300000000,300000000,8139834000,123326000,7579719000,856142000,None,7879719000,-29023000,1416257000,10470527000,None,-3527521000,14050494000,350595869
2020-06-30,19102547000,335345000,35345000,335345000,-95253000,None,7594420000,5772734000,None,1522560000,1508177000,14383000,16502311000,None,300000000,135804000,None,8728628000,911111000,None,None,None,628551000,7817517000,125818000,7874777000,628551000,None,7874777000,-35133000,571291000,10344449000,None,-3306588000,13704121000,345023421
2020-03-31,18796442000,41804000,41804000,41804000,-99784000,None,7354675000,5742023000,None,1531216000,1516819000,14397000,16570581000,None,None,121140000,None,8378803000,878264000,None,None,None,615176000,7500539000,127813000,7535614000,615176000,None,7535614000,-36380000,580101000,10388015000,None,-3173468000,13604055000,343402030
