fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,24740601000,11309600000,962165000,985197000,4722499000,5297367000,13533032000,5157150000,None,6429161000,1174151000,5255010000,125063000,102031000,23032000,327569000,576120000,22336567000,8254470000,5737726000,None,84513000,203910000,14048730000,856751000,12028122000,84513000,None,12969386000,2266061999,979376000,2404034000,10772840000,11724251000,765175000,504312633
2023-09-30,23272751000,10895714000,569104000,591942000,4648610000,5344514000,12473679000,5021424000,None,5594287000,874902000,4719385000,119480000,96642000,22838000,333486000,566309000,21146952000,8454164000,5796398000,None,188978000,298647000,12658238000,805386000,10703873000,188978000,None,11698237000,2176934000,958614000,2125799000,10712486000,11560924000,765175000,505126492
2023-06-30,22821145000,10608364000,745201000,757968000,4480812000,5097785000,12605890000,4915049000,None,5505284000,859530000,4645754000,120684000,107917000,12767000,284566000,640232000,20812523000,8540433000,6025757000,None,62550000,161601000,12238878000,259887000,2920991000,24621000,None,2920991000,2251181000,931708000,2008622000,10629308000,11310664000,765175000,506546403
2023-03-31,22702033000,10898594000,757867000,757867000,4620614000,None,11803439000,4649356000,None,5500434000,886629000,4613805000,None,None,None,292726000,509086000,21126731000,8980735000,5902249000,None,None,818272000,12112992000,728023000,10258345000,723473000,None,11709841000,2260214000,1009016000,1575302000,None,10829909000,765175000,507716975
2022-12-31,22087231000,10396006000,500340000,500340000,4661516000,4933637000,11810005000,4562435000,None,5488094000,911196000,4576898000,118780000,118780000,None,300513000,496978000,20650642000,8388521000,5420422000,None,702067000,806137000,12228815000,737894000,10349913000,702067000,None,11789874000,2161962000,1012634000,1436589000,10427277000,10649338000,765175000,507609696
2022-09-30,22210943000,10767267000,437670000,437670000,4682609000,None,11443676000,4462608000,None,5340861000,906385000,4434476000,None,None,None,310131000,552765000,21095602000,8959264000,6018227000,None,None,649856000,12105130000,722888000,10263331000,555829000,None,11542048000,2291181000,971190000,1115341000,None,10757136000,765175000,507578576
2022-06-30,22085688000,10483219000,867086000,873069000,4437498000,4874846000,11716434000,4456420000,None,5494998000,952683000,4542315000,119948000,113965000,5983000,303789000,550150000,20703428000,8750054000,5752958000,None,580611000,686301000,11921426000,187225000,10066931000,541490000,None,11389649000,1933191000,967907000,1382260000,10206888000,10539722000,765175000,510593952
2022-03-31,22323675000,10413278000,876139000,876139000,4409094000,None,11910397000,4345098000,None,5746655000,1042878000,4703777000,None,None,None,303212000,637995000,21002266000,8372187000,5721705000,None,506683000,8655000,12597065000,815086000,10608840000,498028000,None,11930609000,2030642000,1090386000,1321409000,10161855000,10279792000,765175000,508368159
2021-12-31,21426762000,10063151000,1374276000,1374276000,4115683000,None,11363611000,4307156000,None,5323240000,906328000,4416912000,None,None,None,252351000,621304000,20205690000,7593560000,5019052000,None,495981000,8574000,12579440000,753739000,10593390000,487407000,None,11843110000,1983924000,1166196000,1221072000,10214957000,10216625000,765175000,511044400
2021-09-30,22102866000,10688188000,2067873000,2067873000,4054844000,None,11414678000,4343263000,None,5330320000,927966000,4402354000,None,None,None,255588000,630227000,20429574000,7737982000,5238313000,None,500142000,8909000,12657436000,779392000,10645443000,491233000,None,11924977000,1809459000,1167875000,1673292000,9817347000,10288291000,765175000,512516067
2021-06-30,21413539000,10733567000,3007123000,3007123000,3695219000,None,10679972000,4326063000,None,4690212000,746073000,3944139000,None,None,None,240956000,602011000,19860643000,7319844000,4884781000,None,503705000,8782000,12506211000,51282000,10588184000,486141000,None,10596966000,1643366000,1136480000,1552896000,9835216000,10151706000,765175000,512540762
2021-03-31,22043281000,11586765000,4895723000,4895723000,3218827000,None,10456516000,4297862000,None,4702073000,769503000,3932570000,None,None,None,250022000,473433000,20647684000,7007929000,4221252000,None,965618000,8315000,13605284000,698240000,11741114000,957303000,None,8315000,1645139000,1228265000,1395597000,9853359000,10241666000,765175000,511110670
2020-12-31,22489851000,11991429000,5767034000,5767034000,3100478000,None,10498422000,4382737000,None,4728285000,798649000,3929636000,None,None,None,223872000,471225000,21063052000,6716543000,3554624000,None,1374857000,8754000,14310551000,671181000,12463284000,1366103000,None,8754000,1679429000,1235939000,1426799000,9898955000,10383493000,765175000,510006754
2020-09-30,22741558000,12433098000,5985532000,5985532000,3134732000,None,10308460000,4404597000,None,4570750000,776598000,3794152000,None,None,None,197074000,483572000,21441547000,7168067000,4035332000,None,1326036000,5408000,14239503000,654189000,12422780000,1320628000,None,5408000,1697995000,1217227000,1300011000,9933657000,10546598000,765175000,509127405
2020-06-30,22628266000,12348232000,6059427000,6059427000,3095085000,None,10280034000,4458567000,None,4512641000,780172000,3732469000,None,None,None,192163000,511095000,21469653000,6717853000,3447065000,None,1544394000,2266000,14717535000,68942000,12902485000,1542128000,None,12904751000,1538467000,1204953000,1158613000,9965590000,10563008000,765175000,508296453
2020-03-31,20432332000,9857775000,2240807000,2240807000,3697515000,None,10574557000,4604618000,None,4665318000,802593000,3862725000,None,None,None,234857000,515569000,18403442000,6625009000,3969004000,None,831911000,4314000,11746880000,65409000,10023250000,798161000,None,4314000,1721100000,1051655000,2028890000,10006689000,11407033000,765175000,508745253
2019-12-31,19372034000,8661610000,524578000,524578000,3508260000,None,10710424000,4593890000,None,4879128000,855489000,4023639000,None,142072000,15047000,245480000,488486000,16844508000,6931968000,4159607000,None,793656000,3507000,9878470000,72176000,8092914000,759869000,None,3507000,1686866000,1081645000,2527526000,9837179000,11639727000,765175000,509984743
2019-09-30,18956575000,8484164000,455482000,455482000,3386808000,None,10472411000,4493016000,None,4697009000,825287000,3871722000,None,154489000,12017000,235014000,557688000,16501827000,6101471000,4247276000,None,57794000,3433000,10367328000,69213000,8637706000,27061000,None,3433000,1596925000,1005337000,2454748000,9612491000,11486833000,765175000,513496296
2019-06-30,17966522000,8141505000,513460000,513460000,3216034000,None,9825017000,4501705000,5452524000,4753527000,857301000,3896226000,None,145409000,12006000,210582000,489025000,15463919000,6103183000,4314620000,None,41279000,3957000,9325310000,None,8122058000,37322000,None,8126015000,1666524000,1031020000,2502603000,9349941000,11229679000,765175000,514648468
2019-03-31,18200799000,8455549000,521621000,521621000,3344683000,None,9745250000,4377059000,None,4812487000,888466000,3924021000,None,18627000,None,211155000,493831000,15838902000,6500158000,4293468000,None,542971000,5733000,9303684000,None,8134461000,537238000,None,5733000,1663719000,949636000,2361897000,9238536000,10893648000,765175000,514185453
2018-12-31,18194176000,8437783000,744808000,744808000,3310312000,None,9756393000,4375550000,None,4775912000,899939000,3875973000,None,5207000,None,212289000,527740000,16026540000,6750170000,4230215000,None,792138000,6101000,9241013000,None,8051334000,786037000,None,6101000,1723246000,987566000,2167636000,9193304000,10654711000,765175000,517871328
2018-09-30,18542082000,8642256000,790304000,790304000,3354458000,None,9899826000,4466903000,None,4881486000,944525000,3936961000,None,None,None,215714000,492434000,15903508000,6640952000,4217833000,None,787415000,4414000,9225669000,None,7971607000,783001000,None,4414000,1502794000,1034289000,2638574000,8706345000,10592490000,765175000,520856599
2018-06-30,18070404000,8003453000,552325000,552325000,3125413000,None,10066951000,4521660000,5679190000,4935297000,979812000,3955485000,None,None,None,187880000,526328000,15563447000,6588746000,4136482000,None,786505000,4176000,8937052000,None,7520327000,782329000,None,4176000,1523287000,1077163000,2506957000,8581196000,10348628000,765175000,521301121
2018-03-31,18629142000,8715871000,901551000,901551000,3259771000,None,5521113000,4392158000,None,5122254000,1056068000,4066186000,None,1800000,43364000,231064000,394570000,16277929000,6046199000,4235856000,None,294661000,6606000,10195821000,None,8884412000,288055000,None,6606000,1515682000,1199472000,2351213000,8546616000,9850739000,765175000,521832671
2017-12-31,18219370000,8272168000,961067000,961067000,3174012000,None,5580910000,4366292000,None,5057355000,1056335000,4001020000,None,None,None,183446000,430605000,15950768000,5982970000,3745817000,None,541345000,6629000,9934274000,None,8312489000,534716000,None,6629000,1567362000,1477991000,2268602000,8450277000,9708261000,765175000,521284182
2017-09-30,18418590000,8597002000,909203000,909203000,3180631000,None,5433289000,4388299000,None,5023321000,1052704000,3970617000,None,None,None,173464000,260036000,16183336000,6140282000,3951205000,None,538154000,4513000,9959946000,None,8426359000,533641000,None,4513000,1502021000,1367965000,2235254000,8374078000,9638386000,765175000,527289675
