fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-02-03,55356000000,17498000000,908000000,3805000000,11886000000,None,64429000000,31626000000,None,631000000,8000000,631000000,483000000,None,2897000000,1807000000,1400000000,41924000000,19304000000,12098000000,1581000000,1116000000,3045000000,22620000000,1894000000,14151000000,997000000,None,14151000000,4599000000,1939000000,13432000000,None,7093000000,38000000,461675441
2023-10-28,56229000000,18599000000,1910000000,1910000000,14731000000,None,37630000000,33168000000,23781000000,None,None,None,None,None,1000000000,1958000000,1376000000,43715000000,21502000000,14291000000,910000000,1112000000,1112000000,22213000000,3031000000,14883000000,1112000000,None,19026000000,6099000000,1852000000,12514000000,None,6225000000,38000000,461651176
2023-07-29,53206000000,16098000000,1617000000,1617000000,12684000000,None,37108000000,32947000000,23201000000,None,None,None,None,None,739000000,1797000000,1321000000,41216000000,19332000000,12278000000,960000000,1106000000,1106000000,21884000000,2798000000,14926000000,1106000000,None,18830000000,4988000000,1826000000,11990000000,None,5767000000,38000000,461600640
2023-04-29,52150000000,15773000000,1321000000,1321000000,12616000000,None,36377000000,32396000000,22657000000,None,None,None,None,None,408000000,1836000000,1341000000,40545000000,17867000000,11935000000,1027000000,200000000,200000000,22678000000,2621000000,16010000000,200000000,None,18831000000,4705000000,1758000000,11605000000,None,5448000000,38000000,461552843
2023-01-28,53335000000,17846000000,886000000,2229000000,13499000000,None,37793000000,31512000000,22631000000,631000000,645000000,631000000,440000000,440000000,1343000000,2118000000,1320000000,42103000000,19500000000,13487000000,1689000000,130000000,130000000,22603000000,1943000000,14141000000,1000000,None,14141000000,4643000000,1760000000,11232000000,None,5005000000,38000000,460346947
2022-10-29,55615000000,20393000000,954000000,954000000,17117000000,None,35222000000,30921000000,22013000000,None,None,None,None,None,53000000,2322000000,1705000000,44596000000,23783000000,15438000000,963000000,2207000000,2207000000,20813000000,2590000000,14237000000,2207000000,None,19034000000,3898000000,1746000000,11019000000,None,4631000000,38000000,460297654
2022-07-30,52470000000,18453000000,1117000000,1117000000,15320000000,None,34017000000,29820000000,21708000000,None,None,None,None,None,34000000,2016000000,1655000000,41878000000,22445000000,14891000000,965000000,1649000000,1649000000,19433000000,2543000000,13453000000,1649000000,None,17645000000,4940000000,1575000000,10592000000,None,4421000000,38000000,460236393
2022-04-30,50842000000,17953000000,1112000000,1112000000,15083000000,None,32889000000,28670000000,21285000000,None,None,None,None,None,182000000,1758000000,1648000000,40068000000,20724000000,14053000000,1013000000,1089000000,1089000000,19344000000,2581000000,13379000000,1089000000,None,17049000000,4569000000,1632000000,10774000000,None,5495000000,39000000,463683711
2022-01-29,53811000000,21573000000,926000000,5911000000,13902000000,None,55658000000,28181000000,21137000000,631000000,25000000,631000000,470000000,470000000,4985000000,1760000000,1501000000,40984000000,21747000000,15478000000,479000000,171000000,171000000,19237000000,1967000000,11568000000,63000000,None,11568000000,1310000000,1629000000,12827000000,None,6920000000,39000000,471274073
2021-10-30,54411000000,22576000000,5753000000,5753000000,14958000000,None,31835000000,27915000000,20602000000,None,None,None,None,None,4818000000,1865000000,1381000000,40608000000,23351000000,16250000000,906000000,1176000000,1176000000,17257000000,2494000000,11586000000,1176000000,None,15256000000,5925000000,1931000000,13803000000,None,8069000000,40000000,480905493
2021-07-31,51385000000,20231000000,7368000000,7368000000,11259000000,None,31154000000,27244000000,20133000000,None,None,None,None,None,6439000000,1604000000,1407000000,36525000000,19422000000,12632000000,880000000,1190000000,1190000000,17103000000,2462000000,11589000000,1190000000,None,15241000000,5600000000,1906000000,14860000000,None,9200000000,41000000,489651196
2021-05-01,50471000000,19931000000,7816000000,7816000000,10539000000,None,30540000000,26804000000,19777000000,None,None,None,None,None,6895000000,1576000000,1374000000,35512000000,18598000000,11637000000,None,1173000000,1173000000,16914000000,2337000000,11509000000,1173000000,None,15019000000,5788000000,1899000000,14959000000,None,9372000000,41000000,496093160
2021-01-30,51248000000,20756000000,867000000,8511000000,10653000000,None,52942000000,26879000000,20278000000,668000000,37000000,631000000,450000000,450000000,7644000000,1592000000,1386000000,36808000000,20125000000,12859000000,509000000,1144000000,1144000000,16683000000,1766000000,10643000000,1056000000,None,10643000000,1034000000,1939000000,14440000000,None,8825000000,42000000,500877129
2020-10-31,50661000000,20309000000,5996000000,5996000000,12712000000,None,30352000000,26773000000,19755000000,None,None,None,None,None,5089000000,1601000000,1371000000,37342000000,19357000000,14203000000,758000000,131000000,131000000,17985000000,2196000000,12490000000,131000000,None,14817000000,3852000000,2128000000,13319000000,None,7789000000,42000000,500754729
2020-08-01,48000000000,17623000000,7284000000,7284000000,8876000000,None,30377000000,26739000000,19341000000,None,None,None,None,None,6370000000,1463000000,1405000000,35422000000,15892000000,10726000000,None,109000000,109000000,19530000000,2241000000,14188000000,109000000,None,16538000000,5057000000,1980000000,12578000000,None,7121000000,42000000,500252831
2020-05-02,44806000000,14615000000,4566000000,4566000000,8584000000,None,30191000000,26589000000,19087000000,None,None,None,None,None,3605000000,1465000000,1367000000,33637000000,14412000000,9625000000,None,168000000,168000000,19225000000,2249000000,14073000000,168000000,None,16490000000,3497000000,1781000000,11169000000,None,5775000000,42000000,499919691
