fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,12278800000,2066600000,2066600000,2066600000,None,None,4197800000,806600000,1675800000,3150100000,507300000,2642800000,2554700000,3707400000,None,-2681500000,None,1987600000,475700000,None,None,None,57500000,1511900000,308500000,None,None,None,397900000,8700000,962600000,9505100000,None,9076100000,44800000,223500000
2023-09-30,12556800000,2578700000,2578700000,2578700000,3066900000,None,4234800000,799100000,None,3185200000,542400000,2642800000,2503600000,4281900000,None,-3066900000,None,2375200000,437600000,None,None,None,309400000,2375200000,309400000,None,None,None,309400000,42400000,2375200000,9399900000,None,8919400000,44700000,224100000
2023-06-30,12621400000,2249700000,2249700000,2249700000,2742700000,None,4253000000,771200000,None,3220200000,577400000,2642800000,2718400000,2718400000,None,-2742700000,None,2170300000,423700000,None,None,None,323400000,2170300000,323400000,None,None,None,323400000,42400000,1235400000,9263800000,None,8746200000,44800000,224400000
2023-03-31,12156600000,2094100000,2094100000,2094100000,2592600000,None,4277300000,762200000,None,3246600000,603800000,2642800000,2606200000,2606200000,None,-2592600000,None,2082700000,473500000,None,None,None,323900000,2082700000,323900000,None,None,None,323900000,-210300000,1267100000,9045400000,None,8550400000,44900000,224400000
2022-12-31,11643300000,1755600000,1755600000,1755600000,2319200000,None,4307700000,755700000,1569500000,3272600000,629800000,2642800000,2539200000,4142600000,2539200000,-2319200000,None,1956400000,452700000,None,None,None,329600000,1956400000,329600000,None,None,None,329600000,-283600000,1956400000,8839500000,None,8409700000,44900000,223900000
2022-09-30,11993200000,2366300000,2366300000,2366300000,None,None,4520000000,752800000,None,3484400000,832000000,2652400000,2480200000,2480200000,2480200000,-2856500000,None,2297900000,421100000,None,None,None,320000000,1876800000,320000000,None,None,None,320000000,38300000,1175700000,8907500000,None,8419900000,44800000,225300000
2022-06-30,11768700000,2116000000,2116000000,2116000000,2629200000,None,4416900000,747300000,None,3511500000,859100000,2652400000,2563700000,2563700000,2563700000,-2629200000,None,2031100000,395300000,None,None,None,204700000,1635800000,204700000,None,None,None,204700000,34300000,1141100000,8964200000,None,8311900000,45100000,226700000
2022-03-31,12348000000,1997500000,1997500000,1997500000,None,None,4431000000,736300000,None,3530200000,886300000,2643900000,2879300000,2879300000,2879300000,None,None,2231000000,631900000,None,None,None,211800000,1599100000,211800000,None,None,None,211800000,214600000,1305500000,9054400000,None,8372200000,45500000,228200000
2021-12-31,12509000000,1523100000,1523100000,1523100000,None,None,4544000000,736200000,1457000000,3606600000,913400000,2693200000,2975500000,4938300000,2975000000,-2975000000,None,2255300000,508900000,None,None,None,498000000,2255300000,249200000,None,None,None,249200000,77900000,2255300000,9022700000,None,8083600000,45800000,224800000
2021-09-30,11450700000,3418500000,3418500000,3418500000,None,None,1491000000,719100000,None,665700000,None,665700000,3330300000,5357000000,None,None,None,2102000000,370500000,None,None,None,None,1731500000,142100000,None,None,None,142100000,60700000,891900000,8262100000,None,7591700000,45200000,226900000
2021-06-30,11279200000,3514900000,3514900000,3514900000,None,None,1484100000,716700000,None,665700000,None,665700000,3473900000,5141800000,None,None,None,2505800000,1048400000,None,None,None,None,1457400000,138500000,None,None,None,138500000,802200000,838900000,7893000000,None,7202600000,45400000,226900000
2021-03-31,10764400000,2830100000,2830100000,2830100000,None,None,1479800000,703900000,None,665700000,None,665700000,3403600000,3403600000,None,None,None,1743300000,512900000,None,None,None,None,1230400000,146000000,None,None,None,146000000,284000000,969600000,8008200000,None,7338700000,45400000,227700000
2020-12-31,10659000000,2151700000,2151700000,2151700000,None,None,1478700000,695400000,1274900000,665700000,0,665700000,3250800000,3250800000,None,None,None,1390300000,272700000,None,None,None,None,1390300000,154100000,None,None,None,154100000,85000000,984000000,7707000000,None,7029800000,45600000,226700000
2020-09-30,10134600000,2228200000,2228200000,2228200000,None,None,1486800000,681900000,None,665700000,None,665700000,3030800000,3030800000,None,None,None,1665900000,253600000,None,None,None,None,1412300000,175300000,None,None,None,175300000,66700000,829000000,7128500000,None,6471300000,45300000,227000000
2020-06-30,9477300000,2058100000,2058100000,2058100000,None,None,1482600000,685400000,None,665700000,None,665700000,2900000000,2900000000,None,None,None,1636500000,453600000,None,None,None,None,1182900000,166400000,None,None,None,166400000,259300000,798200000,6750700000,None,6102900000,45400000,227400000
2020-03-31,8636900000,1562400000,1562400000,1562400000,None,None,1478500000,675200000,None,665700000,None,665700000,2731300000,2731300000,None,None,None,1231900000,256800000,None,None,None,None,975100000,172600000,None,None,None,172600000,58300000,759700000,6434000000,None,5782900000,45600000,234100000
2019-12-31,9330400000,1781800000,1781800000,1781800000,None,None,1528000000,674400000,1142400000,665700000,None,665700000,2939800000,2939800000,None,None,None,1107300000,246300000,None,None,None,None,1107300000,146300000,None,None,None,146300000,31800000,748900000,7102100000,None,6443500000,47000000,235214000
2019-09-30,9397800000,2213200000,2213200000,2213200000,None,None,1455800000,678800000,None,665700000,None,665700000,2605900000,2605900000,None,None,None,1455100000,252500000,None,None,None,None,1202600000,146400000,None,None,None,146400000,49200000,668600000,6839800000,None,6187000000,46900000,234900000
2019-06-30,8912300000,1802400000,1802400000,1802400000,None,None,1457800000,672000000,None,665700000,None,665700000,2575200000,2575200000,None,None,None,1320900000,245400000,None,None,None,None,1075500000,154900000,154900000,None,None,154900000,52400000,701400000,6579100000,None,5915900000,47100000,235900000
2019-03-31,8458900000,1657400000,1657400000,1657400000,None,None,1332900000,667200000,None,665700000,None,665700000,2546700000,2546700000,None,None,None,1261200000,407500000,None,None,None,None,853700000,161900000,161900000,None,None,161900000,197500000,656900000,6311000000,None,5650800000,47300000,236432000
2018-12-31,7689300000,1425200000,1425200000,1425200000,None,None,1327000000,661300000,1013900000,665700000,665700000,665700000,2453400000,2453400000,None,None,None,824700000,282700000,None,None,None,None,542000000,None,None,None,None,None,54200000,418700000,6124300000,None,5464100000,47600000,238069000
2018-09-30,8530600000,2090600000,2090600000,2090600000,1638800000,None,1322700000,657000000,None,665700000,665700000,665700000,2414400000,2414400000,None,None,None,1209500000,330200000,None,None,None,None,879300000,None,None,None,None,None,80300000,367700000,6460500000,None,5788500000,48500000,242599000
2018-06-30,7882200000,1484400000,1484400000,1484400000,1686500000,None,1320900000,655200000,None,665700000,665700000,665700000,2459500000,2459500000,None,None,None,1028400000,276400000,None,None,None,None,752000000,None,None,None,None,None,56400000,402400000,6114600000,None,5435100000,48600000,243180000
2018-03-31,7374300000,1681400000,1681400000,1681400000,1514400000,None,1315900000,650200000,None,665700000,665700000,665700000,2095100000,2095100000,None,None,None,925900000,401100000,None,None,None,None,524800000,None,None,None,None,None,159800000,337700000,5901900000,None,5205000000,48700000,243282000
2017-12-31,7535400000,1902700000,1902700000,1902700000,363200000,None,1395700000,652000000,944900000,665700000,665700000,665700000,1477300000,78000000,None,None,None,718200000,283800000,None,None,None,None,433700000,None,None,None,None,None,68300000,325200000,5824400000,None,4932900000,49000000,245111000
2017-09-30,7379600000,1869400000,1869400000,1869400000,260700000,None,1378100000,635000000,None,665700000,665700000,665700000,1359300000,77400000,None,None,None,897800000,210300000,None,None,None,None,687500000,None,None,None,None,None,16800000,233700000,5528000000,None,4728200000,48400000,242214000
2017-06-30,6532600000,1799100000,1542200000,1799100000,256900000,None,1367100000,624300000,None,665700000,665700000,665700000,1333700000,77100000,None,None,None,736400000,201800000,None,None,None,None,534600000,None,None,None,None,None,16000000,228300000,5168600000,None,4477600000,48100000,240262000
2017-03-31,6275600000,1661900000,1580800000,1661900000,81100000,None,1364300000,625200000,None,665700000,665700000,665700000,1299500000,73400000,None,None,None,816300000,447200000,None,None,None,None,369100000,None,None,None,None,None,261400000,204100000,5000200000,None,4302700000,48300000,241260000
2016-12-31,6225000000,1280300000,1204900000,1280300000,75400000,None,1354400000,615100000,820400000,665700000,665700000,665700000,1257500000,73600000,None,None,None,529200000,220100000,None,None,None,None,309100000,None,None,None,None,None,39300000,216500000,5008600000,None,4293600000,49000000,244784000
2016-09-30,6723500000,1460400000,1401000000,1460400000,59400000,None,1354400000,615600000,None,665700000,665700000,665700000,1214900000,73100000,None,None,None,775900000,245400000,None,None,None,None,530500000,None,None,None,None,None,40400000,52500000,4833700000,None,4096900000,49000000,244829000
2016-06-30,6581700000,1382600000,1382600000,1382600000,33100000,None,4879100000,620800000,None,665700000,665700000,665700000,None,None,None,None,None,610400000,189500000,None,None,None,None,420900000,None,None,None,None,None,8900000,None,4860900000,None,4081200000,49700000,248502000
2016-03-31,6203900000,1400400000,1400400000,1400400000,47400000,None,4452900000,612700000,None,665700000,665700000,665700000,None,None,None,None,None,615000000,340300000,None,None,None,None,274700000,None,None,None,None,None,168300000,None,4763800000,None,4021800000,49600000,248130000
2015-12-31,5106900000,1172300000,1172300000,1172300000,83500000,None,1342200000,607100000,706400000,665700000,665700000,665700000,1961200000,69400000,None,None,None,344900000,191800000,None,None,None,None,153100000,None,None,None,None,None,21200000,None,4762000000,None,3970700000,50100000,250469000
2015-09-30,5266600000,1164400000,1164400000,1164400000,73700000,None,1335100000,603000000,None,665700000,665700000,665700000,2268000000,66400000,None,None,None,593000000,187500000,None,None,None,None,405500000,None,None,None,None,None,14700000,None,4673600000,None,3881200000,50300000,251704000
2015-06-30,5415500000,1269200000,1269200000,1269200000,82400000,None,1337900000,607300000,None,665700000,665700000,665700000,2337000000,64900000,None,None,None,448400000,180500000,None,None,None,None,267900000,None,None,None,None,None,12000000,None,4967100000,None,4141900000,51500000,257428000
2015-03-31,5962000000,1810400000,1810400000,1810400000,85000000,None,1264700000,599000000,None,665700000,665700000,665700000,2309900000,2308900000,None,None,None,960000000,818700000,None,None,None,None,141300000,None,None,None,None,None,680800000,None,5002000000,None,4099700000,52100000,260575000
2014-12-31,5644400000,1506100000,1506100000,1506100000,79900000,None,1252100000,586400000,591000000,665700000,665700000,665700000,2293300000,63700000,None,None,None,249200000,167000000,None,None,None,None,82200000,None,None,None,None,None,23600000,None,5395200000,None,4450100000,52200000,261110000
