fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-01-31,252399000000,76877000000,9867000000,18316000000,54892000000,8796000000,179622000000,110810000000,109049000000,32213000000,4100000000,28113000000,1200000000,None,8449000000,3322000000,17071000000,168538000000,92415000000,56812000000,None,5050000000,878000000,54784000000,5709000000,39579000000,3447000000,36132000000,40457000000,29637000000,14629000000,83861000000,None,89814000000,805000000,24229000000
2023-10-31,259174000000,88391000000,12154000000,12154000000,63951000000,8625000000,170783000000,107471000000,None,28015000000,None,28015000000,None,None,None,3661000000,15944000000,179718000000,104230000000,61049000000,None,13436000000,9942000000,54829000000,5670000000,29206000000,2806000000,36342000000,39148000000,27665000000,14304000000,79456000000,None,85831000000,269000000,2693000000
2023-07-31,255121000000,82032000000,13888000000,13888000000,56722000000,7891000000,173089000000,104733000000,None,28268000000,None,28268000000,None,None,None,3531000000,20826000000,175565000000,99220000000,56576000000,None,8096000000,4546000000,55233000000,5449000000,35157000000,2897000000,36806000000,39703000000,32306000000,15109000000,79556000000,None,85470000000,269000000,2693000000
2023-04-30,245053000000,78511000000,10575000000,10575000000,56932000000,7647000000,166542000000,102335000000,None,28306000000,None,28306000000,None,None,None,3357000000,17098000000,172648000000,95505000000,54268000000,None,6293000000,1711000000,56084000000,5039000000,40384000000,3975000000,38120000000,42095000000,33454000000,13999000000,72405000000,None,78035000000,269000000,2694000000
2023-01-31,243197000000,75655000000,8625000000,19794000000,56576000000,7933000000,171842000000,100760000000,101610000000,32474000000,4300000000,28174000000,500000000,None,11169000000,2521000000,20134000000,166504000000,92198000000,53742000000,None,5130000000,372000000,52320000000,4843000000,38840000000,4191000000,34649000000,38840000000,29365000000,14688000000,76693000000,None,83135000000,808000000,2697000000
2022-10-31,247656000000,87680000000,11587000000,11587000000,64706000000,8218000000,159976000000,97553000000,None,28137000000,None,28137000000,None,None,None,3169000000,16295000000,175403000000,101408000000,57263000000,None,12818000000,6811000000,51105000000,4512000000,32582000000,5458000000,33935000000,39393000000,15110000000,14760000000,72253000000,None,77946000000,270000000,2711000000
2022-07-31,247199000000,84164000000,13923000000,13923000000,59921000000,7522000000,163035000000,96006000000,None,28664000000,None,28664000000,None,None,None,2798000000,19979000000,169630000000,99899000000,54191000000,None,16484000000,10634000000,47361000000,4420000000,24483000000,5316000000,29801000000,35117000000,13668000000,None,77569000000,None,82519000000,272000000,2736000000
2022-04-30,246142000000,83220000000,11817000000,11817000000,61229000000,7674000000,162922000000,94741000000,None,29438000000,None,29438000000,None,None,None,2500000000,20267000000,169246000000,96530000000,52926000000,None,15523000000,11432000000,49809000000,4409000000,24322000000,3580000000,32174000000,35754000000,26596000000,None,76896000000,None,80532000000,275000000,2754000000
2022-01-31,244860000000,81070000000,14760000000,27648000000,56511000000,8280000000,168590000000,94515000000,94809000000,33814000000,4800000000,29014000000,1000000000,None,12888000000,1519000000,22152000000,161607000000,87379000000,55261000000,None,3714000000,410000000,52116000000,4243000000,37667000000,2803000000,34864000000,37667000000,24352000000,None,83253000000,None,86904000000,276000000,2771000000
2021-10-31,244851000000,82964000000,16111000000,17111000000,57484000000,7349000000,161887000000,92242000000,None,28923000000,None,28923000000,1000000000,None,1000000000,2020000000,22633000000,162577000000,87620000000,57156000000,None,2530000000,447000000,53581000000,4061000000,37553000000,1575000000,36425000000,38000000000,26448000000,None,82274000000,None,85674000000,277000000,2785000000
2021-07-31,238552000000,78243000000,22831000000,23831000000,47754000000,6103000000,160309000000,91621000000,None,29159000000,None,29159000000,1000000000,None,1000000000,1555000000,21552000000,158023000000,81122000000,49601000000,None,2789000000,671000000,56649000000,3952000000,40527000000,1617000000,39581000000,41198000000,27024000000,None,80529000000,None,84572000000,278000000,2799000000
2021-04-30,236581000000,76591000000,22846000000,23846000000,46383000000,5797000000,159990000000,90996000000,None,28872000000,None,28872000000,1000000000,None,1000000000,1565000000,22493000000,158246000000,80841000000,48151000000,None,4369000000,362000000,57005000000,3802000000,43411000000,3500000000,40273000000,43773000000,26022000000,None,78335000000,None,82577000000,280000000,2815000000
2021-01-31,252496000000,90067000000,17741000000,32163000000,44949000000,6516000000,167329000000,92201000000,88370000000,33883000000,4900000000,28983000000,14422000000,None,14422000000,20861000000,23598000000,171571000000,92645000000,49141000000,None,3806000000,200000000,57950000000,3847000000,44309000000,3115000000,41194000000,44309000000,35898000000,None,80925000000,None,88763000000,282000000,2828000000
2020-10-31,250863000000,73602000000,14325000000,27094000000,51842000000,5770000000,177261000000,102232000000,None,30236000000,None,30236000000,12769000000,None,12769000000,1665000000,22736000000,169432000000,88121000000,54152000000,None,5172000000,240000000,61581000000,4750000000,45207000000,4358000000,40849000000,45207000000,26524000000,None,81431000000,None,92279000000,283000000,2833000000
2020-07-31,237382000000,64996000000,16906000000,26799000000,41084000000,5111000000,172386000000,101182000000,None,29542000000,None,29542000000,9893000000,None,9893000000,1895000000,19950000000,162072000000,81957000000,46326000000,None,8193000000,357000000,61301000000,4673000000,46512000000,5553000000,40959000000,46512000000,26828000000,None,75310000000,None,87614000000,283000000,2832000000
2020-04-30,232892000000,63328000000,14930000000,14930000000,41217000000,5029000000,169564000000,101872000000,None,29416000000,None,29416000000,None,None,None,2152000000,16770000000,164652000000,82647000000,44096000000,None,12283000000,4048000000,63149000000,4474000000,48989000000,5983000000,43006000000,48989000000,24965000000,None,68240000000,None,81141000000,284000000,2831000000
2020-01-31,236495000000,61806000000,9465000000,9465000000,44435000000,6284000000,179889000000,105208000000,89820000000,36273000000,5200000000,31073000000,5438000000,5990000000,5438000000,1622000000,16567000000,161826000000,77790000000,46973000000,None,8241000000,600000000,64192000000,4307000000,49076000000,5362000000,43714000000,49076000000,20586000000,None,74669000000,None,83943000000,284000000,2835000000
2019-10-31,239830000000,67912000000,8606000000,8606000000,51546000000,5612000000,171918000000,104326000000,None,30716000000,None,30716000000,None,5000000000,None,2148000000,15777000000,168181000000,83784000000,49750000000,1863000000,11227000000,4926000000,64721000000,4068000000,49005000000,4093000000,44912000000,49005000000,22480000000,None,71649000000,None,80656000000,284000000,2843000000
2019-07-31,234861000000,61371000000,9283000000,9283000000,44134000000,5382000000,173490000000,104674000000,None,31454000000,None,31454000000,None,4820000000,None,2572000000,16174000000,164534000000,80283000000,45871000000,1765000000,10311000000,3681000000,64398000000,3915000000,48800000000,4396000000,44404000000,48800000000,23714000000,None,70327000000,None,78432000000,285000000,2853000000
2019-04-30,234544000000,61739000000,9255000000,9255000000,44751000000,5342000000,152168000000,104604000000,None,31416000000,None,31416000000,None,4799000000,None,2391000000,16148000000,166339000000,79888000000,45110000000,None,6292000000,4828000000,47425000000,3810000000,48889000000,1464000000,47425000000,48889000000,25574000000,None,68205000000,None,76276000000,286000000,2869000000
2019-01-31,219295000000,61897000000,7722000000,7722000000,44269000000,6283000000,150320000000,104317000000,81493000000,31181000000,5800000000,31181000000,None,3995000000,None,3623000000,14822000000,146799000000,77477000000,47060000000,1932000000,7830000000,5225000000,50203000000,0,45396000000,1876000000,43520000000,45396000000,20655000000,None,72496000000,None,80785000000,288000000,2896000000
2018-10-31,226583000000,69446000000,9174000000,9174000000,50380000000,5785000000,150146000000,104358000000,80126000000,31044000000,31044000000,31044000000,None,3816000000,None,4107000000,14744000000,154587000000,85751000000,49729000000,None,11095000000,7795000000,49896000000,0,45866000000,2591000000,43275000000,45866000000,24311000000,None,71996000000,None,80287000000,291000000,2924000000
2018-07-31,206062000000,66370000000,15840000000,15840000000,41985000000,5002000000,132694000000,104019000000,78505000000,17840000000,17840000000,17840000000,None,5613000000,None,3543000000,10835000000,134877000000,71683000000,43128000000,1932000000,2228000000,444000000,51568000000,0,46048000000,1090000000,44958000000,46048000000,25903000000,None,71185000000,None,80810000000,294000000,2946000000
2018-04-30,204927000000,59242000000,7885000000,7885000000,43303000000,4568000000,138507000000,107622000000,79407000000,18850000000,18850000000,18850000000,None,5737000000,None,3486000000,12035000000,129375000000,80757000000,44612000000,None,10038000000,7762000000,36305000000,0,31053000000,1576000000,29477000000,31053000000,25389000000,None,75552000000,None,82982000000,294000000,2950000000
2018-01-31,204522000000,59664000000,6756000000,6756000000,43783000000,5614000000,137715000000,107675000000,77479000000,18242000000,18242000000,18242000000,None,2008000000,None,3511000000,11798000000,126653000000,78521000000,46092000000,730000000,9662000000,5257000000,36825000000,6780000000,33783000000,3738000000,30045000000,33783000000,20750000000,None,77869000000,None,85107000000,295000000,2956000000
