fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,376317000000,96609000000,31539000000,31539000000,25120000000,38015000000,289269000000,214940000000,272445000000,None,None,None,43338000000,177000000,None,1906000000,17138000000,163779000000,65316000000,42335000000,None,4090000000,81000000,88766000000,3838000000,11310000000,4009000000,None,11391000000,25166000000,24228000000,204802000000,254917000000,453927000000,17781000000,3971000000
2023-09-30,372259000000,101142000000,32944000000,32944000000,24450000000,41814000000,271117000000,205862000000,None,17189000000,17189000000,None,1485000000,48066000000,None,1905000000,17189000000,164726000000,71186000000,None,None,4743000000,4743000000,70596000000,None,36510000000,4743000000,None,41253000000,4186000000,20868000000,199703000000,253512000000,450138000000,16165000000,3963000000
2023-06-30,363248000000,91760000000,29528000000,29528000000,24249000000,35915000000,271488000000,206736000000,None,17479000000,17479000000,None,464000000,47273000000,None,2039000000,17479000000,156251000000,61815000000,None,None,3929000000,3929000000,71305000000,None,37567000000,3929000000,None,41496000000,54404000000,21095000000,199046000000,249057000000,444731000000,16029000000,4003000000
2023-03-31,369371000000,97224000000,32651000000,32651000000,23642000000,38808000000,272147000000,206023000000,None,17080000000,17080000000,None,790000000,49044000000,None,2098000000,17080000000,162957000000,66666000000,None,None,2296000000,2296000000,96291000000,None,39150000000,2296000000,None,41446000000,59935000000,21387000000,198685000000,244676000000,440552000000,15904000000,4043000000
2022-12-31,369067000000,97631000000,29640000000,29640000000,24435000000,41749000000,279977000000,204692000000,268001000000,16951000000,16951000000,None,46026000000,278000000,-14993000000,1782000000,16951000000,166594000000,69045000000,44643000000,None,634000000,453000000,111266000000,3299000000,14042000000,181000000,None,14495000000,63197000000,21733000000,195049000000,240293000000,432860000000,15752000000,4082000000
2022-09-30,370152000000,99289000000,30407000000,30407000000,24096000000,42411000000,270863000000,203102000000,None,17526000000,17526000000,None,4379000000,50235000000,None,2318000000,17526000000,177109000000,74057000000,None,None,6182000000,6182000000,103052000000,None,39246000000,6182000000,None,45428000000,62550000000,23086000000,186100000000,236080000000,423877000000,16106000000,4118000000
2022-06-30,367774000000,93163000000,18861000000,18861000000,23585000000,48063000000,274611000000,209159000000,None,18632000000,18632000000,None,2935000000,46820000000,None,2654000000,18632000000,183266000000,80110000000,None,None,7367000000,7367000000,103156000000,None,39516000000,7367000000,None,46883000000,4785000000,22808000000,177316000000,231587000000,407902000000,16018000000,4168000000
2022-03-31,354771000000,77255000000,11074000000,11074000000,22177000000,42142000000,277516000000,212773000000,None,18414000000,18414000000,None,1828000000,46329000000,None,1862000000,18414000000,178245000000,72059000000,None,None,4886000000,4886000000,106186000000,None,42651000000,4886000000,None,47537000000,63501000000,22872000000,169215000000,227529000000,393779000000,15879000000,4213000000
2021-12-31,338923000000,59154000000,6802000000,6802000000,18780000000,32383000000,279769000000,216552000000,278510000000,18022000000,18022000000,None,40538000000,138000000,None,1189000000,18022000000,163240000000,56643000000,37985000000,None,4276000000,1884000000,116582000000,1761000000,16064000000,2392000000,None,17948000000,50766000000,21717000000,168577000000,225464000000,392059000000,15746000000,4239000000
2021-09-30,336688000000,55555000000,4768000000,4768000000,19607000000,29516000000,281133000000,218795000000,None,16697000000,16697000000,None,986000000,45641000000,45641000000,1664000000,16697000000,169182000000,61856000000,None,None,12966000000,12966000000,107326000000,None,43639000000,12966000000,None,56605000000,47257000000,20559000000,160589000000,225771000000,386952000000,16104000000,4234000000
2021-06-30,337289000000,52842000000,3465000000,3465000000,19275000000,28540000000,284447000000,223012000000,None,16661000000,16661000000,None,594000000,44774000000,44774000000,1562000000,16661000000,171733000000,62238000000,None,None,15293000000,15293000000,109495000000,None,45319000000,15293000000,None,60612000000,45780000000,20545000000,158571000000,225771000000,383922000000,16006000000,4234000000
