fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,4753000000,7848000000,None,179000000,147000000,2030000000,205000000,-339000000,-96000000,824000000,-800000000,-4449000000,None,3000000,3000000,None,2626000000,2626000000,None,None,0,None,28000000,None,None,None,822000000
2023-09-30,7574000000,None,None,2554000000,-56000000,2196000000,219000000,-2000000,55000000,1781000000,-369000000,-2661000000,0,4000000,4000000,None,2627000000,2627000000,None,None,0,None,32000000,None,None,None,1778000000
2023-06-30,6319000000,None,None,1572000000,-99000000,2290000000,178000000,80000000,273000000,2027000000,-341000000,-3920000000,0,10000000,10000000,None,2625000000,2625000000,None,None,0,None,38000000,None,2058000000,None,2024000000
2023-03-31,4193000000,None,None,-465000000,547000000,2127000000,175000000,195000000,185000000,241000000,-499000000,-6192000000,0,1955000000,1955000000,None,2661000000,2661000000,None,None,0,None,-1890000000,None,-2498000000,None,239000000
2022-12-31,7428000000,5585000000,None,1275000000,790000000,2157000000,213000000,416000000,170000000,2472000000,-448000000,-9634000000,0,4000000,4000000,None,2506000000,2506000000,None,None,0,None,49000000,None,-2654000000,None,2473000000
2022-09-30,7602000000,None,None,778000000,-266000000,2181000000,177000000,-357000000,17000000,3952000000,1286000000,-5518000000,0,4000000,4000000,None,2504000000,2504000000,None,None,0,None,7000000,None,3396000000,None,3949000000
2022-06-30,5005000000,None,None,-190000000,426000000,2003000000,143000000,611000000,114000000,928000000,130000000,-2679000000,0,9000000,9000000,None,2507000000,2507000000,None,None,0,None,61000000,None,1131000000,-33000000,924000000
2022-03-31,4908000000,None,None,-258000000,1455000000,2053000000,162000000,785000000,385000000,4493000000,-1591000000,-6972000000,0,1470000000,1470000000,None,2526000000,2526000000,None,None,2000000000,None,-1342000000,None,-3648000000,7000000,4490000000
2021-12-31,5075000000,None,None,174000000,596000000,1961000000,187000000,749000000,112000000,4045000000,-1145000000,-6338000000,0,131000000,131000000,None,2314000000,2314000000,None,None,0,None,-56000000,None,10566000000,-28000000,4044000000
2021-09-30,7935000000,None,None,1146000000,-628000000,2123000000,217000000,-590000000,-219000000,3180000000,-615000000,-3643000000,0,6000000,6000000,None,2315000000,2315000000,None,None,1000000000,None,19000000,None,3403000000,-41000000,3179000000
2021-06-30,4890000000,None,None,72000000,309000000,2201000000,195000000,296000000,62000000,769000000,-242000000,-5884000000,0,10000000,10000000,None,2310000000,2310000000,None,None,0,None,63000000,None,970000000,27000000,766000000
2021-03-31,4877000000,None,None,236000000,1383000000,2215000000,188000000,866000000,187000000,3555000000,-342000000,-3174000000,0,787000000,787000000,None,2322000000,2322000000,None,None,0,None,-716000000,None,1306000000,-55000000,3553000000
2020-12-31,4854000000,None,None,-389000000,258000000,2060000000,279000000,355000000,-153000000,38000000,-627000000,-3695000000,0,296000000,296000000,None,2101000000,2101000000,None,None,0,None,-196000000,None,13874000000,27000000,36000000
2020-09-30,5830000000,None,None,1437000000,-30000000,2275000000,217000000,31000000,-111000000,2313000000,-1149000000,-2814000000,0,20000000,20000000,None,2100000000,2100000000,None,None,0,None,12000000,None,2488000000,6000000,2308000000
2020-06-30,3089000000,None,None,-599000000,-544000000,1549000000,177000000,-482000000,197000000,-739000000,-35652000000,-2570000000,0,19000000,19000000,None,1752000000,1752000000,None,None,0,None,46000000,None,-590000000,8000000,-738000000
2020-03-31,3815000000,None,None,1065000000,1151000000,559000000,125000000,1025000000,107000000,3010000000,-129000000,-2422000000,0,643000000,643000000,None,1763000000,1763000000,None,None,0,None,-631000000,None,1218000000,-46000000,3010000000
2019-12-31,3275000000,3287000000,None,-539000000,-217000000,509000000,163000000,-133000000,-170000000,2801000000,-615000000,26602000000,0,2000000,2000000,None,1595000000,1595000000,None,None,29948000000,None,0,None,29276000000,14000000,2801000000
2019-09-30,4555000000,None,None,705000000,-56000000,503000000,154000000,111000000,113000000,1884000000,1378000000,-441000000,-306000000,4000000,4000000,None,1591000000,1591000000,None,None,0,None,-3000000,None,5476000000,-16000000,1884000000
2019-06-30,2477000000,None,None,-1381000000,-75000000,502000000,128000000,-220000000,160000000,741000000,-140000000,-2070000000,-193000000,3000000,3000000,None,1592000000,1592000000,None,None,0,None,-2000000,None,275000000,8000000,741000000
2019-03-31,3017000000,None,None,94000000,556000000,503000000,107000000,316000000,128000000,2456000000,-27000000,-5383000000,-3200000000,620000000,620000000,None,1588000000,1588000000,None,None,0,None,-616000000,None,-2392000000,1000000,2456000000
2018-12-31,3392000000,None,None,-691000000,-283000000,442000000,123000000,-215000000,-141000000,-1826000000,-283000000,-3825000000,699000000,2058000000,2058000000,None,1451000000,1451000000,None,None,0,None,-2051000000,None,-726000000,-10000000,-1826000000
2018-09-30,4524000000,None,None,869000000,57000000,435000000,282000000,1000000,176000000,2747000000,-963000000,916000000,-509000000,1009000000,1009000000,None,1461000000,1461000000,None,None,0,None,-1007000000,None,4468000000,-9000000,2747000000
2018-06-30,2866000000,None,None,-179000000,523000000,443000000,114000000,124000000,120000000,1983000000,687000000,-8978000000,3144000000,7516000000,7516000000,None,1531000000,1531000000,None,None,0,None,-7514000000,None,-5460000000,-35000000,1983000000
