fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,3038000000,-242000000,None,None,179000000,813000000,755000000,-68000000,-295000000,1594000000,-824000000,-2052000000,111000000,259000000,259000000,None,888000000,888000000,None,None,0,None,-225000000,None,None,None,1594000000
2023-09-30,1877000000,343000000,None,None,321000000,496000000,560000000,461000000,-140000000,1436000000,-634000000,-2340000000,-61000000,2000000,2000000,None,888000000,888000000,None,None,0,None,54000000,None,None,None,1436000000
2023-06-30,1203000000,715000000,None,None,444000000,498000000,507000000,196000000,248000000,1375000000,-1213000000,-1289000000,13000000,426000000,426000000,None,890000000,890000000,None,None,0,None,-411000000,None,-1299000000,None,1375000000
2023-03-31,1143000000,122000000,None,None,186000000,806000000,380000000,-233000000,419000000,1318000000,-462000000,-1410000000,-42000000,540000000,540000000,None,890000000,890000000,None,None,0,None,-478000000,None,-729000000,None,1318000000
2022-12-31,2326000000,-150000000,None,None,-77000000,807000000,610000000,-341000000,189000000,9339000000,-632000000,-1457000000,10000000,685000000,685000000,None,823000000,823000000,None,None,0,None,-644000000,None,237000000,None,1033000000
2022-09-30,2780000000,330000000,None,None,-336000000,498000000,467000000,-530000000,194000000,1435000000,-484000000,-1543000000,24000000,798000000,798000000,None,826000000,826000000,None,None,1000000,None,-741000000,None,753000000,None,1435000000
2022-06-30,2410000000,462000000,None,None,664000000,507000000,379000000,188000000,476000000,2018000000,-264000000,-813000000,5000000,5000000,5000000,None,828000000,828000000,None,None,0,None,5000000,None,1333000000,None,2018000000
2022-03-31,2065000000,195000000,None,None,1305000000,823000000,321000000,751000000,554000000,2447000000,-360000000,-3823000000,8000000,2307000000,2307000000,None,832000000,832000000,None,None,0,None,-2248000000,None,-2118000000,None,2447000000
2021-12-31,3067000000,-159000000,None,None,486000000,883000000,614000000,189000000,-15000000,1989000000,-671000000,-1886000000,-197000000,974000000,974000000,None,798000000,798000000,None,None,4000000,None,-892000000,None,510000000,None,1989000000
2021-09-30,2701000000,275000000,None,None,323000000,520000000,461000000,394000000,-71000000,2100000000,-651000000,-1377000000,-27000000,579000000,579000000,None,801000000,801000000,None,None,0,None,-509000000,None,4593000000,None,2100000000
