fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,2569000000,None,None,407000000,-56000000,277000000,439000000,-294000000,612000000,542000000,-435000000,-1804000000,-11000000,1555000000,1555000000,None,239000000,239000000,None,None,1000000,None,-1555000000,None,None,None,565000000
2023-09-30,992000000,None,None,-256000000,275000000,261000000,441000000,403000000,-584000000,824000000,-450000000,-669000000,-8000000,117000000,117000000,None,244000000,244000000,None,None,0,None,-117000000,None,None,None,821000000
2023-06-30,2509000000,None,None,-1691000000,-3477000000,262000000,287000000,-358000000,-2865000000,928000000,-283000000,-2729000000,-1677000000,650000000,650000000,None,246000000,246000000,None,None,500000000,None,-650000000,None,-503000000,None,927000000
2023-03-31,-1610000000,None,None,-2853000000,-868000000,259000000,327000000,-488000000,-52000000,1172000000,-328000000,598000000,1306000000,351000000,351000000,None,248000000,248000000,None,None,0,None,-351000000,None,-1340000000,None,1170000000
2022-12-31,130000000,None,None,141000000,1816000000,254000000,478000000,69000000,885000000,1024000000,-452000000,-135000000,323000000,250000000,250000000,None,222000000,222000000,None,None,0,None,-250000000,None,-457000000,None,1019000000
2022-09-30,4023000000,None,None,138000000,-2145000000,260000000,341000000,-542000000,-939000000,1037000000,-301000000,-3855000000,-2165000000,1000000000,1000000000,None,224000000,224000000,None,None,1000000,None,-1000000000,None,1037000000,None,1031000000
2022-06-30,531000000,None,None,-1662000000,-1862000000,257000000,283000000,1218000000,-2532000000,1240000000,-305000000,-1827000000,-1410000000,200000000,200000000,None,227000000,227000000,None,None,1000000,None,0,None,1240000000,None,1236000000
2022-03-31,-1206000000,None,None,3619000000,5959000000,257000000,217000000,937000000,2881000000,1064000000,-342000000,3318000000,2824000000,0,0,None,226000000,226000000,None,None,750000000,None,0,None,1770000000,None,1054000000
2021-12-31,742000000,None,None,2736000000,2251000000,257000000,455000000,-482000000,3244000000,797000000,-1382000000,436000000,641000000,0,0,None,208000000,208000000,None,None,-1000000,None,0,None,-204000000,None,782000000
2021-09-30,2846000000,None,None,1735000000,-239000000,247000000,287000000,350000000,-182000000,533000000,-893000000,-978000000,-974000000,0,0,None,209000000,209000000,None,None,735000000,None,0,None,533000000,None,526000000
2021-06-30,2709000000,None,None,232000000,-1533000000,243000000,253000000,195000000,-1361000000,712000000,-225000000,-1653000000,-1481000000,0,0,None,209000000,209000000,None,None,2000000,None,0,None,712000000,None,712000000
2021-03-31,298000000,None,None,-330000000,1240000000,249000000,174000000,515000000,1138000000,693000000,-169000000,1077000000,729000000,0,0,None,208000000,208000000,None,None,593000000,None,0,None,1206000000,None,689000000
2020-12-31,-870000000,620000000,None,2296000000,3853000000,249000000,265000000,-194000000,2796000000,693000000,-263000000,1520000000,1830000000,16000000,16000000,None,202000000,202000000,None,None,1000000,None,-16000000,None,1352000000,None,687000000
2020-09-30,-1080000000,80000000,None,1263000000,2604000000,238000000,198000000,2126000000,1069000000,226000000,2555000000,-1715000000,-326000000,5000000,5000000,None,202000000,202000000,None,None,312000000,None,-5000000,None,276000000,None,225000000
2020-06-30,219000000,72000000,None,-1217000000,-111000000,244000000,166000000,524000000,-1257000000,472000000,320000000,-3570000000,-2855000000,0,0,None,202000000,202000000,None,None,-3000000,None,0,None,459000000,None,469000000
2020-03-31,-655000000,70000000,None,1039000000,2550000000,245000000,194000000,2296000000,-182000000,391000000,1853000000,3342000000,2188000000,112000000,112000000,None,203000000,203000000,None,None,1481000000,None,-112000000,None,4540000000,None,391000000
2019-12-31,-1813000000,701000000,None,1599000000,3698000000,251000000,262000000,1956000000,1015000000,499000000,2008000000,-230000000,-41000000,0,0,None,197000000,197000000,None,None,5000000,None,0,None,1169000000,None,504000000
2019-09-30,-926000000,51000000,None,-8000000,1789000000,249000000,183000000,1954000000,-142000000,408000000,1905000000,-703000000,-453000000,56000000,56000000,None,197000000,197000000,None,None,1000000,None,-56000000,None,408000000,None,407000000
2019-06-30,-678000000,58000000,None,-287000000,1026000000,248000000,185000000,1740000000,-686000000,238000000,1617000000,-792000000,104000000,94000000,94000000,None,197000000,197000000,None,None,2000000,None,0,None,238000000,None,235000000
2019-03-31,-2035000000,40000000,None,-456000000,2073000000,245000000,198000000,1744000000,-166000000,234000000,-271000000,1065000000,1309000000,0,0,None,198000000,198000000,None,None,0,None,0,None,-1241000000,None,233000000
2018-12-31,-1104000000,None,None,539000000,1265000000,235000000,287000000,2739000000,352000000,317000000,2007000000,291000000,-426000000,77000000,77000000,None,190000000,190000000,None,None,1000000000,None,0,None,1053000000,None,315000000
2018-09-30,-501000000,None,None,433000000,2117000000,232000000,176000000,1338000000,578000000,536000000,1027000000,72000000,-513000000,0,0,None,189000000,189000000,None,None,762000000,None,0,None,536000000,None,536000000
2018-06-30,395000000,None,None,-778000000,-167000000,239000000,183000000,1502000000,-1756000000,566000000,1368000000,-1453000000,-1278000000,0,0,None,189000000,189000000,None,None,0,None,0,None,566000000,None,566000000
2018-03-31,-3574000000,None,None,-768000000,3667000000,235000000,196000000,2635000000,600000000,396000000,2180000000,1277000000,1474000000,0,0,None,190000000,190000000,None,None,0,None,0,None,-117000000,None,393000000
2017-12-31,-2717000000,None,None,1283000000,1782000000,240000000,353000000,33000000,840000000,792000000,2820000000,-39000000,127000000,74000000,74000000,None,186000000,186000000,None,None,23000000,None,-74000000,None,939000000,None,788000000
2017-09-30,-1169000000,None,None,554000000,313000000,232000000,244000000,172000000,426000000,195000000,1123000000,-50000000,363000000,165000000,165000000,None,180000000,180000000,None,None,492000000,None,-165000000,None,195000000,None,192000000
2017-06-30,-591000000,None,None,-1946000000,-2359000000,227000000,252000000,-109000000,-907000000,275000000,1300000000,-759000000,-68000000,263000000,263000000,None,181000000,181000000,None,None,0,None,-263000000,None,275000000,None,276000000
2017-03-31,-1489000000,None,None,-447000000,-348000000,225000000,200000000,-169000000,-222000000,340000000,2048000000,-180000000,263000000,248000000,248000000,None,183000000,183000000,None,None,0,None,-248000000,None,-152000000,None,339000000
2016-12-31,-7804000000,None,None,629000000,809000000,222000000,261000000,-303000000,1707000000,426000000,8083000000,-445000000,-46000000,246000000,246000000,None,173000000,173000000,None,None,5000000,None,-246000000,None,1026000000,None,424000000
2016-09-30,1665000000,None,None,304000000,-695000000,226000000,225000000,-14000000,-770000000,344000000,-418000000,-737000000,-1347000000,267000000,267000000,None,175000000,175000000,None,None,1036000000,None,-267000000,None,367000000,None,341000000
2016-06-30,-394000000,None,None,-11000000,859000000,221000000,216000000,305000000,123000000,288000000,-365000000,382000000,757000000,191000000,191000000,None,176000000,176000000,None,None,0,None,-191000000,None,-372000000,None,284000000
2016-03-31,25000000,None,None,-779000000,-245000000,231000000,180000000,172000000,-406000000,230000000,-448000000,221000000,697000000,296000000,296000000,None,177000000,177000000,None,None,0,None,-296000000,None,-204000000,None,230000000
2015-12-31,607000000,None,None,422000000,-216000000,224000000,306000000,-418000000,815000000,717000000,286000000,-1479000000,-852000000,252000000,252000000,None,167000000,167000000,None,None,6000000,None,-252000000,None,190000000,None,718000000
2015-09-30,691000000,None,None,1310000000,912000000,217000000,279000000,-72000000,-353000000,253000000,100000000,-938000000,784000000,624000000,624000000,None,170000000,170000000,None,None,2000000,None,-624000000,None,-147000000,None,252000000
2015-06-30,362000000,None,None,-1657000000,-1402000000,225000000,296000000,127000000,-595000000,383000000,-146000000,-239000000,-692000000,598000000,598000000,None,173000000,173000000,None,None,1236000000,None,-598000000,None,-23000000,None,386000000
2015-03-31,45000000,None,None,-1768000000,-1236000000,216000000,244000000,-550000000,-739000000,493000000,-261000000,7000000,742000000,566000000,566000000,None,177000000,177000000,None,None,8000000,None,-566000000,None,-209000000,None,493000000
2014-12-31,519000000,None,None,1660000000,1877000000,248000000,289000000,532000000,1907000000,705000000,-2987000000,-991000000,-280000000,481000000,481000000,None,154000000,154000000,None,None,0,None,-481000000,None,-3440000000,None,701000000
2014-09-30,3441000000,None,None,2157000000,-389000000,214000000,207000000,-1853000000,-780000000,748000000,-163000000,-369000000,-49000000,209000000,209000000,None,155000000,155000000,None,None,0,None,-209000000,None,2909000000,None,747000000
2014-06-30,1341000000,None,None,-1552000000,-2069000000,213000000,210000000,1329000000,-2373000000,532000000,-112000000,-682000000,-66000000,318000000,318000000,None,157000000,157000000,None,None,0,None,-318000000,None,547000000,None,533000000
2014-03-31,-358000000,None,None,-989000000,-403000000,219000000,188000000,-433000000,-28000000,268000000,-145000000,-1535000000,-63000000,175000000,175000000,None,158000000,158000000,None,None,1000000,None,-175000000,None,-2038000000,None,267000000
