fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,833000000,101000000,None,-1131000000,175000000,247000000,None,175000000,None,268000000,-1412000000,-787000000,None,701000000,701000000,None,236000000,236000000,None,None,204000000,None,-690000000,8000000,None,None,268000000
2023-09-30,1270000000,38000000,None,69000000,-77000000,201000000,None,-77000000,None,1569000000,496000000,-992000000,None,700000000,700000000,None,239000000,239000000,None,None,0,None,-693000000,4000000,None,None,1569000000
2023-06-30,379000000,57000000,None,-250000000,1000000,202000000,None,1000000,None,1634000000,1628000000,-1011000000,None,700000000,700000000,None,243000000,243000000,None,None,0,None,-691000000,3000000,996000000,None,1634000000
2023-03-31,708000000,37000000,None,-207000000,34000000,205000000,None,34000000,None,1188000000,105000000,-933000000,None,700000000,700000000,None,248000000,248000000,None,None,0,None,-694000000,2000000,-120000000,None,1188000000
2022-12-31,1033000000,107000000,None,-113000000,-19000000,339000000,None,8000000,None,185000000,-693000000,-1295000000,None,600000000,600000000,None,239000000,239000000,None,None,0,None,-595000000,2000000,-955000000,None,-21000000
2022-09-30,1076000000,49000000,None,-193000000,-12000000,268000000,None,-37000000,None,1596000000,-930000000,-612000000,None,651000000,651000000,None,242000000,242000000,None,None,1277000000,None,-642000000,5000000,-466000000,None,1781000000
2022-06-30,510000000,67000000,None,-110000000,-1000000,268000000,None,-2000000,None,1388000000,1293000000,-907000000,None,650000000,650000000,None,248000000,248000000,None,None,0,None,-648000000,1000000,896000000,None,1394000000
2022-03-31,1260000000,37000000,None,519000000,30000000,322000000,None,29000000,None,1032000000,-1210000000,-737000000,None,500000000,500000000,None,250000000,250000000,None,None,0,None,-483000000,9000000,-687000000,None,1047000000
2021-12-31,870000000,123000000,None,-1000000,-50000000,346000000,None,-53000000,None,1039000000,-1207000000,-842000000,None,625000000,625000000,None,208000000,208000000,None,None,0,None,-606000000,13000000,-1157000000,22000000,1039000000
2021-09-30,1853000000,37000000,None,519000000,-26000000,278000000,None,-26000000,None,888000000,-332000000,-756000000,None,526000000,526000000,None,217000000,217000000,None,None,0,None,-524000000,0,888000000,-26000000,888000000
