fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,-98219000,122610000,None,None,None,144143000,684088000,None,-962924000,-603292000,-1065529000,397004000,None,None,None,None,73175000,46937000,None,None,56047000,None,73000,None,None,None,-617680000
2023-09-30,628853000,15352000,None,None,None,105445000,545898000,None,None,320693000,-662925000,99698000,0,0,0,None,73182000,46934000,None,0,0,None,36000,None,None,None,302533000
2023-06-30,73707000,20846000,None,None,None,93085000,503687000,None,None,676439000,-513698000,245885000,0,0,0,None,47035000,47035000,None,0,300000000,None,0,None,-194106000,None,650043000
2023-03-31,720980000,15002000,None,None,None,87271000,415608000,None,None,1276703000,-539008000,-118676000,0,0,0,None,99427000,46282000,None,0,0,None,81000,None,63296000,None,1238580000
2022-12-31,952247000,107723000,None,None,None,85561000,445712000,-786121000,-1609642000,1161786000,-609340000,-299364000,0,0,0,None,46264000,46264000,None,0,0,None,1193000,None,43543000,None,1132445000
2022-09-30,895291000,700000,None,None,None,77713000,313327000,None,-1609642000,931206000,-313337000,-65278000,0,0,0,None,63954000,46271000,None,0,0,None,735000,None,516676000,None,897215000
2022-06-30,-145865000,700000,None,None,None,70993000,270909000,None,None,440592000,-271879000,918910000,0,0,0,None,72782000,46257000,None,0,1684216000,None,436000,None,501166000,None,406773000
2022-03-31,206176000,13126000,None,None,None,66574000,231698000,None,None,281547000,-228093000,57619000,0,0,0,None,45637000,45637000,None,0,280000000,None,419000,None,35702000,None,253383000
2021-12-31,-146329000,42938000,None,None,None,68235000,300928000,-49295000,-127401000,10469000,-307763000,308649000,0,0,0,None,80575000,45617000,None,0,0,None,2172000,None,-145443000,None,-3824000
2021-09-30,104733000,700000,None,None,None,62082000,255824000,None,-127401000,-374433000,-256646000,-63903000,0,0,0,None,63079000,45599000,None,0,0,None,1885000,None,-313051000,None,-392781000
2021-06-30,227904000,800000,None,None,None,61423000,217232000,None,-127401000,446208000,72543000,-51285000,0,0,0,None,62986000,45507000,None,0,0,None,13152000,None,506831000,None,424600000
2021-03-31,157949000,24149000,None,None,None,62260000,179683000,None,-127401000,117698000,-174724000,-143249000,0,0,0,None,67349000,41130000,None,1453888000,0,None,1455071000,None,-160024000,None,95677000
2020-12-31,337200000,81073000,None,None,None,61770000,229106000,100118000,51978000,102177000,-220052000,-101937000,0,0,0,None,58757000,40982000,None,0,0,None,23512000,None,11000000,None,84635000
2020-09-30,253797000,900000,None,None,None,58679000,202380000,None,51978000,117045000,-202968000,-95847000,0,0,0,None,40927000,40927000,None,0,0,None,6116000,None,174824000,None,98301000
2020-06-30,52863000,800000,None,None,None,57841000,204462000,None,51978000,103758000,-205685000,324029000,0,0,0,None,40927000,40927000,None,0,202163000,None,614000,None,160799000,None,85624000
2020-03-31,155054000,17670000,None,None,-4790000,53694000,214529000,None,51978000,123635000,-234868000,51016000,0,0,0,None,53268000,38982000,None,0,250000000,None,10195000,None,-28798000,None,107204000
2019-12-31,373736000,58763000,None,None,90797000,56766000,243340000,None,-46304000,106243000,-1064133000,987442000,0,0,0,None,64858000,38883000,None,None,1597807000,None,0,None,295287000,-1758000,90391000
2019-09-30,146350000,800000,None,None,-4156000,54487000,192830000,None,-46304000,171618000,-192581000,-6722000,0,0,0,None,57258000,39008000,None,None,0,None,1609000,None,-80360000,-27407000,155070000
2019-06-30,144372000,400000,None,None,4010000,52948000,199494000,None,-46304000,174970000,-199716000,-13290000,0,0,0,None,77888000,38926000,None,None,0,None,529000,None,-67091000,1543000,154198000
2019-03-31,54916000,3555000,None,None,-7580000,49283000,216132000,None,-46304000,151526000,-207195000,75257000,0,0,0,None,35387000,35387000,None,None,0,None,2676000,None,-90046000,-13024000,133569000
2018-12-31,169224000,53930000,None,None,217932000,50187000,228316000,-97448000,-124067000,146049000,-227989000,-13598000,0,0,0,None,35674000,35674000,None,None,0,None,1331000,None,-85906000,-13543000,129596000
2018-09-30,153084000,800000,None,None,-12692000,49707000,190730000,None,-124067000,143479000,-201411000,-216061000,77500000,250000000,250000000,None,43816000,36438000,None,None,0,None,-248986000,None,-266918000,-2530000,129745000
2018-06-30,102303000,700000,None,None,-1641000,50474000,149130000,None,-124067000,310686000,258245000,-118585000,169500000,250000000,250000000,None,37102000,37102000,None,None,0,None,-249358000,None,215956000,-26007000,302461000
2018-03-31,121554000,3548000,None,None,-29067000,50330000,131815000,None,-124067000,138925000,-132540000,-438282000,-382800000,0,0,None,42760000,35382000,None,None,0,None,646000,None,-445115000,4153000,131760000
2017-12-31,229135000,64977000,None,None,222921000,52841000,130184000,-74545000,-101545000,-207071000,-133435000,-8601000,None,0,0,None,44317000,35352000,None,None,0,None,1227000,None,91964000,4865000,-218366000
2017-09-30,129299000,700000,None,None,-7881000,49895000,89754000,None,None,130193000,-95393000,3539000,None,0,0,None,45304000,35443000,None,None,0,None,3674000,None,38394000,949000,118670000
2017-06-30,-137040000,700000,None,None,4567000,49122000,43622000,None,None,113689000,-48832000,-60007000,None,0,0,None,53362000,35432000,None,None,0,None,1167000,None,-247591000,-1712000,103333000
2017-03-31,82585000,500000,None,None,-1363000,45070000,54143000,None,None,62657000,-80143000,-1021799000,None,250000000,250000000,None,34330000,34330000,None,None,0,None,-247830000,None,-1015220000,4137000,51213000
2016-12-31,281410000,83690000,None,None,398641000,49670000,55353000,-42816000,25974000,610278000,2832356000,-1068105000,None,0,0,None,46274000,34292000,None,None,0,None,2622000,None,2036157000,-9504000,602090000
