fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,363000000,133000000,None,None,None,146000000,121000000,None,None,136000000,-114000000,-332000000,-66000000,0,0,None,185000000,185000000,None,0,0,None,0,None,None,None,134000000
2023-09-30,-135000000,87000000,None,None,None,149000000,124000000,None,None,154000000,-142000000,141000000,388000000,30000000,30000000,None,176000000,176000000,None,0,0,None,-30000000,None,None,None,152000000
2023-06-30,932000000,209000000,None,None,None,158000000,144000000,93000000,248000000,184000000,-160000000,-653000000,-623000000,232000000,232000000,None,178000000,178000000,None,1000000,499000000,None,-231000000,None,119000000,None,180000000
2023-03-31,184000000,90000000,None,None,None,144000000,132000000,None,None,179000000,-173000000,-282000000,217000000,160000000,160000000,None,180000000,180000000,None,1000000,23000000,None,-159000000,None,-271000000,None,177000000
2022-12-31,405000000,103000000,None,None,None,133000000,98000000,None,None,461000000,264000000,-416000000,-203000000,40000000,40000000,None,184000000,184000000,None,36000000,-1000000,None,-4000000,None,253000000,None,459000000
2022-09-30,-260000000,49000000,None,None,None,151000000,152000000,None,None,234000000,-240000000,326000000,703000000,0,0,None,181000000,181000000,None,96000000,1000000,None,96000000,None,-174000000,None,232000000
2022-06-30,937000000,185000000,None,None,None,146000000,154000000,-272000000,-626000000,112000000,-144000000,-943000000,-610000000,178000000,178000000,None,182000000,182000000,None,22000000,496000000,None,-156000000,None,-150000000,None,109000000
2022-03-31,266000000,36000000,None,None,None,147000000,118000000,None,-626000000,271000000,-118000000,287000000,115000000,128000000,128000000,None,182000000,182000000,None,0,551000000,None,-128000000,None,271000000,None,269000000
2021-12-31,435000000,67000000,None,None,None,155000000,110000000,None,-626000000,229000000,-120000000,-302000000,338000000,231000000,231000000,None,185000000,185000000,None,10000000,11000000,None,-221000000,None,229000000,None,225000000
2021-09-30,-112000000,27000000,None,None,None,177000000,145000000,None,-626000000,203000000,-145000000,67000000,795000000,64000000,64000000,None,183000000,183000000,None,82000000,8000000,None,18000000,None,-190000000,None,202000000
2021-06-30,844000000,193000000,None,None,None,148000000,133000000,None,-112000000,259000000,-118000000,-578000000,-738000000,43000000,43000000,None,186000000,186000000,None,19000000,788000000,None,-24000000,None,148000000,None,255000000
2021-03-31,175000000,39000000,None,None,None,139000000,117000000,None,-112000000,270000000,-39000000,-192000000,175000000,233000000,233000000,None,182000000,182000000,None,2000000,1000000,None,-231000000,None,270000000,None,267000000
2020-12-31,552000000,74000000,None,None,None,142000000,104000000,None,-112000000,222000000,-103000000,-485000000,-22000000,75000000,75000000,None,186000000,186000000,None,4000000,0,None,-71000000,None,222000000,None,219000000
2020-09-30,-110000000,48000000,None,None,None,145000000,114000000,None,-112000000,200000000,27000000,76000000,350000000,0,0,None,188000000,188000000,None,5000000,1000000,None,5000000,None,-7000000,None,198000000
2020-06-30,914000000,127700000,None,None,None,153000000,87000000,None,25600000,177000000,-79000000,-646000000,-74100000,59000000,58400000,None,187300000,187000000,None,0,1991800000,None,-58300000,None,719500000,None,179100000
2020-03-31,128000000,87900000,None,None,None,167000000,106000000,None,25600000,183000000,-77000000,-148000000,2233800000,255000000,255600000,None,183200000,183000000,None,0,1156700000,None,-255600000,None,183600000,None,181000000
2019-12-31,431000000,94900000,None,None,None,148000000,92000000,None,None,188000000,-90000000,-136000000,-256900000,165000000,164300000,None,390100000,390000000,None,0,-1683100000,None,-164100000,None,187800000,None,186000000
2019-09-30,-89000000,88300000,None,None,None,184000000,115000000,None,3200000,68000000,284000000,-306000000,-160600000,58000000,58300000,None,500000,1000000,None,1000000,1728000000,None,-57600000,None,-111500000,None,66000000
2019-06-30,654600000,91800000,None,None,None,183400000,81100000,None,3200000,82500000,193800000,-767400000,379199966,0,None,None,388200000,388500000,None,2500000,6208500000,None,19299870,None,528300000,None,80600000
2019-03-31,-113300000,None,None,None,None,82600000,78900000,None,None,112400000,-70900000,232300000,2300034,0,None,None,1476847.35,900000,None,4500000,None,None,8183722.82,None,-68,None,112600000
2018-12-31,540500000,None,None,None,None,101000000,59200000,None,-26726313.37,140600000,-7100000,-384200000,-25000000,0,None,None,139000000,288500000,None,2900000,None,None,25000000,None,None,None,138600000
2018-09-30,-305800000,None,None,None,None,86000000,112800000,None,-26973836.54,101500000,-105800000,154300000,22700000,0,None,None,139000000,2100000,None,9100000,None,None,9100000,None,None,None,98400000
