fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-03-31,106600000,None,None,None,None,19600000,22000000,None,None,147600000,-71200000,-120600000,None,74500000,74500000,None,47300000,47300000,None,None,0,None,-74500000,None,None,None,147600000
2023-12-31,231300000,None,None,None,None,20800000,29900000,None,18100000,137300000,6700000,-184000000,None,145100000,145100000,None,47800000,47800000,None,None,0,None,-145100000,None,None,None,137300000
2023-09-30,178800000,None,None,None,None,19400000,18500000,None,None,135400000,-64600000,-209500000,0,91800000,91800000,None,45100000,45100000,None,None,0,None,-91800000,None,None,None,135400000
2023-06-30,140300000,None,None,None,None,18900000,13500000,None,None,157000000,43600000,-193700000,0,16500000,16500000,None,45200000,45200000,None,None,0,None,-16500000,None,-9800000,None,157000000
2023-03-31,119900000,None,None,None,None,19200000,10700000,None,None,126900000,-9800000,-97500000,0,53100000,53100000,None,45400000,45400000,None,None,0,None,-53100000,None,12600000,None,126900000
2022-12-31,176700000,None,None,None,None,20400000,19400000,None,-82800000,-120100000,-50200000,-110700000,0,121500000,121500000,None,46100000,46100000,None,None,56000000,None,-121500000,None,15800000,None,-120100000
2022-09-30,160300000,None,None,None,None,18200000,20200000,None,-82800000,109800000,17400000,-140900000,0,91600000,91600000,None,43200000,43200000,None,None,-7100000,None,-91600000,None,36800000,None,109800000
2022-06-30,37900000,None,None,None,None,18000000,17800000,None,None,126200000,38800000,-123100000,0,82500000,82500000,None,43700000,43700000,None,None,3000000,None,-82500000,None,-46400000,None,126200000
2022-03-31,16500000,None,None,None,None,20300000,12900000,None,None,119800000,2100000,-56100000,0,107900000,107900000,None,44200000,44200000,None,None,98700000,None,-107900000,None,-37500000,None,119800000
2021-12-31,264300000,None,None,None,None,19900000,29800000,None,-109500000,139600000,-214600000,-92500000,0,154500000,154500000,None,44700000,44700000,None,None,0,None,-154500000,None,-42800000,None,139600000
2021-09-30,180800000,None,None,None,None,19000000,14600000,None,-109500000,131600000,-85300000,-54200000,0,13900000,13900000,None,41500000,41500000,None,None,0,None,-13900000,None,132100000,None,131600000
2021-06-30,91600000,None,None,None,None,19500000,13600000,None,-109500000,118200000,-62500000,-162800000,0,131100000,131100000,None,41700000,41700000,None,None,0,None,-131100000,None,118700000,None,118200000
2021-03-31,104400000,None,None,None,None,19500000,17100000,None,-109500000,97700000,12500000,-111500000,0,67000000,67000000,None,42200000,42200000,None,None,0,None,-67000000,None,5400000,None,97700000
2020-12-31,231700000,None,None,None,None,19300000,20100000,None,2900000,324100000,-600000,-35900000,0,0,0,None,42200000,42200000,None,None,0,None,0,None,324100000,None,120000000
2020-09-30,151100000,2500000,None,None,None,20700000,11900000,None,2900000,105400000,-11800000,-204100000,0,0,0,None,38700000,38700000,None,None,0,None,0,None,103400000,None,105400000
2020-06-30,125200000,2500000,None,None,None,19900000,12000000,None,2900000,67800000,-2200000,-96400000,0,0,0,None,38800000,38800000,None,None,0,None,0,None,68500000,None,67800000
