fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,626600000,3400000,None,-268500000,81300000,349200000,1445500000,32700000,48600000,621600000,-1665600000,1362800000,1020900000,None,None,None,388900000,388900000,None,None,810400000,None,5300000,None,None,None,609300000
2023-09-30,4050300000,None,None,162100000,-207400000,357300000,1462900000,-203300000,-4100000,694400000,-1516600000,510700000,-299100000,0,0,None,388700000,388700000,None,None,1399900000,None,4500000,None,None,None,692600000
2023-06-30,845400000,2300000,None,75900000,246500000,339900000,1322400000,225300000,21200000,610500000,-1923800000,495500000,583600000,0,0,None,388700000,388700000,None,None,224700000,None,2400000,None,-582900000,None,595600000
2023-03-31,638700000,None,None,-193700000,-75900000,339600000,1006900000,-85400000,9500000,449900000,-2219800000,689000000,-12200000,0,0,None,359800000,359800000,None,None,1415300000,None,3100000,None,-892100000,None,439800000
2022-12-31,719300000,None,None,-257600000,49700000,321500000,834200000,-53100000,102800000,583800000,-256200000,-85600000,-4100000,0,0,None,359400000,359400000,None,None,476300000,None,14000000,None,377500000,None,572200000
2022-09-30,-147400000,None,None,212400000,49500000,332800000,787400000,36000000,13500000,593000000,-1013100000,-188500000,-237100000,0,0,None,359400000,359400000,None,None,409200000,None,3000000,None,-244200000,None,583100000
2022-06-30,908200000,None,None,197000000,225100000,337200000,705500000,201600000,23500000,587100000,-208300000,-26500000,44100000,0,0,None,359200000,359200000,None,None,269500000,None,1900000,None,587100000,None,582100000
2022-03-31,519800000,None,None,-44500000,72100000,335900000,769800000,48500000,23600000,536800000,-916700000,-200500000,97800000,0,0,None,332600000,332600000,None,None,35900000,None,1100000,None,536800000,None,530500000
2021-12-31,785200000,None,None,167600000,130600000,332300000,663800000,96900000,33700000,549600000,-1719100000,-585100000,113100000,0,0,None,332100000,332100000,None,None,51600000,None,13300000,None,-1519000000,None,560400000
2021-09-30,1712700000,None,None,48100000,14600000,332600000,616400000,3800000,10800000,618800000,-414900000,-217800000,-37700000,0,0,None,332000000,332000000,None,None,18000000,None,2500000,None,1080000000,None,610400000
