fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,245280000,None,None,None,None,164608000,769650000,None,None,311292000,-764375000,785292000,-241933000,None,None,None,119898000,119898000,None,254022000,898275000,None,257768000,None,None,None,311292000
2023-09-30,238235000,153463000,None,None,None,159264000,722487000,None,112111000,118524000,-717961000,440861000,241933000,0,0,None,111271000,111271000,None,135319000,0,None,139054000,None,None,None,118524000
2023-06-30,328792000,3700000,None,None,None,150726000,668137000,None,112111000,137807000,-666929000,301075000,0,0,0,None,108349000,108349000,None,311947000,0,None,315697000,None,-37062000,None,137807000
2023-03-31,2703816000,3200000,None,None,None,148317000,619689000,None,112111000,357671000,-617879000,-2162359000,0,0,0,None,106173000,106173000,None,139683000,0,None,143814000,None,-76422000,None,357671000
2022-12-31,188900000,3000000,None,None,None,146020000,795660000,None,112111000,271860000,-792511000,723654000,-184967000,0,0,None,104552000,104552000,None,220000000,797258000,None,223779000,None,120043000,None,271860000
2022-09-30,48268000,132380000,None,None,None,140194000,718381000,None,-179825000,71643000,-715389000,390600000,184967000,0,0,None,96658000,96658000,None,101485000,0,None,105218000,None,None,None,71643000
2022-06-30,288832000,3300000,None,None,None,134231000,536010000,None,-179825000,128547000,-532600000,-10652000,0,0,0,None,95312000,95312000,None,81000000,0,None,84660000,None,-407463000,None,128547000
2022-03-31,578660000,3800000,None,None,None,133374000,505849000,None,-179825000,324999000,-502221000,242051000,0,0,0,None,93533000,93533000,None,332377000,202660000,None,336469000,None,-180850000,None,324999000
2021-12-31,61824000,4000000,None,None,None,127856000,684180000,None,-179825000,249209000,-679748000,765206000,0,0,0,None,90411000,90411000,None,261943000,596142000,None,265861000,None,147282000,None,249209000
2021-09-30,74216000,107113000,None,None,None,124708000,611580000,-113665000,17648000,48720000,-611338000,129224000,0,0,0,None,82644000,82644000,None,145989000,0,None,149709000,None,-407898000,None,48720000
