fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1826000000,65000000,None,None,None,561000000,116000000,None,None,282000000,-233000000,-862000000,0,500000000,500000000,None,275000000,275000000,None,None,None,None,-500000000,None,None,None,281000000
2023-09-30,2449000000,520000000,None,None,None,587000000,294000000,None,-15000000,153000000,137000000,-997000000,-279000000,0,0,None,265000000,265000000,None,None,0,None,0,None,None,None,108000000
2023-06-30,407000000,37000000,None,None,None,571000000,191000000,None,None,407000000,-329000000,-1794000000,-316000000,0,0,None,286000000,286000000,None,None,0,None,0,None,-1042000000,None,407000000
2023-03-31,461000000,34000000,None,None,None,563000000,181000000,None,None,461000000,-233000000,1369000000,0,0,0,None,282000000,282000000,None,None,0,None,0,None,1321000000,None,460000000
2022-12-31,778000000,26000000,None,None,None,567000000,208000000,None,None,509000000,-291000000,-534000000,365000000,0,0,None,281000000,281000000,None,None,0,None,0,None,-426000000,None,509000000
2022-09-30,1789000000,418000000,None,None,None,581000000,315000000,32000000,-631000,287000000,-2005000000,-549000000,230000000,500000000,500000000,None,270000000,270000000,None,None,0,None,0,None,-1581000000,None,288000000
2022-06-30,390000000,16000000,None,None,None,554000000,243000000,None,-631000000,390000000,-236000000,-846000000,0,0,0,None,271000000,271000000,None,None,0,None,0,None,-836000000,None,360000000
2022-03-31,444000000,18000000,None,None,None,548000000,227000000,None,-631000000,454000000,-304000000,1131000000,0,0,0,None,270000000,270000000,None,None,0,None,0,None,454000000,None,454000000
2021-12-31,674000000,20000000,None,None,None,546000000,188000000,None,-631000000,677000000,-686000000,-327000000,0,0,0,None,271000000,271000000,None,None,0,None,0,None,-339000000,None,677000000
2021-09-30,951000000,None,None,None,None,582000000,465000000,-95000000,-83000000,265000000,-694000000,-1142000000,0,750000000,750000000,None,259000000,259000000,None,None,0,None,-750000000,None,-885000000,None,265000000
2021-06-30,975000000,None,None,None,None,535000000,267000000,None,-104000000,525000000,-323000000,-1271000000,0,0,0,None,261000000,261000000,None,None,0,None,0,None,525000000,None,525000000
2021-03-31,1188000000,None,None,None,None,558000000,253000000,None,-104000000,299000000,-433000000,-301000000,0,0,0,None,264000000,264000000,None,None,0,None,0,None,299000000,None,299000000
2020-12-31,1533000000,None,None,None,None,555000000,246000000,None,-104000000,1003000000,-430000000,-592000000,0,0,0,None,264000000,264000000,None,None,0,None,0,None,511000000,None,1003000000
2020-09-30,1481000000,None,None,None,None,514000000,213000000,-48000000,-125000000,2206000000,-327000000,-1208000000,0,0,0,None,253000000,253000000,None,None,0,None,0,None,2206000000,None,128000000
2020-06-30,862000000,None,None,None,None,534000000,202000000,None,-125000000,286000000,-363000000,20000000,-695000000,0,0,None,268000000,268000000,None,None,0,None,0,None,286000000,None,286000000
2020-03-31,483000000,None,None,None,None,537000000,222000000,None,-125000000,183000000,-255000000,1623000000,0,0,0,None,253000000,253000000,None,None,0,None,0,None,183000000,None,183000000
2019-12-31,713000000,None,None,24000000,71000000,530000000,173000000,None,None,277000000,-287000000,-413000000,210000000,0,0,None,252000000,252000000,None,None,0,None,0,None,13000000,None,278000000
2019-09-30,1371000000,648000000,None,-320000000,59000000,553000000,358000000,None,-149000000,2266000000,-441000000,-923000000,185000000,0,0,None,247000000,247000000,None,None,0,None,0,None,2266000000,None,163000000
