fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,-251900000,37400000,None,-439800000,-200000,25700000,19500000,None,None,256300000,-137600000,-159000000,0,58800000,58800000,None,155700000,155700000,None,0,0,None,-58800000,None,None,None,251300000
2023-09-30,773400000,199800000,None,218200000,66800000,26000000,27300000,None,54200000,348500000,-330900000,-396000000,0,186300000,186300000,None,152500000,152500000,None,9900000,0,None,-176400000,None,None,None,295500000
2023-06-30,655000000,29200000,None,184300000,-42400000,25400000,78700000,74600000,-74600000,248000000,-1056200000,504400000,0,52200000,52200000,None,153000000,153000000,None,0,0,None,-52200000,None,103200000,None,227500000
2023-03-31,-33400000,234200000,None,-16200000,22400000,27800000,15400000,-159000000,159000000,338100000,-1152400000,961700000,0,3600000,3600000,None,153400000,153400000,None,0,0,None,9800000,None,-283800000,None,194200000
2022-12-31,-256300000,17500000,None,-263000000,13600000,25100000,27400000,14600000,-14600000,168800000,-1042600000,958900000,174800000,14200000,14200000,None,148400000,148400000,None,0,0,None,-14200000,None,-280300000,59700000,165600000
2022-09-30,866400000,212800000,None,306700000,57200000,27000000,34700000,None,-10600000,205700000,-649300000,95800000,0,26800000,26800000,None,146000000,146000000,None,11500000,0,None,-15300000,None,303800000,-9100000,232700000
2022-06-30,819800000,113700000,None,216800000,11900000,26100000,13100000,24300000,-24300000,223600000,-1528600000,213300000,0,49700000,49700000,None,146600000,146600000,None,0,0,None,-49700000,None,223600000,-40500000,256400000
2022-03-31,104100000,378700000,None,-252200000,-23300000,20300000,25800000,19000000,None,359100000,-422700000,808600000,0,82600000,82600000,None,147400000,147400000,None,0,0,None,-69000000,None,359100000,-19600000,349600000
2021-12-31,166400000,26100000,None,-104900000,44600000,22400000,16700000,-140600000,None,544800000,-728600000,467300000,0,21700000,21700000,None,143100000,143100000,None,0,0,None,-21700000,None,-102900000,-8000000,453200000
2021-09-30,506100000,237500000,None,131800000,170700000,7700000,44400000,None,None,742800000,-679900000,487200000,0,72400000,72400000,None,141100000,141100000,None,11300000,445600000,None,-61100000,None,286100000,-27300000,665700000
