fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-03-31,13000000,89000000,None,-55000000,-93000000,54000000,13000000,None,86000000,293000000,-88000000,-67000000,100000000,0,0,None,38000000,38000000,None,None,0,None,0,None,None,None,293000000
2023-12-31,305400000,254200000,None,30100000,-105600000,51800000,30500000,None,1,268700000,-393700000,88400000,100000000,0,0,None,37100000,37100000,None,None,0,None,-800000,None,None,None,268700000
2023-09-30,315600000,15000000,None,48600000,116000000,51500000,13800000,None,-47200000,175900000,-58600000,-221600000,-100000000,0,0,None,32700000,32700000,None,None,0,None,39000000,None,None,None,175900000
2023-06-30,328700000,15100000,None,102200000,165500000,51400000,13300000,None,-22000000,190400000,-91500000,67100000,0,0,0,None,32600000,32600000,None,None,0,None,1600000,None,None,None,190400000
2023-03-31,60000000,87600000,None,46400000,-695800000,51300000,11800000,None,None,236000000,-43000000,-121000000,0,100000,100000,None,33000000,32600000,None,None,0,None,-100000,None,None,None,236000000
2022-12-31,281600000,156000000,None,-16000000,-206600000,49300000,20200000,None,None,145200000,0,-151100000,-150000000,0,0,None,32600000,32600000,None,None,0,None,200000,None,None,None,145200000
2022-09-30,253600000,16100000,None,-5500000,975500000,54800000,14100000,-1011400000,None,161100000,-1445100000,-189400000,-100000000,0,0,None,29000000,29000000,None,None,0,None,36500000,None,-1380900000,None,161100000
2022-06-30,242600000,13800000,None,42900000,103200000,42500000,8300000,-19400000,None,145200000,-21700000,767500000,-100000000,50000000,50000000,None,29000000,29000000,None,None,800000000,None,-49100000,None,988400000,None,145200000
2022-03-31,103600000,41200000,None,-4700000,-85600000,39200000,10000000,54600000,None,220300000,-445800000,1298400000,350000000,24100000,24100000,None,28900000,28900000,None,None,1200000000,None,-24100000,None,956200000,None,220300000
2021-12-31,181000000,163634000,None,-29844000,-130499000,38883000,10428000,176354000,-152200000,101700000,-190400000,55000000,0,0,0,None,29000000,29000000,None,None,0,None,192000,None,45667000,None,101700000
2021-09-30,247900000,13899000,None,19892000,191515000,38723000,9475000,0,214100000,146400000,-70100000,-101300000,0,1200000,1139000,None,26000000,26000000,None,None,0,None,31792000,None,184841000,None,146400000
2021-06-30,241900000,14025000,None,19884000,103345000,38347000,13717000,2710000,-3600000,139300000,-53900000,22900000,0,11400000,11405000,None,26100000,26100000,None,None,0,None,-10502000,None,148291000,None,139300000
2021-03-31,138000000,42401000,None,8946000,-76371000,36949000,11425000,-1355000,-67700000,199700000,-82400000,-186700000,0,70000000,70020000,None,26100000,26100000,None,None,0,None,-70020000,None,-131071000,None,199700000
2020-12-31,173412000,149699000,None,-9696000,-37193000,35773000,14880000,83995000,-92700000,97337000,-306849000,-96529000,0,47787000,47782000,None,28525000,28500000,None,None,0,None,-47618000,None,130916000,None,97320000
2020-09-30,122889000,13949000,None,-35455000,96287000,33706000,19882000,-103049000,39300000,133979000,-125822000,442570000,-200000000,5884000,5884000,None,24089000,24100000,None,None,0,None,23469000,None,149172000,None,133979000
2020-06-30,382882000,13773000,None,72948000,61982000,32909000,19480000,-34668000,20900000,96784000,-157220000,61364000,0,0,0,None,24084000,24100000,None,None,0,None,587000,None,97075000,None,96784000
