fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1189000000,2000000,None,2719000000,2016000000,175000000,114000000,537000000,1479000000,354000000,-105000000,-353000000,None,250000000,250000000,None,124000000,124000000,None,None,None,None,-250000000,None,None,None,353000000
2023-09-30,545000000,17000000,None,1727000000,1007000000,172000000,92000000,-50000000,1057000000,6000000,-63000000,-666000000,0,500000000,500000000,None,131000000,131000000,None,0,0,None,-500000000,None,None,None,5000000
2023-06-30,858000000,334000000,None,245000000,-235000000,176000000,217000000,437000000,-672000000,-66000000,-206000000,-592000000,0,500000000,500000000,None,126000000,126000000,None,0,0,None,-500000000,None,60000000,None,-64000000
2023-03-31,1361000000,18000000,None,-481000000,-1040000000,175000000,109000000,-409000000,-631000000,347000000,-91000000,-934000000,0,250000000,250000000,None,128000000,128000000,None,0,0,None,-250000000,None,336000000,None,345000000
2022-12-31,597000000,12000000,None,1720000000,1790000000,170000000,85000000,411000000,1379000000,-130000000,-87000000,-362000000,0,250000000,250000000,None,129000000,129000000,None,0,0,None,-250000000,None,148000000,None,-130000000
2022-09-30,23000000,21000000,None,1234000000,772000000,171000000,70000000,508000000,264000000,111000000,-70000000,-1163000000,0,1000000000,1000000000,None,142000000,142000000,None,0,0,None,-1000000000,None,-1210000000,None,110000000
2022-06-30,2992000000,300000000,None,2307000000,482000000,179000000,164000000,333000000,149000000,137000000,-204000000,-415000000,0,0,0,None,134000000,134000000,None,0,0,None,0,None,2373000000,None,138000000
2022-03-31,-419000000,14000000,None,62000000,1425000000,181000000,82000000,864000000,561000000,-1390000000,-44000000,-340000000,0,200000000,200000000,None,136000000,136000000,None,0,0,None,-200000000,None,-792000000,None,-1391000000
2021-12-31,1195000000,20000000,None,1351000000,347000000,164000000,74000000,115000000,232000000,49000000,-47000000,-444000000,0,300000000,300000000,None,140000000,140000000,None,0,0,None,-300000000,None,49000000,-6000000,49000000
2021-09-30,-646000000,14000000,None,-292000000,343000000,168000000,67000000,214000000,129000000,272000000,862000000,-1264000000,0,500000000,500000000,None,149000000,149000000,None,0,0,None,-500000000,None,-1053000000,-5000000,271000000
2021-06-30,665000000,315000000,None,1058000000,654000000,180000000,126000000,393000000,261000000,115000000,-88000000,-649000000,0,0,0,None,141000000,141000000,None,0,0,None,0,None,-69000000,3000000,116000000
2021-03-31,277000000,21000000,None,-594000000,79000000,199000000,100000000,12000000,67000000,120000000,-99000000,-324000000,0,200000000,200000000,None,143000000,143000000,None,0,0,None,-200000000,None,-80000000,-6000000,119000000
2020-12-31,1217000000,29000000,None,1548000000,1122000000,199000000,96000000,111000000,1011000000,630000000,-97000000,-146000000,0,0,0,None,143000000,143000000,None,0,0,None,0,None,630000000,17000000,629000000
2020-09-30,270000000,24000000,None,313000000,633000000,205000000,78000000,388000000,245000000,-253000000,-94000000,-198000000,0,0,0,None,146000000,146000000,None,0,0,None,0,None,-25000000,-3000000,-253000000
2020-06-30,240000000,283000000,None,-610000000,-334000000,225000000,136000000,-735000000,401000000,657000000,742000000,-528000000,0,0,0,None,141000000,141000000,None,0,0,None,0,None,657000000,-12000000,656000000
2020-03-31,1676000000,129000000,None,525000000,-209000000,224000000,90000000,774000000,-983000000,351000000,-98000000,-912000000,-683000000,0,0,None,141000000,141000000,None,0,0,None,0,None,351000000,4000000,350000000
2019-12-31,697000000,61000000,None,1735000000,1455000000,230000000,77000000,108000000,1347000000,220000000,-78000000,-175000000,683000000,0,0,None,141000000,141000000,None,0,0,None,0,None,447000000,3000000,220000000
2019-09-30,-653000000,43000000,None,-1812000000,-585000000,234000000,72000000,-229000000,-356000000,-4921000000,-73000000,-585000000,-2000000,350000000,350000000,None,146000000,146000000,None,0,0,None,-350000000,None,-1319000000,-8000000,-4922000000
2019-06-30,506000000,299000000,None,1018000000,801000000,241000000,136000000,595000000,206000000,194000000,-173000000,-1243000000,0,0,0,None,142000000,142000000,None,0,0,None,0,None,-907000000,3000000,194000000
2019-03-31,1480000000,15000000,None,-95000000,-443000000,261000000,76000000,-35000000,-408000000,296000000,-84000000,-142000000,0,0,0,None,142000000,142000000,None,0,1000000,None,0,None,1256000000,2000000,296000000
2018-12-31,371000000,13000000,None,382000000,464000000,253000000,58000000,-111000000,575000000,281000000,-84000000,-144000000,0,0,0,None,143000000,143000000,None,0,0,None,0,None,137000000,-6000000,280000000
2018-09-30,365000000,6000000,None,559000000,480000000,245000000,58000000,302000000,178000000,594000000,679000000,-764000000,0,600000000,600000000,None,150000000,150000000,None,0,0,None,-600000000,None,282000000,2000000,593000000
2018-06-30,554000000,325000000,None,939000000,585000000,253000000,138000000,239000000,346000000,-1166000000,-140000000,-809000000,0,100000000,100000000,None,145000000,145000000,None,0,0,None,-100000000,None,-412000000,-13000000,-1166000000
2018-03-31,754000000,76000000,None,-472000000,-115000000,259000000,78000000,15000000,-130000000,255000000,781000000,-637000000,-205000000,300000000,300000000,None,140000000,140000000,None,0,0,None,-300000000,None,926000000,10000000,255000000
2017-12-31,279000000,73000000,None,811000000,872000000,291000000,101000000,258000000,614000000,1053000000,-105000000,-86000000,161000000,0,0,None,146000000,146000000,None,0,0,None,0,None,68000000,-2000000,1053000000
2017-09-30,1181000000,9000000,None,1296000000,740000000,229000000,67000000,359000000,381000000,117000000,-6144000000,-744000000,-6000000,150000000,150000000,None,150000000,150000000,None,0,0,None,-150000000,None,-5698000000,9000000,115000000
2017-06-30,724000000,205000000,None,339000000,221000000,192000000,94000000,558000000,-337000000,278000000,24000000,4760000000,-22000000,0,0,None,142000000,142000000,None,0,0,None,0,None,5511000000,3000000,274000000
2017-03-31,-198000000,-1000000,None,-1338000000,-323000000,186000000,80000000,-39000000,-284000000,382000000,-192000000,-128000000,-8000000,0,0,None,142000000,142000000,None,0,0,None,0,None,-513000000,5000000,381000000
2016-12-31,554000000,10000000,None,1284000000,836000000,166000000,113000000,-160000000,996000000,324000000,-127000000,-536000000,8000000,350000000,350000000,None,144000000,144000000,None,0,0,None,-350000000,None,-120000000,-11000000,324000000
2016-09-30,104000000,5000000,None,279000000,604000000,173000000,100000000,306000000,298000000,310000000,-110000000,-350000000,25000000,250000000,250000000,None,149000000,149000000,None,0,0,None,-250000000,None,-355000000,1000000,309000000
2016-06-30,641000000,None,67000000,-24000000,-133000000,176000000,181000000,145000000,-278000000,335000000,-399000000,-479000000,-8000000,351000000,351000000,None,126000000,126000000,None,0,0,None,-351000000,None,-242000000,-5000000,333000000
2016-03-31,919000000,None,0,408000000,220000000,159000000,109000000,328000000,-108000000,386000000,-210000000,-438000000,-5000000,300000000,300000000,None,127000000,127000000,None,0,0,None,0,None,274000000,3000000,386000000
2015-12-31,1463000000,None,13000000,2006000000,1115000000,169000000,92000000,45000000,1070000000,326000000,-1993000000,-110000000,3000000,0,0,None,128000000,128000000,None,0,0,None,0,None,-650000000,-10000000,326000000
2015-09-30,-52000000,None,0,425000000,843000000,137000000,83000000,348000000,495000000,384000000,-1478000000,-112000000,36000000,0,0,None,131000000,131000000,None,0,0,None,0,None,-1642000000,0,383000000
2015-06-30,868000000,None,57000000,291000000,81000000,115000000,161000000,152000000,-71000000,295000000,-463000000,1028000000,-3000000,350000000,350000000,None,114000000,114000000,None,0,0,None,-350000000,None,1433000000,None,295000000
2015-03-31,658000000,None,14000000,219000000,140000000,116000000,56000000,427000000,-287000000,365000000,-286000000,-70000000,9000000,0,0,None,113000000,113000000,None,0,0,None,0,None,302000000,None,365000000
2014-12-31,953000000,None,None,1595000000,1336000000,112000000,47000000,0,1336000000,289000000,-19000000,-522000000,-58000000,326000000,326000000,None,114000000,114000000,None,0,0,None,-326000000,None,412000000,None,289000000
2014-09-30,61000000,None,None,-157000000,92000000,108000000,36000000,291000000,-199000000,266000000,-81000000,-376000000,40000000,360000000,360000000,None,119000000,119000000,None,0,0,None,-360000000,None,-396000000,None,266000000
2014-06-30,716000000,None,0,1196000000,756000000,115000000,111000000,548000000,208000000,234000000,-564000000,-328000000,49000000,284000000,284000000,None,103000000,103000000,None,0,0,None,-284000000,None,-176000000,None,234000000
2014-03-31,820000000,None,9000000,-304000000,-503000000,110000000,48000000,-53000000,-450000000,315000000,-146000000,-374000000,-8000000,339000000,339000000,None,104000000,104000000,None,0,0,None,-339000000,None,300000000,None,315000000
2013-12-31,37000000,None,None,764000000,1173000000,117000000,64000000,-25000000,1198000000,278000000,-89000000,40000000,53000000,0,0,None,103000000,103000000,None,0,0,None,-102000000,None,-12000000,None,278000000
2013-09-30,951000000,None,None,-1852000000,-2493000000,117000000,26000000,-1395000000,-1098000000,339000000,-51000000,-48000000,20000000,50000000,50000000,None,105000000,105000000,None,0,0,None,52000000,None,852000000,None,339000000
2013-06-30,300000000,None,None,212000000,-270000000,122000000,92000000,-135000000,27000000,472000000,-118000000,-586000000,10000000,250000000,250000000,None,95000000,95000000,None,0,0,None,-250000000,None,-404000000,None,-586000000
2013-03-31,989000000,None,None,183000000,-340000000,99000000,41000000,147000000,-193000000,345000000,-2140000000,1201000000,-28000000,0,0,None,93000000,93000000,None,0,0,None,-26000000,None,50000000,None,345000000
2012-12-31,-130000000,None,None,-433000000,486000000,88000000,36000000,-299000000,329000000,303000000,-14000000,-41000000,27000000,0,0,None,81000000,81000000,None,0,0,None,5000000,None,-185000000,None,303000000
2012-09-30,568000000,None,None,464000000,278000000,88000000,26000000,71000000,207000000,271000000,-103000000,-299000000,-10000000,200000000,200000000,None,84000000,84000000,None,0,0,None,-179000000,None,166000000,None,271000000
2012-06-30,-107000000,None,None,-893200000,-556400000,266900000,104000000,439000000,-375000000,424000000,-111000000,83000000,5000000,150000000,150000000,None,74100000,74000000,None,0,496000000,None,-130900000,None,-135000000,None,236000000
2012-03-31,893000000,None,None,94600000,-205100000,20500000,57700000,-477000000,-683000000,333400000,-182000000,-99000000,4000000,0,0,None,74300000,74000000,None,11900000,0,None,11900000,None,612000000,None,333000000
