fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,4003000000,4858000000,None,-349000000,-719000000,545000000,854000000,118000000,-1060000000,2673000000,-554000000,-3033000000,381000000,2766000000,2766000000,None,662000000,662000000,None,None,None,None,-2790000000,None,None,None,2676000000
2023-09-30,4060000000,11000000,None,-155000000,-329000000,525000000,781000000,-146000000,-136000000,2793000000,-3435000000,-1400000000,-1320000000,380000000,380000000,None,663000000,663000000,None,None,None,None,-322000000,None,None,None,2794000000
2023-06-30,3249000000,16000000,None,-111000000,319000000,542000000,707000000,136000000,157000000,2924000000,-1199000000,-1393000000,-303000000,1429000000,1429000000,None,618000000,618000000,None,None,None,None,-1426000000,None,657000000,None,2922000000
2023-03-31,1573000000,28000000,None,1176000000,1625000000,532000000,750000000,329000000,1403000000,1942000000,-683000000,-1106000000,-103000000,400000000,400000000,None,620000000,620000000,None,None,None,None,-425000000,None,-216000000,None,1943000000
2022-12-31,2739000000,4249000000,None,145000000,353000000,558000000,708000000,585000000,-499000000,1454000000,-843000000,-1123000000,1713000000,921000000,921000000,None,620000000,620000000,None,None,None,None,-872000000,None,773000000,None,1454000000
2022-09-30,2481000000,13000000,None,445000000,1032000000,551000000,617000000,-82000000,1085000000,2040000000,190000000,-2267000000,-758000000,1385000000,1385000000,None,633000000,633000000,None,None,None,None,-1387000000,None,404000000,None,2041000000
2022-06-30,2233000000,31000000,None,-101000000,329000000,553000000,595000000,-655000000,971000000,1673000000,-575000000,-2176000000,463000000,1104000000,1104000000,None,592000000,592000000,None,None,None,None,-1072000000,None,2400000000,None,1673000000
2022-03-31,313000000,19000000,None,640000000,1305000000,557000000,679000000,372000000,1032000000,1537000000,-1313000000,-1715000000,-1016000000,820000000,820000000,None,595000000,595000000,None,None,None,None,-848000000,None,-2715000000,None,1537000000
2021-12-31,1412000000,2921000000,None,873000000,1559000000,586000000,785000000,933000000,391000000,2120000000,-992000000,-586000000,2164000000,1046000000,1046000000,None,599000000,599000000,None,None,None,None,-1033000000,None,-166000000,None,2120000000
2021-09-30,1740000000,77000000,None,484000000,814000000,593000000,587000000,-17000000,1016000000,1428000000,-375000000,-2746000000,-136000000,1371000000,1371000000,None,607000000,607000000,None,None,None,None,-1372000000,None,2118000000,None,1426000000
2021-06-30,2118000000,27000000,None,72000000,425000000,587000000,596000000,-200000000,522000000,1414000000,-1240000000,-1402000000,-199000000,251000000,251000000,None,564000000,564000000,None,None,None,None,-193000000,None,2126000000,None,1413000000
2021-03-31,1928000000,55000000,None,759000000,1144000000,586000000,504000000,543000000,657000000,1531000000,-477000000,546000000,1659000000,0,0,None,562000000,562000000,None,None,None,None,65000000,None,1997000000,None,1530000000
2020-12-31,2072000000,2625000000,None,301000000,112000000,617000000,624000000,31000000,-105000000,780000000,-526000000,-1542000000,-666000000,0,0,None,560000000,560000000,None,None,None,None,119000000,None,2786000000,None,2786000000
2020-09-30,1734000000,36000000,None,-242000000,-295000000,593000000,493000000,-297000000,-6000000,671000000,-216000000,-1000000000,-1661000000,0,0,None,558000000,558000000,None,None,None,None,120000000,None,1338000000,None,668000000
2020-06-30,1391000000,79000000,None,-1075000000,-1115000000,608000000,450000000,-676000000,-396000000,459000000,-530000000,786000000,-437000000,87000000,87000000,None,558000000,558000000,None,None,None,None,-74000000,None,1133000000,None,458000000
2020-03-31,1130000000,16000000,None,-64000000,91000000,614000000,548000000,-500000000,541000000,1093000000,-213000000,-1999000000,-40000000,1043000000,1043000000,None,567000000,567000000,None,None,None,None,-1066000000,None,-1082000000,None,1092000000
2019-12-31,2434000000,3043000000,None,-371000000,-598000000,644000000,333000000,256000000,-950000000,1097000000,-574000000,-1507000000,868000000,764000000,764000000,None,568000000,568000000,None,None,None,None,-585000000,None,356000000,3000000,3269000000
2019-09-30,769000000,None,None,-2461000000,-628000000,645000000,244000000,-593000000,189000000,1494000000,-275000000,20000000,-570000000,1300000000,1300000000,None,578000000,578000000,None,None,None,None,-1300000000,None,477000000,-37000000,1494000000
2019-06-30,2588000000,None,None,-278000000,-133000000,647000000,201000000,16000000,-326000000,1619000000,-898000000,-1376000000,86000000,1300000000,1300000000,None,492000000,492000000,None,None,None,None,-1300000000,None,301000000,-13000000,1620000000
2019-03-31,1121000000,None,None,595000000,1007000000,641000000,278000000,150000000,813000000,1884000000,-181000000,-1675000000,-522000000,751000000,751000000,None,494000000,494000000,None,None,None,None,-756000000,None,-732000000,3000000,1881000000
2018-12-31,2083000000,None,None,232000000,1004000000,701000000,355000000,894000000,-243000000,1049000000,-798000000,-1432000000,1227000000,1798000000,1800000000,None,507000000,507000000,None,None,None,None,-1779000000,None,-156000000,-9000000,3643000000
2018-09-30,-2459000000,None,None,-1210000000,416000000,698000000,276000000,22000000,614000000,1727000000,-346000000,-1645000000,-1952000000,750000000,750000000,None,511000000,511000000,None,None,None,None,-750000000,None,-648000000,-49000000,1727000000
2018-06-30,2391000000,None,None,-110000000,773000000,686000000,233000000,377000000,405000000,1705000000,67000000,-750000000,336000000,750000000,750000000,None,466000000,466000000,None,None,None,None,-750000000,None,767000000,-78000000,1707000000
2018-03-31,2980000000,None,None,513000000,964000000,681000000,412000000,326000000,803000000,1667000000,-800000000,-538000000,1151000000,500000000,500000000,None,467000000,467000000,None,None,None,None,-351000000,None,-393000000,10000000,1665000000
2017-12-31,-3609000000,None,None,-220000000,557000000,724000000,332000000,696000000,-194000000,-1299000000,-498000000,-1347000000,-655000000,0,0,None,457000000,464000000,None,None,None,None,213000000,None,-1337000000,-2000000,2710000000
2017-09-30,1784000000,None,None,-299000000,671000000,723000000,195000000,13000000,801000000,1061000000,244000000,-1619000000,-1898000000,0,0,None,462000000,461000000,None,None,None,None,270000000,None,-626000000,27000000,1059000000
2017-06-30,1523000000,None,None,742000000,352000000,720000000,167000000,89000000,244000000,803000000,98000000,-750000000,-1123000000,750000000,750000000,None,454000000,454000000,None,None,None,None,-750000000,None,748000000,4000000,802000000
2017-03-31,2722000000,None,None,1034000000,1058000000,710000000,204000000,353000000,444000000,194000000,-125000000,879000000,618000000,0,0,None,458000000,452000000,None,None,None,None,-19000000,None,2336000000,9000000,192000000
2016-12-31,354000000,None,None,-195000000,-844000000,779000000,302000000,299000000,-778000000,-1167000000,-142000000,-431000000,251000000,0,0,None,451000000,451000000,None,None,None,None,31000000,None,1035000000,-17000000,354000000
2016-09-30,1044000000,None,None,-736000000,-567000000,761000000,227000000,-555000000,-26000000,283000000,109000000,-1641000000,-502000000,0,0,None,458000000,450000000,None,None,None,None,-7000000,None,-651000000,-12000000,283000000
2016-06-30,1307000000,None,None,-160000000,-956000000,754000000,223000000,-559000000,-379000000,553000000,146000000,-538000000,-95000000,0,0,None,449000000,450000000,None,None,None,None,-2000000,None,878000000,-10000000,550000000
