fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,3186000000,6208000000,None,-617000000,995000000,2284000000,None,None,None,3290000000,-2214000000,-1164000000,310000000,563000000,563000000,None,350000000,350000000,None,None,None,None,-491000000,None,None,None,3300000000
2023-09-30,4680000000,5259000000,None,2563000000,707000000,2262000000,370000000,None,None,2040000000,-3172000000,-1013000000,-154000000,581000000,581000000,None,356000000,356000000,None,None,0,None,-543000000,None,None,None,2043000000
2023-06-30,2515000000,5282000000,None,2545000000,2067000000,2086000000,295000000,-1809000000,None,1793000000,-1692000000,-888000000,99000000,722000000,722000000,None,343000000,343000000,None,None,0,None,-675000000,None,-65000000,None,1793000000
2023-03-31,2251000000,4815000000,None,442000000,25000000,2161000000,None,220000000,None,1892000000,-570000000,-1424000000,1000000,545000000,545000000,None,345000000,345000000,None,None,0,None,-490000000,None,257000000,None,1892000000
2022-12-31,2643000000,6215000000,None,-1249000000,-1296000000,2405000000,None,1165000000,None,1311000000,-452000000,-2397000000,-996000000,111000000,111000000,None,345000000,345000000,None,None,0,None,-45000000,None,-206000000,None,1378000000
2022-09-30,3434000000,5523000000,None,3627000000,1660000000,2044000000,None,-1427000000,None,792000000,-6327000000,-2005000000,-1004000000,656000000,656000000,None,349000000,349000000,None,None,0,None,-628000000,None,-4898000000,None,792000000
2022-06-30,2722000000,4691000000,None,2888000000,1720000000,1810000000,None,-1629000000,None,1215000000,2120000000,581000000,2002000000,1126000000,1126000000,None,340000000,340000000,None,None,0,None,-1070000000,None,5423000000,None,1190000000
2022-03-31,2444000000,4446000000,None,1432000000,584000000,1970000000,None,-581000000,None,1974000000,-995000000,-1306000000,0,1001000000,1001000000,None,341000000,341000000,None,None,0,None,-887000000,None,143000000,None,1953000000
2021-12-31,2600000000,5367000000,None,1286000000,-1499000000,2031000000,530000000,1344000000,None,13234000000,-2908000000,396000000,0,920000000,920000000,None,345000000,345000000,None,None,1576000000,None,-859000000,None,-18000000,-106000000,2141000000
2021-09-30,3322000000,4852000000,None,3743000000,1351000000,1849000000,251000000,-1101000000,None,1833000000,-1726000000,-1783000000,0,1501000000,1501000000,None,353000000,353000000,None,None,0,None,-1440000000,None,1833000000,None,1833000000
2021-06-30,3122000000,4174000000,None,2704000000,873000000,1771000000,434000000,-728000000,None,2265000000,-773000000,-2210000000,0,1921000000,1921000000,None,351000000,351000000,None,None,0,None,-1858000000,None,2265000000,None,2265000000
2021-03-31,2105000000,3983000000,None,1320000000,580000000,1885000000,206000000,-499000000,None,2300000000,-1252000000,-812000000,0,519000000,519000000,None,352000000,352000000,None,None,0,None,-404000000,None,41000000,None,2300000000
2020-12-31,2544000000,5272000000,None,-277000000,-648000000,1954000000,319000000,706000000,None,7209000000,-792000000,-1848000000,952000000,190000000,190000000,None,353000000,353000000,None,None,0,None,-122000000,None,-88000000,8000000,2418000000
2020-09-30,3544000000,4295000000,None,2893000000,104000000,1717000000,145000000,-104000000,None,1194000000,-4035000000,664000000,0,0,0,None,357000000,357000000,None,None,988000000,None,3000000,None,1194000000,None,1194000000
2020-06-30,1985000000,4045000000,None,3443000000,1112000000,1665000000,232000000,-826000000,None,-331000000,-1684000000,-253000000,450000000,10000000,10000000,None,339000000,339000000,None,None,0,None,17000000,None,-331000000,None,-331000000
2020-03-31,1712000000,4346000000,None,170000000,-32000000,1848000000,211000000,110000000,None,252000000,-1010000000,-645000000,952000000,323000000,323000000,None,339000000,339000000,None,None,0,None,-276000000,None,57000000,None,252000000
2019-12-31,1429000000,5364000000,None,-956000000,322000000,1819000000,417000000,-325000000,None,-1217000000,-2344000000,973000000,425000000,327000000,327000000,None,340000000,340000000,None,None,1542000000,None,-278000000,None,-1217000000,20000000,1173000000
2019-09-30,2205000000,5224000000,None,735000000,-216000000,1679000000,193000000,333000000,None,1091000000,-1274000000,-693000000,410000000,462000000,462000000,None,343000000,343000000,None,None,-3000000,None,-402000000,None,1091000000,None,1091000000
2019-06-30,1386000000,4293000000,None,560000000,647000000,1621000000,412000000,-459000000,None,1150000000,-1614000000,199000000,1510000000,374000000,374000000,None,335000000,335000000,None,None,1289000000,None,-314000000,None,1150000000,None,1150000000
2019-03-31,1322000000,4104000000,None,154000000,-42000000,1734000000,368000000,181000000,None,1040000000,-673000000,-630000000,472000000,367000000,367000000,None,336000000,336000000,None,None,0,None,-332000000,None,1168000000,None,1040000000
