fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,235500000,103900000,None,12100000,-2200000,58300000,102000000,60000000,-63000000,153700000,-105900000,-362600000,0,0,0,None,66600000,66599999,None,None,0,None,-296000000,None,None,None,153700000
2023-09-30,285900000,7600000,None,51800000,2800000,49300000,58300000,5000000,200000,177500000,-59200000,-47600000,0,0,0,None,66900000,66900000,None,None,0,None,19300000,None,None,None,177500000
2023-06-30,236100000,7900000,None,-6200000,41400000,48800000,38200000,30000000,19500000,221200000,-39600000,-3700000,-15000000,0,0,None,66700000,66700000,None,None,0,None,78100000,None,None,None,221200000
2023-03-31,273100000,38300000,None,-4300000,6500000,54900000,25000000,2400000,4800000,203200000,-29600000,-311700000,-55600000,0,0,None,66300000,66300000,None,None,0,None,10200000,None,-68200000,None,203200000
2022-12-31,351100000,87700000,None,93800000,-54100000,58400000,80700000,3600000,-59900000,-164700000,-627900000,105100000,70600000,0,0,None,63800000,63800000,None,None,499000000,None,3800000,None,-171700000,None,-164700000
2022-09-30,223700000,7800000,None,20600000,19200000,46000000,59300000,-5800000,19700000,187100000,-60900000,-358200000,0,0,0,None,63800000,63800000,None,None,0,None,5500000,None,-195400000,None,187100000
2022-06-30,157600000,8000000,None,-22500000,68100000,46100000,23200000,5700000,69300000,187100000,-24100000,334800000,-99600000,0,0,None,63700000,63700000,None,None,0,None,5900000,None,469000000,None,187100000
2022-03-31,152800000,32400000,None,-37600000,62400000,53700000,15600000,1800000,63700000,204400000,-15700000,-202600000,-149900000,0,0,None,63700000,63700000,None,None,0,None,11000000,None,-66200000,-700000,204400000
2021-12-31,340200000,41600000,None,92600000,-33000000,54200000,54700000,-14400000,-30800000,158100000,-612300000,333300000,-26900000,445100000,445100000,None,61700000,61700000,None,None,799200000,None,-373300000,None,60600000,-600000,158100000
2021-09-30,309300000,8000000,None,73300000,20600000,47100000,20800000,24500000,-400000,230400000,-22100000,-255600000,46800000,0,0,None,62000000,62000000,None,None,0,None,-40500000,None,243000000,-1400000,230400000
2021-06-30,244100000,8300000,None,-21300000,-7500000,47800000,17000000,-20800000,14000000,218300000,-17600000,-204800000,-49400000,0,0,None,61900000,61900000,None,None,0,None,6600000,None,240700000,600000,218300000
