fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,47331000,274314000,None,-110942000,-65313000,42870000,16136000,-81498000,None,30973000,-16136000,-66314000,-3000000,0,0,None,72627000,72627000,None,None,0,None,10853000,None,None,None,30973000
2023-09-30,205239000,-2503000,None,32830000,-23901000,5724000,16674000,-24551000,20191000,81949000,-15350000,-219401000,-153000000,1130000,1130000,None,72747000,72747000,None,None,0,None,8247000,None,None,None,81949000
2023-06-30,224832000,34583000,None,-44200000,-154237000,5773000,24351000,-174966000,-37803000,97316000,-24351000,-226126000,-137000000,31572000,31572000,None,72760000,72760000,None,None,0,None,-14561000,None,-25645000,None,97316000
2023-03-31,254544000,39993000,None,-217390000,-392801000,5815000,26950000,-326244000,None,114891000,-26950000,-205992000,-101000000,31182000,31182000,None,73435000,73435000,None,None,0,None,-11509000,None,21602000,None,114891000
2022-12-31,773382000,527074000,None,-227661000,-921672000,43774000,27843000,-856988000,None,96193000,-27472000,-725528000,-225000000,436322000,436322000,None,69059000,69059000,None,None,0,None,-429678000,None,20382000,None,96193000
2022-09-30,625460000,24002000,None,-78746000,-628627000,5782000,31251000,-445177000,None,225798000,-31251000,-636841000,-70000000,532879000,532879000,None,70990000,70990000,None,None,0,None,-493038000,None,-42632000,None,225798000
2022-06-30,265257000,22556000,None,-146735000,-29215000,5957000,43174000,-45384000,None,348185000,17784000,-278947000,102000000,329420000,329420000,None,72413000,72413000,None,None,0,None,-301212000,None,4094000,None,348185000
2022-03-31,-13928000,21381000,None,120696000,487388000,6034000,26229000,424025000,None,270348000,-23979000,21770000,47000000,161279000,161279000,None,72855000,72855000,None,None,200000000,None,-135913000,None,-16137000,None,270348000
2021-12-31,75855000,293041000,None,156416000,299193000,45868000,18357000,257060000,44416000,230098000,-18358000,-2338000,-107000000,152955000,152955000,None,68395000,68395000,None,None,300000000,None,-125469000,None,55159000,None,230098000
2021-09-30,-73498000,28502000,None,227027000,697434000,6130000,22728000,573145000,-16308000,247053000,-22728000,128018000,360787000,165897000,165897000,None,69170000,69170000,None,None,0,None,-159388000,None,247053000,None,247053000
2021-06-30,149290000,21381000,None,204381000,344416000,6200000,16331000,279478000,-52164000,193789000,-31080000,-164870000,20962000,132700000,132700000,None,69726000,69726000,None,None,0,None,-113735000,None,193789000,None,193789000
2021-03-31,-56692000,21114000,None,210388000,508049000,7086000,13506000,437862000,-14015000,173305000,-13506000,46763000,250000000,130204000,130204000,None,70030000,70030000,None,None,0,None,-112495000,None,-23435000,None,173305000
2020-12-31,162142000,154196000,None,51993000,79024000,51147000,13748000,84607000,63954000,147807000,-13748000,-165683000,-60000000,108951000,108951000,None,2528000,2528000,None,None,0,None,-101836000,None,-17289000,None,147807000
2020-09-30,-168594000,21914000,None,-11421000,348694000,9937000,15222000,318601000,13973000,136529000,-15222000,68354000,60000000,0,0,None,70324000,70324000,None,None,0,None,80247000,None,136529000,None,136529000
2020-06-30,447144000,19543000,None,158574000,-72823000,9655000,10336000,-84205000,17249000,143939000,-4424000,-380378000,-321000000,0,0,None,67233000,67233000,None,None,0,None,9026000,None,143939000,None,143939000
2020-03-31,58499000,19112000,None,82092000,135467000,8376000,14703000,133142000,-2594000,78146000,-238320000,37040000,178000000,68563000,68563000,None,69871000,69871000,None,None,0,None,-57294000,None,-142781000,None,78146000
2019-12-31,211561000,286447000,None,-19144000,-110967000,16317000,19522000,-104204000,-8407000,-176075000,-19523000,-134175000,100000000,68141000,68141000,None,69921000,69921000,None,None,369000000,None,-45491000,None,-176075000,-1894000,99106000
2019-09-30,167332000,16549000,None,-20797000,-40844000,9731000,19379000,-14933000,-1508000,146894000,-3571000,-126718000,0,67681000,67681000,None,68855000,68855000,None,None,456000000,None,-55191000,None,146894000,None,146894000
2019-06-30,199595000,16747000,None,34639000,52041000,9675000,17699000,28545000,-51442000,169180000,-31935000,-255567000,0,105998000,105998000,None,69268000,69268000,None,None,None,None,-97661000,None,169180000,None,169180000
2019-03-31,256931000,16629000,None,-57122000,-105432000,9293000,13865000,-117720000,35922000,161788000,-58000000,-134793000,-5000000,67624000,67624000,None,69742000,69742000,None,None,None,None,-48009000,None,64138000,None,161788000
2018-12-31,264013000,253843000,None,-43526000,-120534000,17359000,14284000,-78204000,15260000,-83799000,-20301000,-159758000,5000000,98897000,98897000,None,70061000,70061000,None,None,None,None,-94036000,None,80814000,-3140000,187150000
2018-09-30,220413000,1843000,None,39262000,64520000,9201000,19504000,53632000,4841000,175895000,-19563000,-204328000,-66000000,82597000,82597000,None,64599000,64599000,None,None,None,None,-72019000,None,-12774000,-9296000,175895000
2018-06-30,107900000,1278000,None,101748000,237898000,9196000,14620000,204564000,-2620000,159163000,-16755000,-120415000,-585000000,71797000,71797000,None,65177000,65177000,None,None,None,None,-60448000,None,-39207000,-9937000,159163000
2018-03-31,200570000,6224000,None,13986000,2636000,9399000,15463000,10056000,40228000,142297000,-16189000,-170676000,-64000000,47700000,47700000,None,65382000,65382000,None,None,None,None,-23203000,None,15892000,2187000,142297000
2017-12-31,165652000,288824000,None,3407000,13630000,15942000,11527000,-13099000,-508000,210876000,-12874000,-110902000,-4000000,55494000,55494000,None,65457000,65457000,None,None,None,None,-40634000,None,36583000,-5293000,152556000
2017-09-30,68338000,1325000,None,39794000,123479000,9157000,13448000,132598000,1844000,119186000,-58815000,5880000,127000000,59497000,59497000,None,63959000,63959000,None,None,None,None,-56041000,None,24125000,8722000,119186000
2017-06-30,57315000,1239000,None,71926000,153075000,8843000,16250000,149478000,-34111000,111071000,-17401000,-384000,-148000000,41495000,41495000,None,64209000,64209000,None,None,None,None,-37504000,None,43388000,3858000,111071000
2017-03-31,92696000,9344000,None,45425000,102269000,8874000,16720000,95204000,30039000,122080000,-18444000,-96728000,0,28999000,28999000,None,64597000,64597000,None,None,None,None,-13176000,None,-17872000,4604000,122080000
2016-12-31,152580000,280888000,None,35238000,30769000,17930000,20326000,35398000,10998000,193565000,-20939000,-99076000,15000000,63840000,63840000,None,54301000,54301000,None,None,None,None,-60572000,None,23217000,-9348000,122303000
2016-09-30,129567000,2103000,None,10462000,38043000,6094000,27135000,43783000,-34211000,129028000,-247668000,135441000,260000000,63837000,63837000,None,63609000,63609000,None,None,None,None,-59966000,None,17366000,26000,129028000
2016-06-30,143111000,1277000,None,116960000,149628000,6095000,26151000,136325000,6244000,143090000,-25786000,-87075000,-5000000,23999000,23999000,None,63632000,63632000,None,None,None,None,-18857000,None,27677000,-2573000,143090000
2016-03-31,104150000,13827000,None,-97399000,-34917000,6093000,17825000,-42295000,2437000,118963000,-18595000,-76590000,20000000,21249000,21249000,None,63888000,63888000,None,None,None,None,-14259000,None,11177000,2212000,118963000
2015-12-31,253893000,None,None,-54856000,-153347000,16896000,11831000,-146611000,5407000,214579000,-14450000,-209532000,-80000000,68748000,68748000,None,64167000,64167000,None,None,None,None,-66227000,None,25142000,-4769000,126583000
2015-09-30,213247000,None,None,-13331000,-61455000,16831000,13206000,-48612000,5536000,139432000,-10997000,-224477000,-100000000,71192000,71192000,None,56931000,56931000,None,None,None,None,-68014000,None,-28364000,-6137000,139432000
2015-06-30,150801000,None,None,46532000,67926000,16439000,12939000,60064000,-29099000,137208000,-13040000,-105899000,0,51993000,51993000,None,57182000,57182000,None,None,None,None,-49049000,None,35668000,3806000,137208000
2015-03-31,100395000,None,None,-3703000,38803000,16243000,6666000,27599000,27262000,106476000,-15959000,-67833000,25000000,37930000,37930000,None,57335000,57335000,None,None,None,None,-31016000,None,6843000,-9760000,106476000
2014-12-31,208104000,None,None,-8362000,-80353000,13567000,4366000,-69868000,11709000,187728000,-364188000,164857000,260000000,38878000,38878000,None,57418000,57418000,None,None,None,None,-36749000,None,1224000,-7549000,112947000
