fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,577000000,1265000000,None,5000000,-43000000,416000000,8000000,None,None,1183000000,-370000000,-199000000,None,0,0,None,116000000,116000000,None,None,None,None,2000000,None,None,None,1183000000
2023-09-30,650000000,1058000000,None,229000000,-31000000,373000000,2000000,None,None,-99000000,-318000000,-181000000,0,1000000,1000000,None,115000000,115000000,None,None,None,None,0,None,None,None,-99000000
2023-06-30,575000000,1081000000,None,637000000,14000000,357000000,4000000,None,None,534000000,-558000000,-224000000,0,41000000,41000000,None,117000000,117000000,None,None,None,None,-40000000,None,-207000000,None,534000000
2023-03-31,250000000,1047000000,None,398000000,128000000,348000000,4000000,None,None,225000000,-362000000,-197000000,0,25000000,25000000,None,106000000,106000000,None,None,None,None,-20000000,None,-309000000,None,225000000
2022-12-31,631000000,1161000000,None,288000000,-94000000,401000000,3000000,None,None,1013000000,-287000000,-163000000,0,11000000,11000000,None,107000000,107000000,None,None,None,None,-9000000,None,None,None,1014000000
2022-09-30,666000000,948000000,None,426000000,-35000000,354000000,4000000,None,None,-418000000,-322000000,-359000000,0,203000000,203000000,None,108000000,108000000,None,None,None,None,-201000000,None,None,None,-416000000
2022-06-30,557000000,892000000,None,733000000,61000000,328000000,4000000,6000000,None,-808000000,-162000000,-284000000,0,151000000,151000000,None,109000000,109000000,None,None,None,None,-149000000,None,111000000,None,-818000000
2022-03-31,198000000,890000000,None,231000000,176000000,311000000,4000000,-3000000,None,-273000000,-162000000,-188000000,0,45000000,45000000,None,99000000,99000000,None,None,None,None,-41000000,None,-152000000,None,-266000000
2021-12-31,463000000,1152000000,None,-2000000,-36000000,361000000,3000000,-2000000,None,1470000000,-166000000,-243000000,0,104000000,104000000,None,100000000,100000000,None,None,None,None,-101000000,None,54000000,None,1470000000
2021-09-30,601000000,765000000,None,291000000,23000000,312000000,3000000,-4000000,None,153000000,-365000000,-154000000,0,12000000,12000000,None,100000000,100000000,None,None,None,None,-10000000,None,-612000000,None,153000000
2021-06-30,563000000,767000000,None,448000000,16000000,295000000,4000000,-4000000,None,703000000,-373000000,-134000000,0,0,0,None,100000000,100000000,None,None,None,None,4000000,None,-64000000,None,703000000
2021-03-31,354000000,705000000,None,360000000,114000000,277000000,5000000,2000000,None,620000000,-153000000,-154000000,0,28000000,28000000,None,95000000,95000000,None,None,None,None,-24000000,None,47000000,None,620000000
2020-12-31,372000000,961000000,None,-14000000,-18000000,327000000,4000000,-5000000,None,1316000000,-148000000,-238000000,0,5000000,5000000,None,95000000,95000000,None,None,None,None,-10000000,None,1316000000,None,1049000000
2020-09-30,505000000,779000000,None,247000000,-54000000,286000000,6000000,None,None,484000000,-170000000,-127000000,0,0,0,None,95000000,95000000,None,None,None,None,1000000,None,-295000000,None,484000000
2020-06-30,447000000,751000000,None,552000000,60000000,276000000,6000000,-7000000,None,909000000,-106000000,-121000000,0,0,0,None,95000000,95000000,None,None,None,None,0,None,158000000,None,909000000
2020-03-31,167000000,817000000,None,97000000,36000000,265000000,4000000,9000000,None,-1226000000,-136000000,-312000000,0,256000000,256000000,None,90000000,90000000,None,None,None,None,-252000000,None,-281000000,None,-1226000000
2019-12-31,328000000,884000000,None,35000000,-3000000,301000000,2000000,-8000000,None,781000000,-153000000,-195000000,0,62000000,62000000,None,90000000,90000000,None,None,None,None,-60000000,None,-20000000,None,626000000
2019-09-30,404000000,830000000,None,47000000,-101000000,270000000,9000000,5000000,None,248000000,-310000000,-110000000,0,5000000,5000000,None,90000000,90000000,None,None,None,None,-3000000,None,-16000000,None,248000000
2019-06-30,276000000,798000000,None,85000000,213000000,251000000,8000000,-2000000,None,428000000,-160000000,-115000000,0,0,0,None,90000000,90000000,None,None,None,None,4000000,None,1000000,None,428000000
2019-03-31,200000000,824000000,94000000,-93000000,-4000000,246000000,5000000,4000000,None,695000000,-56000000,-126000000,0,0,0,None,85000000,85000000,None,None,None,None,3000000,None,18000000,None,695000000
2018-12-31,355000000,864000000,None,37000000,-54000000,276000000,6000000,-3000000,None,-581000000,-71000000,-116000000,0,0,0,None,85000000,85000000,None,None,None,None,2000000,None,168000000,None,-452000000
2018-09-30,362000000,705000000,None,48000000,113000000,231000000,5000000,1000000,None,553000000,-115000000,-152000000,0,0,0,None,85000000,85000000,None,None,None,None,2000000,None,95000000,None,553000000
2018-06-30,310000000,695000000,None,52000000,142000000,236000000,6000000,-6000000,None,217000000,-211000000,-182000000,0,110000000,110000000,None,86000000,86000000,None,None,None,None,-109000000,None,-83000000,None,217000000
2018-03-31,154000000,714000000,0,-137000000,-2000000,234000000,3000000,10000000,None,-31000000,-54000000,-153000000,0,15000000,15000000,None,80000000,80000000,None,None,None,None,-11000000,None,-53000000,None,-31000000
2017-12-31,306000000,822000000,None,70000000,-143000000,261000000,2000000,None,None,197000000,-99000000,-224000000,53000000,22000000,22000000,None,161000000,161000000,None,None,None,None,-19000000,None,-17000000,None,642000000
2017-09-30,301000000,725000000,None,36000000,-35000000,237000000,5000000,2000000,None,102000000,-126000000,-107000000,0,0,0,None,81000000,81000000,None,None,None,None,2000000,None,68000000,None,102000000
2017-06-30,309000000,695000000,None,57000000,79000000,229000000,7000000,-7000000,None,100000000,-87000000,-159000000,0,55000000,55000000,None,81000000,81000000,None,None,None,None,-53000000,None,63000000,None,100000000
2017-03-31,136000000,694000000,None,-139000000,-2000000,214000000,2000000,11000000,None,201000000,-246000000,-124000000,-3000000,15000000,15000000,None,77000000,77000000,None,None,None,None,-9000000,None,-234000000,None,201000000
2016-12-31,280000000,896000000,None,50000000,1000000,-1481000000,4000000,-13000000,None,128000000,-70000000,-133000000,65000000,37000000,37000000,None,77000000,77000000,None,None,None,None,-33000000,None,77000000,None,100000000
2016-09-30,336000000,662000000,None,44000000,-49000000,222000000,2000000,5000000,None,180000000,-79000000,-104000000,-8000000,0,0,None,78000000,78000000,None,None,None,None,4000000,None,153000000,None,180000000
2016-06-30,234000000,629000000,None,57000000,205000000,214000000,4000000,-5000000,None,123000000,-199000000,-101000000,0,2000000,2000000,None,77000000,77000000,None,None,None,None,2000000,None,-66000000,None,123000000
2016-03-31,265000000,562000000,None,-90000000,-38000000,212000000,3000000,8000000,None,188000000,-108000000,-88000000,0,0,0,None,74000000,74000000,None,None,None,None,9000000,None,69000000,None,188000000
2015-12-31,320000000,700000000,None,66000000,-1000000,-1413000000,3000000,-10000000,None,216000000,-4000000,-191000000,64000000,12000000,12000000,None,148000000,148000000,None,None,None,None,-2000000,None,125000000,None,156000000
2015-09-30,285000000,604000000,None,57000000,17000000,207000000,2000000,3000000,None,174000000,-231000000,-122000000,0,21000000,21000000,None,73000000,73000000,None,None,None,None,-18000000,None,-68000000,None,174000000
2015-06-30,255000000,598000000,None,32000000,14000000,204000000,4000000,1000000,None,176000000,-301000000,-107000000,0,20000000,20000000,None,74000000,74000000,None,None,None,None,-16000000,None,-153000000,None,176000000
2015-03-31,215000000,557000000,None,-100000000,-152000000,209000000,1000000,None,None,128000000,-88000000,-78000000,0,0,0,None,71000000,71000000,None,None,None,None,7000000,None,49000000,None,128000000
2014-12-31,240000000,710000000,None,19000000,-60000000,13000000,3000000,-4000000,None,236000000,20000000,-81000000,105000000,0,0,None,70000000,70000000,None,None,None,None,8000000,None,179000000,None,167000000
2014-09-30,282000000,639000000,None,42000000,-51000000,13000000,1000000,-3000000,None,183000000,-234000000,-98000000,-55000000,14000000,14000000,None,70000000,70000000,None,None,None,None,-11000000,None,-50000000,None,183000000
2014-06-30,222000000,615000000,None,30000000,0,12000000,2000000,None,None,84000000,-136000000,-145000000,-55000000,0,0,None,71000000,71000000,None,None,None,None,3000000,None,-59000000,None,84000000
2014-03-31,129000000,16000000,None,-102000000,-22000000,13000000,3000000,5000000,None,91000000,39000000,-80000000,None,7000000,7000000,None,67000000,67000000,None,None,None,None,1000000,None,88000000,None,91000000
2013-12-31,258000000,85000000,None,62000000,-42000000,20000000,2000000,-5000000,None,167000000,-189000000,-147000000,None,52000000,52000000,None,68000000,68000000,None,None,None,None,-44000000,None,-78000000,None,122000000
2013-09-30,287000000,562000000,None,54000000,-18000000,10000000,2000000,None,None,131000000,-90000000,-68000000,None,0,0,None,65000000,65000000,None,None,None,None,5000000,None,129000000,None,131000000
2013-06-30,194000000,116000000,None,49000000,51000000,11000000,2000000,1000000,None,110000000,-128000000,-64000000,None,0,0,None,65000000,65000000,None,None,None,None,6000000,None,2000000,None,110000000
2013-03-31,57000000,69000000,None,-88000000,79000000,-177000000,1000000,-2000000,None,154000000,-102000000,-62000000,None,0,0,None,65000000,65000000,None,None,None,None,6000000,None,-107000000,None,154000000
2012-12-31,205000000,47000000,None,45000000,78000000,-164000000,1000000,1000000,None,273000000,-47000000,-87000000,None,0,0,None,65000000,65000000,None,None,None,None,4000000,None,71000000,None,192000000
2012-09-30,168000000,4000000,None,26000000,52000000,-185000000,1000000,2000000,None,111000000,47000000,-62000000,None,0,0,None,63000000,63000000,None,None,None,None,3000000,None,153000000,None,111000000
2012-06-30,117000000,46000000,None,17000000,29000000,-191000000,2000000,-2000000,None,32000000,-204000000,-74000000,None,0,0,None,64000000,64000000,None,None,None,None,2000000,None,-161000000,None,32000000
2012-03-31,148000000,0,None,-10000000,-7000000,-164000000,2000000,3000000,None,86000000,-100000000,-62000000,None,0,0,None,64000000,64000000,None,None,None,None,1000000,None,-14000000,None,86000000
2011-12-31,99000000,24000000,None,0,41000000,-131000000,-5000000,None,None,186000000,63000000,-32000000,None,2000000,2000000,None,64000000,64000000,None,None,None,None,-1000000,None,130000000,None,134000000
2011-09-30,144000000,-2000000,None,17000000,-51000000,-181000000,8000000,3000000,None,19000000,-97000000,-52000000,None,None,None,None,64000000,64000000,None,None,None,None,-31000000,None,-5000000,None,19000000
2011-06-30,-53000000,81000000,None,4000000,35000000,-175000000,2000000,-3000000,None,-49000000,56000000,-69000000,None,None,None,None,63000000,63000000,None,None,None,None,1000000,None,-66000000,None,-50000000
2011-03-31,57000000,1000000,None,-70000000,-13000000,-150000000,2000000,2000000,None,62000000,-30000000,-33000000,None,None,None,None,64000000,64000000,None,None,None,None,None,None,-6000000,None,61000000
2010-12-31,114000000,80000000,None,9000000,71000000,-107000000,3000000,None,None,126000000,-127000000,-47000000,None,None,None,None,63000000,63000000,None,None,None,None,None,None,-60000000,None,124000000
2010-09-30,164000000,1000000,None,-15000000,-159000000,-184000000,3000000,None,None,156000000,13000000,-57000000,None,None,None,None,63000000,63000000,None,None,None,None,None,None,120000000,None,156000000
2010-06-30,143000000,None,None,17000000,None,-171000000,3000000,None,None,27000000,-176000000,-44000000,None,None,None,None,63000000,63000000,None,None,None,None,None,None,-77000000,None,27000000
