fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,153000000,2000000,None,-25000000,34000000,57000000,52000000,93000000,-57000000,96000000,-33000000,-259000000,-103000000,0,0,None,149000000,149000000,None,None,None,None,0,None,None,None,93000000
2023-09-30,20000000,21000000,None,-138000000,-72000000,61000000,24000000,-108000000,14000000,25000000,-23000000,155000000,298000000,0,0,None,149000000,149000000,None,None,0,None,0,None,None,None,22000000
2023-06-30,430000000,206000000,None,79000000,-47000000,62000000,84000000,12000000,-45000000,181000000,-81000000,-227000000,-89000000,0,0,None,161000000,146000000,None,None,0,None,0,None,122000000,None,176000000
2023-03-31,341000000,14000000,None,132000000,67000000,60000000,56000000,79000000,-4000000,-209000000,-55000000,-211000000,-71000000,0,0,None,146000000,146000000,None,None,0,None,0,None,75000000,None,-211000000
2022-12-31,209000000,11000000,None,-26000000,-37000000,58000000,42000000,-15000000,-15000000,102000000,-42000000,-280000000,-139000000,0,0,None,146000000,146000000,None,None,0,None,0,None,-113000000,None,99000000
2022-09-30,178000000,0,None,-28000000,-27000000,56000000,46000000,-63000000,6000000,87000000,-45000000,-35000000,111000000,0,0,None,145000000,145000000,None,None,0,None,0,None,98000000,None,85000000
2022-06-30,335000000,None,None,46000000,-21000000,57000000,79000000,28000000,-35000000,104000000,-62000000,-326000000,-158000000,0,0,None,153000000,143000000,None,None,0,None,35000000,None,-53000000,None,101000000
2022-03-31,229000000,None,None,37000000,64000000,57000000,63000000,87000000,-19000000,152000000,-55000000,-128000000,12000000,0,0,None,143000000,143000000,None,None,0,None,0,None,152000000,None,150000000
2021-12-31,181000000,None,None,-34000000,-61000000,55000000,57000000,-84000000,35000000,72000000,-56000000,-143000000,297000000,0,0,None,148000000,143000000,None,None,0,None,0,None,72000000,None,69000000
2021-09-30,41000000,None,None,-96000000,104000000,55000000,52000000,53000000,37000000,143000000,-56000000,-92000000,86000000,25000000,25000000,None,142000000,142000000,None,None,0,None,-25000000,None,-107000000,None,142000000
