fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-02-29,657110000,13256000,None,74188000,3496000,40000000,107031000,-11841000,-23741000,397579000,-221083000,-393660000,-420000000,45018000,45018000,None,137471000,137471000,None,None,None,None,-44672000,None,None,None,397579000
2023-11-30,392686000,12625000,None,21037000,72440000,39400000,93830000,76989000,-23552000,374613000,-112359000,-283435000,420000000,349852000,349852000,None,138274000,138274000,None,None,None,None,-349402000,None,None,None,374613000
2023-08-31,336945000,12696000,None,-36509000,103509000,106812000,106697000,43892000,-8541000,385085000,-169836000,-202375000,0,73276000,73276000,None,117565000,117565000,None,None,0,None,-72797000,None,None,None,385085000
2023-05-31,553623000,124333000,None,43976000,8492000,105080000,106993000,19298000,-24905000,346201000,-120061000,-398243000,-957200000,27948000,27948000,None,117496000,117496000,None,None,0,None,-27868000,None,35319000,None,346201000
2023-02-28,425042000,11995000,None,22638000,43747000,37800000,77712000,-1424000,17297000,325827000,-97187000,-328225000,186754000,22235000,22235000,None,117404000,117404000,None,None,0,None,-21419000,None,-370000,None,325827000
2022-11-30,320993000,12500000,None,35493000,113445000,37300000,76388000,54500000,40790000,324293000,-84829000,-220169000,-143954000,28348000,28348000,None,117362000,117362000,None,None,0,None,-27270000,None,15995000,None,324293000
2022-08-31,298156000,12608000,None,-7424000,130685000,100046000,70016000,79397000,2476000,351689000,-86595000,-226199000,392000000,320334000,320334000,None,97655000,97655000,None,None,0,None,-319287000,None,-14638000,None,351689000
2022-05-31,550570000,110456000,None,25005000,-71041000,102378000,74821000,1169000,-13883000,294461000,-86324000,-459369000,-857210000,304032000,304032000,None,98197000,98197000,None,None,0,None,-303931000,None,4877000,None,294461000
2022-02-28,393273000,12622000,None,-12430000,49736000,38000000,57222000,21880000,11095000,315448000,-164716000,-258698000,951410000,557115000,557115000,None,98973000,98973000,None,None,0,None,-548677000,None,315448000,None,315448000
2021-11-30,331641000,12388000,None,51495000,55381000,36900000,59881000,49601000,1580000,294669000,-67274000,-229792000,167000000,5491000,5491000,None,98814000,98814000,None,None,0,None,30811000,None,461669000,None,294669000
2021-08-31,262141000,11913000,None,-50614000,26593000,97949000,48748000,27742000,-14986000,331179000,-84321000,-590084000,652000000,659235000,659235000,None,79135000,79135000,None,None,0,None,-586339000,None,-412264000,None,331179000
2021-05-31,455925000,110991000,None,-13095000,-47167000,98130000,43060000,-30602000,-48177000,267722000,-48551000,-469773000,0,399631000,399631000,None,79509000,79509000,None,None,0,None,-389723000,None,-62399000,None,267722000
2021-02-28,331851000,12089000,None,-60042000,54851000,35600000,42751000,23286000,-1271000,258384000,-37422000,-444556000,0,83108000,83108000,None,371818000,371818000,None,None,0,None,-70589000,None,258384000,None,258384000
2020-11-30,260672000,12311000,None,57737000,123416000,35400000,26783000,47010000,47005000,284857000,-11300000,32218000,0,2371000,2371000,None,371818000,0,None,None,0,None,33036000,None,284857000,None,284857000
2020-08-31,312292000,12254000,None,6061000,121819000,96179000,30876000,-7118000,77944000,300005000,-39942000,2243000,0,69011000,69011000,None,371818000,0,None,None,0,None,3112000,None,274593000,None,300005000
2020-05-31,356934000,118024000,None,34838000,22521000,96560000,40910000,-70816000,56993000,707820000,-48918000,-394915000,0,203191000,203191000,None,-86000,-86000,None,None,0,None,-194219000,None,707820000,None,144585000
2020-02-29,363198000,13365000,None,7525000,26952000,35700000,63212000,-6805000,4378000,234520000,-104807000,-250300000,0,2586000,2586000,None,268042000,268042000,None,None,0,None,15760000,None,234520000,None,234520000
2019-11-30,294450000,12585000,None,20897000,69739000,35300000,61424000,31304000,11676000,246550000,-53534000,-116385000,-139000000,1911000,1911000,None,None,None,None,None,0,None,23375000,None,246550000,None,246120000
2019-08-31,276901000,12342000,None,-10725000,42380000,91994000,64743000,6636000,1726000,250812000,-78139000,-193607000,26500000,256830000,256830000,None,268042000,268042000,None,None,0,None,-218915000,None,5155000,None,250812000
2019-05-31,397145000,None,None,39493000,32152000,93764000,68914000,33816000,-10677000,823565000,-72624000,-308007000,7500000,408076000,408076000,None,4000,4000,None,None,0,None,-396979000,None,823565000,None,226119000
2019-02-28,326150000,None,None,20970000,13953000,33700000,70191000,-24646000,17489000,200151000,-76374000,-257919000,44000000,100095000,100095000,None,220760000,220760000,None,None,0,None,-78433000,None,-7620000,523000,203334000
2018-11-30,181582000,None,None,10608000,90321000,33300000,73086000,70697000,18598000,242988000,-15855000,-194871000,173500000,368661000,368661000,None,220760000,220760000,None,None,0,None,-363561000,None,-29877000,-733000,243013000
2018-08-31,162985000,None,None,-27885000,87588000,86295000,64528000,15051000,34629000,212557000,-70785000,-112508000,0,139468000,139468000,None,220760000,220760000,None,None,0,None,-111956000,None,-20368000,-60000,212515000
2018-05-31,303296000,None,None,67326000,30023000,74514000,75659000,26221000,7334000,752338000,-45715000,-271850000,-324500000,90269000,90269000,None,0,0,None,None,0,None,-84259000,None,752338000,430000,186171000
2018-02-28,281855000,None,None,21063000,175772000,15700000,63574000,15246000,-1416000,301946000,-83765000,-282769000,324500000,1353000,1353000,None,175589000,175589000,None,None,0,None,5927000,None,-83439000,1240000,302095000
2017-11-30,124643000,None,None,-12112000,10671000,15600000,69949000,33755000,-8422000,138361000,-78840000,1912000,-7500000,657000,657000,None,None,None,None,None,0,None,10645000,None,44588000,-3127000,137109000
2017-08-31,254366000,None,None,1466000,-12055000,68509000,62517000,-8955000,5827000,319919000,72622000,-311433000,-43000000,35040000,35040000,None,175589000,None,None,None,0,None,-17784000,None,22148000,6593000,217211000
2017-05-31,280129000,None,None,3766000,-747000,64881000,54696000,64911000,-22696000,678726000,-2144874000,1886136000,-49000000,670000,670000,None,-11000,-11000,None,None,1932229000,None,6086000,None,678726000,631000,84235000
2017-02-28,182037000,None,None,-1126000,1548000,3600000,63448000,-16274000,8748000,117549000,-73430000,-104562000,33500000,824000,824000,None,142444000,142444000,None,None,0,None,5065000,None,3671000,-374000,118005000
2016-11-30,144133000,None,None,16781000,25673000,3600000,76593000,21974000,1599000,114501000,8561000,-106044000,-97800000,360000,360000,None,None,None,None,None,0,None,2583000,None,44364000,-2286000,140377000
2016-08-31,157588000,None,None,-6196000,39648000,43168000,78580000,22946000,13017000,138091000,-100606000,-97028000,163800000,18870000,18870000,None,142444000,None,None,None,0,None,-2588000,None,-40148000,-102000,138091000
2016-05-31,168691000,None,None,3081000,-10706000,42608000,67883000,11239000,-6092000,553718000,-73397000,-272409000,None,277712000,277712000,None,0,0,None,None,0,None,-271746000,None,-175759000,1356000,130898000
2016-02-29,32117000,None,None,-1340000,-18399000,4400000,85685000,2105000,4168000,118020000,-111490000,-210096000,None,100146000,100146000,None,115273000,115273000,None,None,0,None,-95330000,None,-770498000,-2200000,117341000
2015-11-30,121954000,None,None,31131000,132295000,4200000,59186000,20163000,11732000,-30942000,515130000,-174500000,None,180695000,180695000,None,None,None,None,None,0,None,-175095000,None,547315000,-2659000,345100000
2015-08-31,143083000,None,None,-10722000,27756000,39768000,62631000,19255000,8109000,99944000,-201862000,-209719000,None,221598000,221598000,None,None,None,None,None,0,None,-209754000,None,-366735000,-1715000,100181000
2015-05-31,202630000,None,None,31395000,-13985000,36555000,54680000,-1725000,-8415000,485660000,88063000,-230610000,None,237322000,237322000,None,-50000,-50000,None,None,0,None,-229048000,None,-245559000,-1330000,105215000
2015-02-28,-323282000,None,None,-84536000,-16197000,3400000,50015000,-9579000,-523000,100354000,-109259000,-442243000,None,251075000,251075000,None,201941000,201941000,None,None,0,None,-241591000,None,100354000,-1975000,94883000
2014-11-30,91554000,None,None,43703000,-4001000,3500000,44975000,20969000,-13470000,91554000,105002000,1491000,None,2134000,2134000,None,None,None,None,None,0,None,6715000,None,91554000,-5594000,120412000
2014-08-31,372817000,None,None,9059000,-5823000,39654000,68050000,-8222000,-1377000,109791000,-38819000,-41198000,None,61439000,61439000,None,16310000,16310000,None,None,0,None,-47816000,None,360946000,-19000,110108000
2014-05-31,220196000,None,None,86695000,17424000,2004000,31965000,22207000,-5068000,127224000,146605000,-203574000,None,206137000,206137000,None,6000,6000,None,None,0,None,-193521000,None,167843000,1202000,127224000
2014-02-28,90402000,None,None,5816000,17283000,5800000,36830000,10269000,6898000,84602000,-40621000,-81758000,None,262000,262000,None,93314000,93314000,None,None,0,None,7713000,None,90402000,-1589000,84602000
2013-11-30,90762000,None,None,16472000,7386000,5900000,39323000,8852000,3974000,84862000,-53523000,-55470000,None,57223000,57223000,None,None,None,None,None,0,None,-49997000,None,90762000,-64000,84862000
2013-08-31,82559000,None,None,-24300000,27377000,48394000,37462000,14903000,5258000,77754000,-67004000,-88933000,None,106977000,106977000,None,None,None,None,None,0,None,-92892000,None,-147206000,-225000,77754000
2013-05-31,467215000,None,None,79103000,-1968000,38783000,44687000,1302000,-6560000,85977000,-29348000,-19537000,None,28605000,28605000,None,79744000,79744000,None,None,0,None,-20954000,None,467215000,-717000,85977000
2013-02-28,74705000,None,None,-8762000,27686000,5900000,52737000,16874000,11023000,74705000,-63254000,-101915000,None,27901000,27901000,None,79744000,79744000,None,None,0,None,-23102000,None,74705000,-928000,74705000
2012-11-30,78027000,None,None,-2323000,6639000,5900000,51624000,17400000,-5571000,78027000,-130338000,-79127000,None,81222000,81222000,None,None,None,None,None,0,None,-79984000,None,78027000,337000,78027000
2012-08-31,94865000,None,None,-11122000,2631000,46442000,47438000,7128000,-9889000,76733000,-61241000,-55479000,None,77953000,77953000,None,None,None,None,None,250000000,None,-76834000,None,-41216000,1247000,76733000
2012-05-31,436468000,None,None,-48627000,-16608000,49079000,43086000,12501000,-24628000,78614000,88900000,-127603000,None,129646000,129646000,None,70820000,70820000,None,None,0,None,-126661000,None,436468000,-1603000,78614000
2012-02-29,76035000,None,None,-12450000,-20551000,48060000,37884000,-9090000,-12310000,76035000,-51218000,-70919000,None,0,0,None,70820000,70820000,None,None,0,None,278000,None,76035000,592000,76035000
2011-11-30,74350000,None,None,47679000,18351000,48516000,35411000,10708000,8498000,74350000,-59640000,104000,None,43000,43000,None,None,None,None,None,0,None,35000,None,74350000,-2400000,74350000
2011-08-31,56562000,None,None,-19530000,46895000,48510000,44421000,10142000,30770000,68638000,-82336000,-262157000,None,262639000,262639000,None,None,None,None,None,0,None,-262639000,None,-575588000,137000,68638000
2011-05-31,132931000,None,None,55397000,30568000,49175000,40294000,16142000,17204000,70776000,-109638000,232032000,None,240476000,240476000,None,71812000,71812000,None,None,697500000,None,-240476000,None,253375000,-1950000,70776000
2011-02-28,98726000,None,None,-23388000,25744000,48547000,54164000,5070000,22782000,59070000,-127975000,-51549000,None,7000,7000,None,71812000,71812000,None,None,303000000,None,-7000,None,-76222000,4576000,59070000
2010-11-30,73931000,None,None,22629000,31671000,47954000,39934000,14027000,24039000,55866000,-33431000,-72760000,None,71871000,71871000,None,None,None,None,None,239000,None,-71871000,None,-29693000,2567000,55866000
2010-08-31,35298000,None,None,-12930000,39467000,47791000,48200000,13747000,14799000,61277000,-27549000,-127761000,None,131336000,131336000,None,None,None,None,None,1542000,None,-131336000,None,-120635000,-623000,61277000
2010-05-31,136465000,None,None,None,None,38225000,32150000,None,1607000,55478000,-55275000,-74691000,None,9000,None,None,73960000,73960000,None,None,None,None,-9000,None,4778000,-1721000,55478000
2010-02-28,135014000,None,None,None,None,37935000,30836000,None,2974000,48982000,-71459000,179000,None,1000,None,None,None,None,None,None,None,None,-1000,None,64489000,755000,48982000
2009-11-30,149281000,None,None,None,None,37350000,23273000,None,-17898000,57176000,-34112000,-1375000,None,0,None,None,None,None,None,None,None,None,None,None,114703000,909000,57176000
2009-08-31,144894000,None,None,None,None,38549000,24819000,None,-16976000,53984000,-46736000,-622000,None,959000,None,None,None,None,None,None,None,None,-959000,None,97566000,30000,53984000
