fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,12434000000,4790000000,None,-1816000000,-3049000000,6254000000,4361000000,-2191000000,-816000000,2243000000,-4071000000,-6167000000,168000000,3421000000,3421000000,None,2849000000,2809000000,None,None,None,None,-3397000000,None,None,None,2259000000
2023-09-30,9673000000,2001000000,None,2762000000,2214000000,4025000000,4673000000,2192000000,185000000,6555000000,-4410000000,-8621000000,71000000,3390000000,3390000000,None,2852000000,2852000000,None,None,0,None,-3334000000,None,None,None,6526000000
2023-06-30,6297000000,5222000000,None,-2330000000,822000000,3521000000,3757000000,156000000,-34000000,6008000000,-3944000000,-8748000000,-17000000,4375000000,4375000000,None,2818000000,2818000000,None,None,0,None,-4340000000,None,-6395000000,None,6010000000
2023-03-31,7205000000,2274000000,None,-1466000000,498000000,3526000000,3038000000,-1494000000,985000000,6605000000,-2807000000,-6573000000,-87000000,3753000000,3753000000,None,2857000000,2857000000,None,None,0,None,-3607000000,None,-2175000000,None,6574000000
2022-12-31,12498000000,4627000000,None,-2651000000,-3525000000,4764000000,3835000000,-2143000000,-1240000000,6378000000,-3712000000,-6449000000,-15000000,3750000000,3750000000,None,2827000000,2713000000,None,None,0,None,-3417000000,None,2337000000,None,6353000000
2022-09-30,15267000000,2741000000,None,-1239000000,-2903000000,4201000000,2995000000,-4266000000,1381000000,11238000000,-2767000000,-9025000000,242000000,3750000000,3750000000,None,2743000000,2743000000,None,None,0,None,-3697000000,None,-1869000000,None,11231000000
2022-06-30,13782000000,3910000000,None,5051000000,4616000000,3700000000,3184000000,3370000000,567000000,11715000000,-4964000000,-8138000000,-25000000,2500000000,2500000000,None,2766000000,2766000000,None,None,0,None,-1689000000,None,None,None,11622000000
2022-03-31,8055000000,1627000000,None,4437000000,5344000000,3654000000,1960000000,5203000000,222000000,6277000000,-665000000,-1366000000,61000000,1255000000,1255000000,None,2746000000,2746000000,None,None,0,None,3386000000,None,6024000000,None,6259000000
2021-12-31,9458000000,3616000000,None,2018000000,2019000000,4813000000,2606000000,1802000000,177000000,5082000000,-1389000000,-8290000000,-1945000000,750000000,750000000,None,2603000000,2567000000,None,None,0,None,283000000,None,-221000000,None,5055000000
2021-09-30,8579000000,1592000000,None,515000000,1048000000,4304000000,1907000000,1022000000,-118000000,6115000000,-1341000000,-8825000000,-5575000000,625000000,625000000,None,2545000000,2571000000,None,None,0,None,-618000000,None,10419000000,None,6111000000
2021-06-30,6954000000,1940000000,None,2189000000,2397000000,4522000000,1797000000,1891000000,522000000,3094000000,-1572000000,-4945000000,711000000,2000000,2000000,None,2588000000,2573000000,None,None,0,None,106000000,None,7616000000,None,3082000000
2021-03-31,4196000000,1348000000,None,1976000000,2894000000,4286000000,1746000000,2812000000,-51000000,1398000000,-1563000000,-1053000000,1237000000,6000000,6000000,None,2479000000,2468000000,None,None,0,None,267000000,None,1580000000,None,1377000000
2020-12-31,2238000000,3015000000,None,183000000,1705000000,4486000000,2067000000,966000000,-83000000,-656000000,-690000000,-2685000000,1257000000,6000000,6000000,None,2479000000,2465000000,None,None,71000000,None,14000000,None,-1137000000,None,-665000000
2020-09-30,3537000000,965000000,None,1450000000,1099000000,4017000000,1630000000,1133000000,170000000,-209000000,-1827000000,-1696000000,-3177000000,0,0,None,2390000000,2390000000,None,None,3987000000,None,5000000,None,3808000000,None,-207000000
2020-06-30,80000000,1753000000,None,-2436000000,-2903000000,6717000000,2092000000,-1593000000,-1104000000,-8277000000,-1290000000,-733000000,-5596000000,0,0,None,2399000000,2394000000,None,None,8250000000,None,23000000,None,-1560000000,None,-8270000000
2020-03-31,4722000000,1341000000,None,-3469000000,-2569000000,4288000000,3133000000,-3225000000,733000000,3581000000,-3158000000,1378000000,8167000000,1751000000,1751000000,None,2407000000,2402000000,None,None,0,None,-1573000000,None,2942000000,None,3599000000
2019-12-31,5657000000,2110000000,None,780000000,261000000,16429000000,4210000000,326000000,-27000000,-6667000000,-2622000000,-9271000000,-4794000000,1250000000,1250000000,None,2230000000,2228000000,None,None,0,None,-1090000000,None,-6236000000,None,-6610000000
2019-09-30,7817000000,1993000000,None,-814000000,-2366000000,4361000000,3369000000,-1537000000,-858000000,2580000000,-3568000000,-1093000000,2162000000,1250000000,1250000000,None,2245000000,2237000000,None,None,0,None,-1005000000,None,6941000000,None,2580000000
2019-06-30,8783000000,3157000000,None,-90000000,-1152000000,4334000000,3584000000,-604000000,-220000000,4290000000,-3240000000,-5559000000,-1125000000,1001000000,1001000000,None,2252000000,2250000000,None,None,0,None,-825000000,None,8624000000,None,4305000000
2019-03-31,5057000000,1316000000,None,82000000,1288000000,4094000000,2953000000,-539000000,1098000000,2642000000,-2028000000,-3835000000,936000000,538000000,538000000,None,2250000000,2244000000,None,None,0,None,-15000000,None,-806000000,None,2649000000
2018-12-31,9151000000,1425000000,None,-1500000000,-2779000000,5252000000,3991000000,-2233000000,-325000000,3723000000,-4632000000,-4756000000,-178000000,1000000000,1000000000,None,2124000000,2120000000,None,None,1000000,None,-941000000,None,-237000000,None,3730000000
2018-09-30,9569000000,1770000000,None,318000000,-152000000,5380000000,3578000000,265000000,-326000000,4056000000,-2227000000,-5276000000,-2502000000,750000000,750000000,None,2161000000,2129000000,None,None,72000000,None,-671000000,None,9436000000,None,4047000000
2018-06-30,6855000000,2182000000,None,1218000000,1279000000,4498000000,3226000000,906000000,532000000,3422000000,-2542000000,-3054000000,1487000000,0,0,None,2173000000,2129000000,None,None,72000000,None,442000000,None,7920000000,None,3409000000
