fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,516350000,529975000,None,-57559000,-263953000,80461000,61010000,-151392000,-103610000,296262000,-590377000,189149000,261326000,0,0,None,71415000,71415000,None,None,None,None,0,None,None,None,296262000
2023-09-30,383457000,10206000,None,-31838000,-44564000,80315000,43128000,32831000,-57798000,289753000,-50243000,-312716000,-239219000,0,0,None,71408000,71408000,None,None,0,None,0,None,None,None,289753000
2023-06-30,195254000,10253000,None,-117500000,71179000,78791000,40079000,96989000,-13256000,242239000,-42454000,-137924000,-68392000,0,0,None,70701000,70701000,None,None,0,None,0,None,14876000,None,242239000
2023-03-31,241284000,8935000,None,10363000,-4772000,77896000,48375000,-64929000,29213000,228574000,-43556000,-306565000,-221205000,0,0,None,70773000,70773000,None,None,0,None,0,None,-108837000,None,228574000
2022-12-31,338643000,528784000,None,-131257000,-116721000,76730000,54923000,-18810000,-87404000,263579000,-138863000,-126686000,-53037000,0,0,None,70915000,70915000,None,None,0,None,0,None,73094000,None,263579000
2022-09-30,264625000,6112000,None,-5307000,81866000,76514000,65462000,23155000,62633000,286026000,-286208000,-178844000,394976000,500000000,500000000,None,72580000,72580000,None,None,0,None,-500000000,None,-200427000,None,286026000
2022-06-30,178773000,4851000,None,-27658000,188937000,75291000,50196000,107456000,87082000,289618000,-68890000,120469000,280174000,85000000,85000000,None,71853000,71853000,None,None,0,None,-85000000,None,230352000,None,289618000
2022-03-31,23683000,3927000,None,63160000,257466000,79003000,50381000,97220000,136722000,226153000,-46963000,-75204000,7778000,0,0,None,72203000,72203000,None,None,0,None,0,None,-98484000,None,226153000
2021-12-31,327279000,395045000,None,127976000,27133000,71887000,50308000,-20981000,72101000,285956000,-706111000,24918000,105000000,0,0,None,72091000,72091000,None,None,0,None,0,None,-352837000,None,362785000
2021-09-30,351329000,3017000,None,90733000,126105000,72911000,47926000,30329000,80619000,288723000,-135439000,-74610000,0,0,0,None,72107000,72107000,None,None,0,None,0,None,137785000,-3495000,263756000
2021-06-30,260073000,3408000,None,42790000,146482000,71519000,41971000,75872000,69482000,290227000,-121631000,-75949000,0,0,0,None,71354000,71354000,None,None,0,None,0,None,64847000,2354000,264508000
2021-03-31,177184000,7700000,None,116759000,213746000,73806000,31260000,116320000,75421000,258912000,-29572000,-124239000,0,21637000,21637000,None,71344000,71344000,None,None,0,None,-21637000,None,23437000,64000,232769000
2020-12-31,417891000,369184000,None,26722000,-126938000,73207000,42128000,-90776000,-29879000,651449000,-118381000,-222954000,-90511000,53363000,53363000,None,71284000,71284000,None,None,0,None,-53363000,None,85574000,9018000,182106000
