fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,975000000,417000000,None,223000000,662000000,25000000,1256000000,457000000,15000000,334000000,-1355000000,1029000000,408000000,0,0,None,267000000,267000000,None,-41000000,1550000000,None,15000000,None,None,None,334000000
2023-09-30,17000000,6000000,None,-228000000,228000000,512000000,1000000000,289000000,21000000,526000000,-1100000000,-327000000,-73000000,0,0,None,267000000,267000000,None,14000000,0,None,14000000,None,None,None,526000000
2023-06-30,1072000000,4000000,None,-377000000,-862000000,495000000,1047000000,-305000000,269000000,226000000,-1166000000,1276000000,1542000000,0,0,None,278000000,278000000,None,12000000,0,None,12000000,None,1182000000,None,226000000
2023-03-31,92000000,168000000,None,-257000000,578000000,499000000,1050000000,-307000000,74000000,1430000000,2618000000,-3466000000,-2629000000,1000000000,1000000000,None,284000000,284000000,None,15000000,500000000,None,-985000000,None,-756000000,None,1433000000
2022-12-31,1317000000,377000000,None,498000000,111000000,16000000,1621000000,-79000000,15000000,173000000,-1219000000,1191000000,699000000,0,0,None,314000000,277000000,None,-43000000,800000000,None,14000000,None,1289000000,None,190000000
2022-09-30,661000000,11000000,None,223000000,907000000,19000000,1016000000,76000000,84000000,619000000,-1228000000,-432000000,-153000000,0,0,None,268000000,268000000,None,14000000,0,None,14000000,None,-999000000,None,613000000
2022-06-30,1484000000,8000000,None,192000000,-534000000,18000000,991000000,-189000000,45000000,254000000,-1166000000,725000000,1331000000,0,0,None,268000000,268000000,None,15000000,0,None,15000000,None,1043000000,None,255000000
2022-03-31,473000000,118000000,None,335000000,1098000000,18000000,837000000,446000000,-33000000,554000000,-952000000,-470000000,-175000000,0,0,None,276000000,276000000,None,14000000,0,None,14000000,None,-949000000,None,602000000
2021-12-31,1021000000,418000000,None,-324000000,-449000000,-2000000,1267000000,213000000,32000000,186000000,-1047000000,957000000,452000000,0,0,None,285000000,262000000,None,730000000,825000000,None,16000000,None,931000000,None,224000000
2021-09-30,319000000,10000000,None,771000000,1220000000,-3000000,916000000,200000000,45000000,469000000,-437000000,-845000000,-920000000,0,0,None,261000000,261000000,None,15000000,191000000,None,179000000,None,459000000,None,538000000
2021-06-30,1104000000,8000000,None,93000000,-348000000,-3000000,913000000,-122000000,22000000,118000000,-904000000,821000000,-97000000,0,0,None,254000000,254000000,None,14000000,1538000000,None,848000000,None,110000000,None,165000000
2021-03-31,289000000,124000000,None,-61000000,747000000,-8000000,868000000,210000000,-17000000,420000000,-1096000000,-472000000,183000000,0,0,None,253000000,253000000,None,16000000,250000000,None,49000000,None,-1279000000,None,419000000
2020-12-31,830000000,393000000,None,210000000,30000000,-10000000,1739000000,323000000,3000000,49000000,-1240000000,1532000000,41000000,0,0,None,260000000,244000000,None,597000000,1250000000,None,567000000,None,1122000000,None,43000000
2020-09-30,188000000,10000000,None,533000000,1072000000,-10000000,818000000,236000000,17000000,502000000,-1052000000,-167000000,16000000,0,0,None,244000000,244000000,None,15000000,75000000,None,15000000,None,492000000,None,493000000
2020-06-30,768000000,8000000,None,-73000000,-302000000,-9000000,761000000,64000000,10000000,202000000,-964000000,-33000000,605000000,0,0,None,244000000,244000000,None,14000000,0,None,14000000,None,194000000,None,190000000
2020-03-31,412000000,158000000,None,-75000000,551000000,-11000000,767000000,60000000,-26000000,392000000,-968000000,913000000,-484000000,0,0,None,243000000,243000000,None,14000000,1600000000,None,102000000,None,357000000,None,375000000
2019-12-31,1174000000,352000000,None,285000000,-155000000,-28000000,3533000000,44000000,-6000000,313000000,-898000000,688000000,392000000,0,0,None,246000000,234000000,None,785000000,1028000000,None,14000000,None,964000000,None,295000000
2019-09-30,422000000,10000000,None,244000000,683000000,-29000000,51000000,159000000,14000000,503000000,-1008000000,-131000000,139000000,0,0,None,235000000,235000000,None,13000000,0,None,13000000,None,493000000,None,473000000
2019-06-30,1074000000,9000000,None,96000000,-605000000,-30000000,44000000,-388000000,17000000,179000000,-988000000,410000000,-274000000,0,0,None,229000000,229000000,None,14000000,1164000000,None,414000000,None,170000000,None,152000000
2019-03-31,464000000,134000000,None,33000000,530000000,-29000000,48000000,79000000,-31000000,445000000,-888000000,-108000000,-1131000000,0,0,None,226000000,226000000,None,13000000,825000000,None,438000000,None,-532000000,None,424000000
2018-12-31,1095000000,290000000,None,29000000,-349000000,-32000000,5056000000,-55000000,16000000,331000000,-2524000000,2190000000,1214000000,0,0,None,209000000,211000000,None,666000000,1125000000,None,719000000,None,331000000,None,331000000
2018-09-30,560000000,626000000,None,388000000,677000000,-29000000,84000000,216000000,20000000,435000000,-1081000000,-155000000,483000000,0,0,None,211000000,211000000,None,13000000,265000000,None,13000000,None,435000000,None,435000000
2018-06-30,897000000,60000000,None,-37000000,-471000000,-28000000,74000000,-89000000,17000000,188000000,-957000000,298000000,-520000000,0,0,None,211000000,211000000,None,13000000,1640000000,None,13000000,None,188000000,None,188000000
2018-03-31,143000000,308000000,None,100000000,738000000,-28000000,35000000,103000000,-33000000,428000000,-909000000,605000000,812000000,0,0,None,209000000,209000000,None,13000000,0,None,13000000,None,-161000000,None,428000000
2017-12-31,1140000000,251000000,None,-2184000000,-2781000000,-31000000,127000000,30000000,-3000000,505000000,-1125000000,719000000,221000000,0,0,None,204000000,203000000,None,306000000,700000000,None,14000000,None,728000000,None,505000000
2017-09-30,653000000,286000000,None,200000000,524000000,-31000000,63000000,174000000,-20000000,457000000,-854000000,-531000000,-680000000,0,0,None,202000000,202000000,None,12000000,0,None,355000000,None,-747000000,None,457000000
2017-06-30,1126000000,532000000,None,157000000,-501000000,-31000000,112000000,-179000000,44000000,175000000,-875000000,489000000,200000000,0,0,None,199000000,199000000,None,13000000,500000000,None,13000000,None,749000000,None,175000000
2017-03-31,448000000,123000000,None,-23000000,431000000,-31000000,113000000,10000000,-26000000,388000000,-856000000,-320000000,-218000000,0,0,None,199000000,199000000,None,12000000,497000000,None,12000000,None,-709000000,None,388000000
2016-12-31,1123000000,227000000,None,-290000000,-448000000,-53000000,409000000,-20000000,2000000,206000000,-1233000000,762000000,453000000,0,0,None,194000000,193000000,None,664000000,825000000,None,51000000,None,626000000,None,206000000
2016-09-30,705000000,119000000,None,459000000,570000000,-45000000,105000000,162000000,14000000,497000000,-731000000,-690000000,-107000000,0,0,None,192000000,192000000,None,11000000,0,None,0,None,-716000000,None,497000000
2016-06-30,1107000000,209000000,None,205000000,-564000000,-49000000,121000000,-133000000,-21000000,232000000,-1868000000,1560000000,-491000000,0,0,None,193000000,193000000,None,0,1547000000,None,687000000,None,799000000,None,232000000
