fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,203674000,48944000,None,-39434000,16457000,139899000,2808000,3712000,None,70349000,-42716000,-161121000,0,0,0,None,148287000,148287000,None,-116000,0,None,-116000,None,None,None,65391000
2023-09-30,288063000,59744000,None,42859000,1609000,137357000,1732000,4176000,None,93009000,-67903000,111223000,-34428000,0,0,0,148281000,148281000,None,-106000,298000000,0,-106000,None,None,None,87282000
2023-06-30,211408000,50864000,None,-35323000,4578000,136718000,24639000,2578000,None,105756000,-89679000,-129773000,33972000,0,0,0,148279000,148279000,None,-53000,0,0,-53000,None,-8044000,None,99620000
2023-03-31,276919000,54448000,None,39968000,-292000,137629000,3791000,2165000,None,161594000,55158000,-297600000,-51617000,95657000,95657000,0,142129000,142129000,None,-72000,0,0,-95729000,None,34477000,None,153532000
2022-12-31,166914000,50115000,None,-55489000,-2890000,137554000,5070000,3205000,None,194220000,215340000,-393142000,-167407000,31775000,31775000,0,142481000,142481000,None,0,0,0,-31660000,None,-10888000,None,185165000
2022-09-30,299190000,54027000,None,56679000,3774000,135511000,31428000,3774000,None,98700000,-171033000,-123051000,156305000,97121000,97121000,0,143296000,143296000,None,-107000,0,0,-97073000,None,5106000,None,92842000
2022-06-30,194402000,48262000,None,-49864000,14147000,134517000,6142000,3527000,None,61690000,-4067000,-250425000,-34825000,60830000,60830000,0,143755000,143755000,None,-66000,0,0,-60724000,None,-60090000,None,57054000
2022-03-31,315143000,52906000,None,41035000,-6261000,135198000,6943000,3447000,None,78375000,105718000,-370946000,-243257000,0,0,0,136392000,136392000,None,-141000,0,0,18942000,None,49915000,None,73254000
2021-12-31,205382000,48570000,None,-39377000,2371000,133730000,52415000,3649000,None,144125000,-302190000,94494000,298595000,0,0,0,136042000,136042000,None,-253000,0,0,40397000,None,-2314000,None,136874000
2021-09-30,271806000,50739000,None,60365000,3293000,130564000,97792000,3723000,None,125002000,-89572000,-179458000,-42338000,0,0,0,135881000,135881000,None,-118000,0,0,15454000,None,255666000,None,118390000
