fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-03-31,335600000,2400000,None,58200000,70800000,42900000,50800000,127600000,-21900000,297700000,-48400000,-267400000,None,0,0,None,223200000,223200000,None,None,160000000,None,15800000,None,None,None,297700000
2023-12-31,354000000,117600000,None,-11400000,-62800000,43200000,36300000,-87200000,2600000,266400000,-33000000,-402600000,None,0,0,None,417300000,417300000,None,None,90000000,None,14700000,None,None,None,266400000
2023-09-30,388100000,2100000,None,17800000,-33300000,44700000,46900000,4500000,-46100000,295500000,-43000000,-286900000,0,0,0,None,199800000,199800000,None,None,155000000,None,2900000,None,None,None,295500000
2023-06-30,302100000,3100000,None,-88500000,-44900000,44900000,55900000,21300000,-87900000,298000000,-54200000,-243300000,0,0,0,None,199900000,199900000,None,None,405000000,None,6600000,None,4600000,None,298000000
2023-03-31,388500000,5100000,None,80500000,30600000,44500000,33700000,133700000,-57700000,295100000,-31000000,-348900000,0,0,0,None,199800000,199800000,None,None,230000000,None,5900000,None,8600000,None,295100000
2022-12-31,301900000,115000000,None,-68400000,-88800000,44700000,42800000,-103100000,21100000,245600000,-41400000,-268700000,0,93200000,93200000,None,176900000,176900000,None,None,405000000,None,-91800000,None,-8200000,None,245600000
2022-09-30,257900000,4200000,None,2400000,82900000,44100000,48000000,13600000,26300000,284600000,-44500000,-220800000,0,95300000,95300000,None,177500000,177500000,None,None,695000000,None,-93300000,None,-7400000,None,284600000
2022-06-30,151200000,2700000,None,-65200000,115400000,43900000,47500000,39400000,74200000,287100000,-43900000,-85900000,0,49300000,49300000,None,178500000,178500000,None,None,460000000,None,-47400000,None,21400000,None,287100000
2022-03-31,230000000,2300000,None,96300000,185600000,43900000,35500000,169900000,76400000,269600000,-33200000,-199500000,0,0,0,None,178400000,178400000,None,None,235000000,None,3900000,None,-2700000,None,269600000
2021-12-31,156400000,114700000,None,-5300000,101500000,43600000,41900000,-47000000,123000000,231200000,-41500000,-128900000,0,0,0,None,161100000,161100000,None,None,225000000,None,7200000,None,-14300000,-300000,231200000
2021-09-30,167400000,2600000,None,12800000,137200000,42800000,47400000,44200000,77100000,243500000,-45600000,-190200000,0,0,0,None,161000000,161000000,None,None,135000000,None,10800000,None,243500000,-2900000,243500000
2021-06-30,171500000,2600000,None,-12700000,99100000,42300000,34600000,55900000,20500000,239700000,-31500000,-153800000,0,0,0,None,160800000,160800000,None,None,55000000,None,7000000,None,239700000,1700000,239700000
