fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,112615000,55755000,None,-15277000,5142000,82421000,1060000,None,15277000,67090000,-69687000,114285000,-50500000,None,None,None,90536000,90536000,None,115895000,0,None,115895000,None,None,None,64103000
2023-09-30,150939000,38025000,None,22713000,15244000,81731000,0,None,-22713000,59392000,-84439000,-66465000,19000000,None,None,None,89615000,89615000,None,9754000,13000,0,9754000,None,None,None,57048000
2023-06-30,149269000,38253000,None,-3372000,-9942000,78974000,24228000,3484000,3372000,63004000,-103388000,-50403000,-28500000,None,None,None,89612000,89612000,None,1000,0,0,1000,None,-4522000,None,60499000
2023-03-31,143007000,37136000,None,1941000,-3563000,78637000,35340000,-466000,None,57731000,-100811000,-31266000,60000000,None,None,None,89431000,89431000,None,6245000,0,0,6245000,None,10930000,None,55335000
2022-12-31,107476000,47486000,None,-13871000,10280000,79165000,8504000,-6552000,None,117692000,-115847000,-53917000,25193000,None,None,None,89275000,89275000,None,14604000,0,0,14604000,None,-62288000,None,115693000
2022-09-30,148772000,32739000,None,19526000,16754000,77109000,329968000,4733000,None,158774000,-370092000,185399000,267000000,None,None,None,86559000,86559000,None,33074000,0,0,33074000,None,-35921000,None,156138000
2022-06-30,157452000,31537000,None,-159000,-22692000,74461000,109529000,1005000,None,64467000,-211865000,70781000,0,None,None,None,85766000,85766000,None,176778000,0,0,176778000,None,16368000,None,61676000
2022-03-31,103069000,30436000,None,-5419000,4577000,71674000,85019000,-11257000,None,54728000,-88194000,-11849000,0,None,None,None,85684000,85684000,None,82819000,0,0,82819000,None,3026000,None,51984000
2021-12-31,105316000,42709000,None,-5523000,-397000,77816000,0,-3643000,-15108000,116742000,1724000,-119782000,0,None,None,None,84807000,84807000,None,85702000,0,0,85702000,None,-12742000,None,114936000
2021-09-30,118827000,31105000,None,13363000,17374000,70611000,33892000,161000,None,54541000,-151868000,-95990000,0,None,None,None,84002000,84002000,None,-7000,0,0,-7000,None,57572000,None,52122000
2021-06-30,132103000,30809000,None,-5845000,-8201000,67675000,326880000,3813000,None,48059000,-435133000,-188476000,0,None,None,None,83934000,83934000,None,-43000,0,0,-43000,None,51057000,None,46204000
2021-03-31,115106000,29973000,None,7987000,-3169000,63874000,5694000,883000,3169000,49739000,-74841000,-48719000,0,None,None,None,82913000,82913000,None,87329000,0,0,87329000,None,-8454000,None,48236000
2020-12-31,101507000,43499000,None,-9087000,388000,321000,0,5505000,None,102211000,5189000,-178239000,-658000,None,None,None,81743000,81743000,None,99007000,394214000,0,99007000,None,-71543000,None,94725000
2020-09-30,87040000,2853000,None,8952000,23559000,321000,180000,5591000,None,-33623000,-116374000,-83464000,10000,None,None,None,80979000,80979000,None,73000,-16000,0,73000,None,-33707000,None,-28289000
2020-06-30,62633000,2700000,None,9375000,-7269000,321000,2300000,-20140000,None,10859000,-105366000,24544000,-591268000,None,None,None,80976000,80976000,None,78000,0,0,78000,None,10925000,None,10507000
2020-03-31,118749000,32388000,None,-3619000,-8618000,321000,7109000,3012000,None,56441000,-151832000,898895000,990000000,None,None,None,80898000,80898000,None,19000,0,0,19000,None,865812000,None,54763000
2019-12-31,117613000,26778000,None,-3935000,-2583000,321000,159394000,-7261000,-3679000,148966000,-89266000,-81649000,0,None,None,None,80664000,80664000,None,3298000,-193000,0,3298000,None,148966000,None,147355000
2019-09-30,102019000,2932000,None,7755000,20636000,321000,19946000,-3542000,None,67106000,-113898000,78526000,-4012000,None,None,None,78020000,78020000,None,71268000,103030000,0,71268000,None,67049000,None,65465000
2019-06-30,137368000,2701000,None,5322000,-6632000,321000,0,-4080000,None,82667000,-9331000,-69980000,-20000000,None,None,None,77669000,77669000,None,9034000,0,0,9034000,None,82880000,None,80902000
2019-03-31,104919000,32485000,None,-6815000,-1168000,321000,25176000,-1245000,1168000,61803000,-104037000,-27002000,20000000,None,None,None,77296000,77296000,None,59427000,0,0,59427000,None,-26120000,None,60144000
2018-12-31,151972000,21880000,None,-246000,-9612000,66976000,9879000,5431000,6716000,56382000,-80474000,-57967000,-26500000,None,None,None,76883000,76883000,None,49290000,0,0,53890000,None,56382000,None,54507000
2018-09-30,101605000,32617000,None,4182000,21759000,60778000,1888000,-709000,None,64180000,-33078000,-82688000,-62500000,None,None,None,74708000,74708000,None,59136000,0,0,59136000,None,65431000,None,62558000
2018-06-30,138931000,21165000,None,4094000,-5989000,58381000,96460000,-6127000,None,65533000,-32517000,-71152000,-14000000,None,None,None,74678000,74678000,None,21156000,0,0,21156000,None,66919000,None,63595000
2018-03-31,124180000,31832000,None,-5380000,-4088000,58110000,89313000,2322000,4088000,62931000,-46178000,-29502000,62000000,None,None,None,74925000,74925000,None,1336000,0,0,1336000,None,48500000,None,61247000
2017-12-31,119357000,34715000,None,625000,-2473000,56394000,0,3624000,-11144000,52785000,-128522000,1321000,-500000,None,None,None,72150000,72150000,None,67394000,172680000,-465000,76929000,None,-7662000,None,50656000
2017-09-30,100811000,22491000,None,12049000,19586000,55611000,268307000,-5032000,None,108882000,-322701000,147016000,41500000,None,None,None,70398000,70398000,None,33799000,44000,None,179255000,None,-73476000,None,106777000
2017-06-30,114727000,22906000,None,-2791000,-13470000,52666000,28123000,-923000,None,78133000,-107423000,67154000,-217000000,None,None,None,70330000,70330000,None,31000,0,None,31000,None,76214000,None,76291000
2017-03-31,123933000,25089000,None,4359000,-297000,51379000,140222000,4390000,297000,58070000,-279276000,153954000,217000000,None,None,None,70117000,70117000,None,17359000,0,None,17359000,None,-3256000,None,56190000
2016-12-31,134264000,23264000,None,-1969000,-20528000,48448000,7807000,None,13800000,59724000,-151804000,-56406000,-3416000,None,None,None,69944000,69944000,None,29063000,8000,None,29063000,None,-77913000,None,58037000
2016-09-30,89801000,21344000,None,10667000,24694000,48903000,5381000,-4539000,None,61198000,-137515000,130373000,-95000000,None,None,None,66674000,66674000,None,54819000,0,None,54819000,None,82659000,None,58977000
2016-06-30,98728000,24942000,None,-4634000,2256000,48435000,-6000,1771000,None,58898000,-99215000,-607000,42000000,None,None,None,66192000,66192000,None,63464000,0,None,63464000,None,-1094000,None,55941000
2016-03-31,104879000,20635000,None,695000,-1181000,47799000,129776000,-836000,1181000,79063000,-201687000,95478000,-500000,None,None,None,64884000,64884000,None,181757000,0,None,181757000,None,-1330000,None,76955000
2015-12-31,107896000,25016000,None,-9979000,-3684000,46423000,33183000,5550000,3700000,69998000,-67284000,-32430000,53500000,None,None,None,64901000,64901000,None,9715000,-456192000,None,9715000,None,8182000,None,67954000
2015-09-30,87502000,19487000,None,12604000,14830000,43718000,12211000,-6985000,None,54550000,-70128000,-26685000,-106500000,None,None,None,59692000,59692000,None,43133000,247548000,None,43133000,None,-9311000,None,52447000
2015-06-30,91662000,48995000,None,-13420000,-4150000,42671000,82505000,-1158000,None,45673000,-121406000,-119518000,106500000,None,None,None,59391000,59391000,None,57418000,-10000,None,57418000,None,-149262000,None,43632000
