fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1196000000,111000000,None,-185000000,-277000000,270000000,304000000,-127000000,315000000,1005000000,-333000000,-302000000,0,0,0,None,332000000,360000000,None,None,None,None,0,None,None,None,1005000000
2023-09-30,1321000000,29000000,None,835000000,635000000,47000000,227000000,-70000000,640000000,836000000,-204000000,-917000000,0,56000000,56000000,None,363000000,363000000,None,None,0,None,-56000000,None,None,None,836000000
2023-06-30,731000000,None,None,None,None,47000000,212000000,-231000000,636000000,744000000,-214000000,-1400000000,0,288000000,0,None,360000000,360000000,None,None,0,None,0,None,-883000000,None,744000000
2023-03-31,1462000000,None,None,None,None,350000000,161000000,72000000,-628000000,730000000,-190000000,-475000000,0,None,0,None,345000000,345000000,None,None,0,None,0,None,797000000,None,730000000
2022-12-31,669000000,114000000,None,340000000,956000000,312000000,494000000,213000000,65000000,992000000,-491000000,-1431000000,0,110000000,110000000,None,345000000,345000000,None,None,0,None,-110000000,None,-1253000000,None,992000000
2022-09-30,1283000000,15000000,None,157000000,-59000000,53000000,255000000,-431000000,99000000,902000000,-633000000,-377000000,None,25000000,25000000,None,345000000,345000000,None,None,None,None,-25000000,None,273000000,None,902000000
2022-06-30,659000000,98000000,None,675000000,702000000,49000000,224000000,198000000,582000000,766000000,-218000000,-1146000000,None,800000000,800000000,None,349000000,349000000,None,None,None,None,-800000000,None,-705000000,None,766000000
2022-03-31,1968000000,93000000,None,698000000,-409000000,189000000,141000000,-26000000,234000000,730000000,-147000000,-517000000,None,294000000,294000000,None,330000000,330000000,None,None,None,None,-294000000,None,1304000000,None,730000000
2021-12-31,1682000000,14000000,None,611000000,-158000000,312000000,385000000,-5000000,-311000000,952000000,-381000000,-2833000000,-1991000000,337000000,337000000,None,332000000,332000000,None,None,0,None,-337000000,None,-1536000000,None,952000000
2021-09-30,1471000000,101000000,None,527000000,7000000,59000000,196000000,-227000000,-152000000,860000000,-193000000,-1086000000,0,139000000,139000000,None,332000000,332000000,None,None,None,None,-139000000,None,528000000,None,860000000
2021-06-30,1115000000,121000000,None,170000000,97000000,56000000,172000000,64000000,115000000,737000000,-177000000,202000000,0,593000000,593000000,None,336000000,336000000,None,None,None,None,-593000000,None,401000000,None,737000000
2021-03-31,3000000,107000000,None,-760000000,-79000000,191000000,134000000,30000000,-57000000,708000000,-131000000,-873000000,None,759000000,759000000,None,315000000,315000000,None,None,None,None,-759000000,None,-1013000000,None,708000000
2020-12-31,2562000000,87000000,None,182000000,-1674000000,306000000,345000000,-707000000,-636000000,12000000,-385000000,-803000000,-441000000,86000000,86000000,None,315000000,315000000,None,None,0,None,-86000000,None,12000000,None,1002000000
2020-09-30,1119000000,40000000,None,541000000,435000000,65000000,216000000,335000000,-299000000,834000000,-367000000,-1567000000,-1236000000,0,0,None,315000000,315000000,None,None,None,None,0,None,519000000,None,834000000
2020-06-30,843000000,155000000,None,-897000000,-383000000,65000000,221000000,-32000000,-113000000,625000000,-45000000,-3818000000,-1035000000,52000000,52000000,None,315000000,315000000,None,None,None,None,-52000000,None,310000000,None,625000000
