fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-03-31,318306000,1000000000,None,None,None,90610000,115690000,None,None,248894000,-178444000,-175223000,None,37500000,37500000,None,132635000,132634999,None,None,14000,None,-37500000,None,None,None,248894000
2023-12-31,353164000,-2253715000,None,None,None,88581000,162817000,None,-69148000,316875000,-232363000,306858000,None,89126000,89126000,None,133254000,133253999,None,None,1225250000,None,-89126000,None,None,None,316875000
2023-09-30,625443000,1000000000,None,None,None,83860000,144522000,None,None,351198000,-247309000,-241269000,None,37498000,37498000,None,133491000,133491000,None,None,875125000,None,-37498000,None,None,None,351198000
2023-06-30,259496000,1100000000,None,None,None,90873000,117236000,None,None,344494000,-180884000,-199937000,None,67348000,67348000,None,133738000,133738000,None,None,975357000,None,-67348000,None,-121325000,None,344494000
2023-03-31,197507000,1000000000,None,None,None,87215000,88100000,None,None,303957000,-45236000,-157813000,None,67501000,67501000,None,126191000,126191000,None,None,693400000,None,-67501000,None,-5542000,None,303957000
2022-12-31,222380000,-1905006000,None,None,None,87997000,95634000,-244371000,-380420000,251976000,-27278000,-180933000,None,49999000,49999000,None,126434000,126434000,None,None,561130000,None,-49999000,None,14169000,None,251976000
2022-09-30,453606000,900000000,None,None,None,86563000,91022000,None,None,312358000,-113509000,-198477000,None,49808000,49808000,None,126716000,126716000,None,None,696869000,None,-49808000,None,141620000,None,312358000
2022-06-30,392177000,945000000,None,None,None,85890000,74931000,None,None,372529000,-122508000,-329453000,None,50000000,50000000,None,126891000,126891000,None,None,960642000,None,-50000000,None,-59784000,None,372529000
2022-03-31,398808000,855000000,None,None,None,87369000,78045000,None,None,245838000,-1420945000,913964000,None,72919000,72919000,None,115876000,115876000,None,None,2890000000,None,-72919000,None,-108173000,None,245838000
2021-12-31,1693449000,None,None,None,None,72594000,127930000,-258994000,-329237000,1693449000,-266262000,-170808000,None,49713000,49713000,None,116356000,116356000,None,None,650362000,None,-49713000,None,1693449000,None,255999000
2021-09-30,303766000,None,None,None,None,72121000,48213000,None,-329237000,228585000,-88511000,-270547000,None,99521000,99521000,None,117666000,117666000,None,None,210733000,None,-99521000,None,228585000,None,228585000
2021-06-30,403488000,None,None,None,None,73960000,41602000,None,-329237000,196496000,-110719000,-432183000,None,184365000,184365000,None,117584000,117584000,None,None,0,None,0,None,196496000,None,196496000
2021-03-31,300942000,1764000,None,None,None,72296000,48391000,None,-329237000,217710000,-40672000,-115994000,None,0,0,None,114043000,114043000,None,None,31599000,None,0,None,446982000,None,217710000
2020-12-31,1448110000,644881000,None,None,None,69758000,48074000,957514000,58462000,1448110000,-47154000,-484557000,None,496000,496000,None,113983000,113983000,None,None,749392000,None,-496000,None,1448110000,None,171204000
2020-09-30,227318000,213000,None,None,None,69097000,31070000,None,58462000,227531000,-69902000,-501853000,None,0,0,None,113967000,113967000,None,None,3513000,None,0,None,227318000,0,227531000
2020-06-30,-564755000,383000,None,None,None,66733000,28944000,None,58462000,-564372000,324166000,-580811000,None,0,0,None,114476000,114476000,None,None,566204000,None,0,None,-564755000,7607000,-564372000
2020-03-31,74060000,46371000,None,None,None,67254000,45414000,None,58462000,136535000,-35473000,53456000,None,95719000,95719000,None,110851000,110851000,None,None,1318905000,None,-95719000,None,77477000,-14566000,136535000
2019-12-31,146798000,504753000,None,None,None,70295000,115257000,None,-66202000,1478948000,-171813000,-156516000,None,1135000,1135000,None,110784000,110784000,None,None,1108452000,None,-1135000,None,1478948000,None,8918000
2019-09-30,443837000,68000,None,None,None,65667000,75900000,None,-66202000,227487000,72605000,-618612000,None,73052000,73052000,None,111382000,111382000,None,None,955480000,None,0,None,227555000,-9106000,227487000
2019-06-30,239645000,174000,None,None,None,59324000,61091000,None,-66202000,224430000,-279960000,243487000,None,0,0,None,111355000,111355000,None,None,1623234000,None,0,None,224604000,2454000,224430000
2019-03-31,61730000,3812000,None,None,None,61977000,45621000,None,-66202000,160250000,-184038000,145679000,None,0,0,None,105369000,105369000,None,None,1350002000,None,0,None,23378000,7000,160250000
2018-12-31,219638000,339820000,None,None,None,49688000,140480000,None,-73173000,186699000,-250194000,13217000,None,90065000,90065000,None,105673000,105673000,None,None,1657316000,None,-90065000,None,-25558000,-8219000,186699000
2018-09-30,470451000,480000,None,None,None,61082000,26796000,None,-73173000,220227000,-98239000,-366169000,None,1918000,1918000,None,105661000,105661000,None,None,1086069000,None,0,None,3964000,-2079000,220227000
2018-06-30,316708000,82000,None,None,None,58451000,33513000,None,-73173000,226972000,-77470000,-200393000,None,0,0,None,105649000,105649000,None,None,1119465000,None,0,None,29168000,-9677000,226972000
2018-03-31,138367000,2517000,None,None,None,58363000,31633000,None,-73173000,176576000,-70221000,-55485000,None,0,0,None,99000000,99000000,None,None,1201441000,None,0,None,11074000,-1587000,176576000
2017-12-31,272686000,337858000,None,None,None,50051000,59579000,None,-9923000,108183000,-1243746000,1073749000,None,1640000,1640000,None,98958000,98958000,None,None,3210294000,None,-1640000,None,104817000,2128000,108183000
2017-09-30,-150456000,259000,None,None,None,40276000,43086000,None,None,158442000,-92223000,-102760000,None,18376000,18376000,None,99109000,99109000,None,None,1170000000,None,-18376000,None,6937000,4847000,158442000
2017-06-30,189972000,699000,None,None,None,39232000,29289000,None,None,189972000,-163269000,-57738000,None,61524000,61524000,None,99824000,99824000,None,None,1245000000,None,-61524000,None,25228000,2771000,189972000
2017-03-31,167054000,1546000,None,None,None,38132000,24806000,None,None,160160000,-131042000,-41192000,None,91984000,91984000,None,97584000,97584000,None,None,1005000000,None,-91984000,None,-64962000,5452000,160160000
2016-12-31,-438854000,395454000,None,None,None,39240000,73993000,None,-64214000,152520000,-141804000,-38220000,None,37607000,37607000,None,97954000,97954000,None,None,1330000000,None,-37607000,None,17702000,-7000000,152520000
2016-09-30,185326000,2935000,None,None,None,37682000,36939000,None,None,185326000,-97049000,-122768000,None,24413000,24413000,None,97975000,97975000,None,None,1070000000,None,-24413000,None,-8450000,507000,185326000
2016-06-30,191369000,2396000,None,None,None,35911000,38041000,None,None,191369000,-269851000,-96949000,None,72966000,72966000,None,98338000,98338000,None,None,975000000,None,-72966000,None,28492000,-155000,191369000
2016-03-31,240580000,5144000,None,None,None,34654000,11670000,None,None,158025000,-85295000,-64469000,None,46431000,46431000,None,92596000,92596000,None,None,975000000,None,-46431000,None,-6496000,8223000,158025000
2015-12-31,651896000,377483000,None,None,None,35911000,47550000,None,-21821000,161273000,-86219000,-161904000,None,67100000,67100000,None,92905000,92905000,None,None,0,None,-67100000,None,12337000,-2926000,161273000
