fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,604000000,None,None,-163000000,-192000000,57000000,127000000,-253000000,58000000,412000000,-115000000,-439000000,0,344000000,344000000,None,92000000,92000000,None,None,None,None,-339000000,None,None,None,395000000
2023-09-30,523000000,None,None,-27000000,23000000,56000000,125000000,48000000,-14000000,493000000,-116000000,-318000000,1000000,193000000,193000000,None,106000000,106000000,None,None,0,None,-192000000,None,None,None,476000000
2023-06-30,450000000,None,None,-15000000,98000000,55000000,95000000,141000000,-24000000,490000000,-95000000,-297000000,0,171000000,171000000,None,107000000,107000000,None,None,0,None,-166000000,None,58000000,None,470000000
2023-03-31,454000000,None,None,-43000000,84000000,51000000,98000000,162000000,-4000000,508000000,-96000000,-224000000,6000000,142000000,142000000,None,87000000,87000000,None,None,0,None,-119000000,None,134000000,None,488000000
2022-12-31,360000000,None,None,147000000,227000000,58000000,48000000,-51000000,159000000,397000000,-51000000,-304000000,0,220000000,220000000,None,85000000,85000000,None,None,0,None,-215000000,None,5000000,None,384000000
2022-09-30,380000000,None,None,55000000,182000000,52000000,45000000,89000000,104000000,442000000,-40000000,-280000000,0,184000000,184000000,None,102000000,102000000,None,None,0,None,-178000000,None,60000000,None,426000000
2022-06-30,250000000,None,None,4000000,230000000,55000000,106000000,135000000,84000000,389000000,-115000000,-229000000,0,120000000,120000000,None,99000000,99000000,None,None,0,None,-111000000,None,389000000,None,371000000
2022-03-31,343000000,None,None,261000000,367000000,52000000,57000000,263000000,65000000,385000000,-57000000,-159000000,0,79000000,79000000,None,84000000,84000000,None,None,0,None,-73000000,None,127000000,None,366000000
2021-12-31,213000000,None,None,-41000000,128000000,48000000,58000000,26000000,88000000,301000000,-46000000,-249000000,0,170000000,170000000,None,96000000,96000000,None,None,0,None,-153000000,None,-71000000,None,283000000
2021-09-30,161000000,None,None,-9000000,197000000,45000000,50000000,118000000,86000000,315000000,-50000000,-327000000,0,242000000,242000000,None,85000000,85000000,None,None,0,None,-241000000,None,315000000,-3000000,297000000
2021-06-30,269000000,None,None,42000000,92000000,49000000,74000000,59000000,30000000,243000000,-72000000,-213000000,0,108000000,108000000,None,95000000,95000000,None,None,0,None,-86000000,None,243000000,1000000,225000000
2021-03-31,294000000,None,None,79000000,74000000,43000000,73000000,121000000,-52000000,255000000,-58000000,-250000000,0,175000000,175000000,None,81000000,81000000,None,None,0,None,-167000000,None,-23000000,-9000000,238000000
2020-12-31,336000000,None,None,19000000,-94000000,45000000,45000000,-24000000,-64000000,185000000,-47000000,-579000000,0,500000000,500000000,None,92000000,92000000,None,None,1000000,None,-477000000,None,275000000,None,168000000
2020-09-30,311000000,None,None,84000000,102000000,42000000,59000000,32000000,78000000,256000000,-50000000,-1011000000,-15000000,0,0,None,82000000,82000000,None,None,83000000,None,19000000,None,256000000,6000000,240000000
2020-06-30,232000000,None,None,-28000000,70000000,50000000,43000000,-104000000,163000000,129000000,-30000000,-91000000,-2000000,1000000,1000000,None,86000000,86000000,None,None,0,None,8000000,None,129000000,0,114000000
2020-03-31,244000000,None,None,57000000,224000000,45000000,50000000,217000000,-19000000,185000000,-52000000,955000000,-36000000,100000000,100000000,None,78000000,78000000,None,None,1500000000,None,-81000000,None,1132000000,-15000000,173000000
2019-12-31,272000000,102000000,None,42000000,65000000,58000000,58000000,-77000000,124000000,117000000,-57000000,-148000000,1000000,100000000,100000000,None,86000000,86000000,None,None,0,None,-70000000,None,74000000,7000000,103000000
2019-09-30,320000000,17000000,None,-11000000,-12000000,58000000,56000000,1000000,-6000000,244000000,-54000000,-289000000,1000000,200000000,200000000,None,79000000,79000000,None,None,0,None,-197000000,None,-29000000,-6000000,233000000
2019-06-30,323000000,None,None,-22000000,16000000,56000000,47000000,16000000,8000000,272000000,-39000000,-365000000,0,265000000,265000000,None,87000000,87000000,None,None,0,None,-252000000,None,-77000000,4000000,260000000
2019-03-31,127000000,None,None,-83000000,112000000,57000000,60000000,102000000,-20000000,262000000,-52000000,-221000000,3000000,135000000,135000000,None,76000000,76000000,None,None,0,None,-132000000,None,-146000000,0,253000000
2018-12-31,314000000,98602000,None,-20300000,-28019000,65000000,70104000,-92829000,76000000,219000000,-61000000,-233000000,-901000,142000000,142254000,None,83711000,84000000,None,None,-185000,None,-140803000,None,21000000,1000000,209000000
2018-09-30,348000000,-13813000,None,28025000,20380000,63871000,65813000,23681000,8000000,115000000,-31000000,-106000000,-3953000,82000000,81868000,None,77157000,77000000,None,None,185000,None,10547000,None,204000000,-7000000,104000000
2018-06-30,248000000,8569000,None,12801000,93603000,63800000,53934000,53927000,48000000,248000000,-43000000,-185000000,-80312000,28000000,27961000,None,82878000,83000000,None,None,-103000,None,170000,None,11000000,-9000000,237000000
2018-03-31,147000000,11642000,None,-52526000,124036000,63931000,49149000,94221000,-3000000,241000000,-31000000,-146000000,80166000,173000000,172917000,None,72254000,72000000,None,None,103000,None,-113914000,None,-25000000,5000000,232000000
2017-12-31,336122000,86155000,None,73683000,-1921000,173662000,46100000,-42505000,39851000,162372000,-46362000,-247908000,36281000,169017000,169448000,None,78969000,78496000,None,None,-22256000,None,-149285000,None,42571000,719000,151000000
2017-09-30,348700000,None,None,80838000,-16154000,66143000,60036000,8787000,-4915000,170816000,-24803000,-314608000,-118019000,122421000,122421000,None,73867000,73867000,None,None,8348000,None,-122230000,None,9510000,221000,162000000
2017-06-30,191232000,None,None,-784000,37604000,65946000,52379000,41425000,-2110000,106959000,-37306000,-121284000,-293165000,154416000,154416000,None,79519000,79519000,None,None,411755000,None,-153697000,None,36264000,3622000,98000000
2017-03-31,180946000,None,None,28627000,93536000,62249000,78768000,95419000,-27826000,182853000,-37529000,-183200000,35662000,159146000,159146000,None,72118000,72118000,None,None,3917000,None,-132801000,None,-35345000,4438000,175000000
2016-12-31,335076000,None,None,106307000,-47144000,71462000,70627000,-78322000,45938000,68502000,-76604000,-257558000,4392000,176802000,176575000,None,81840000,81869000,None,None,-73000,None,-172003000,None,-11845000,-12759000,60666000
2016-09-30,345831000,None,None,28673000,-17298000,63899000,107905000,25528000,-33205000,193409000,-111861000,-259958000,14970000,200551000,200551000,None,73651000,73651000,None,None,122774000,None,-197189000,None,-30016000,-4028000,185873000
2016-06-30,182456000,None,None,-35562000,26570000,57202000,53920000,13959000,2098000,179445000,-28150000,-120236000,-196530000,240600000,240600000,None,74848000,74848000,None,None,393039000,None,-219615000,None,36091000,2021000,172676000
2016-03-31,160637000,None,None,-47551000,69234000,56294000,51797000,84435000,-10831000,191644000,-45385000,-138248000,215613000,172047000,172047000,None,72632000,72632000,None,None,245000,None,-166841000,None,-10230000,12766000,186713000
2015-12-31,300179000,None,None,11019000,-220265000,63767000,120671000,-66699000,50364000,149171000,-123317000,-145356000,141943000,222830000,222830000,None,75526000,75526000,None,None,65827000,None,-215633000,None,31985000,479000,145232000
2015-09-30,366425000,None,None,115910000,11717000,57263000,82324000,19198000,13448000,196622000,-549644000,-365030000,179075000,734646000,734646000,None,77042000,77042000,None,None,245476000,None,-716507000,None,-561635000,-13386000,192201000
2015-06-30,213296000,None,None,-92507000,-1761000,54526000,71384000,-382000,-28883000,225235000,-78193000,441626000,-195854000,292603000,292603000,None,80513000,80513000,None,None,0,None,-261937000,None,576359000,-370000,220548000
2015-03-31,156209000,None,None,-102376000,19343000,52411000,99489000,50968000,2808000,214146000,-92204000,-39996000,176047000,149992000,149992000,None,73393000,73393000,None,None,0,None,-145109000,None,16783000,-7226000,211015000
2014-12-31,296981000,None,None,112016000,20416000,42420000,147194000,-40492000,72688000,151114000,-149134000,-227441000,13023000,207700000,207700000,None,76130000,76130000,None,None,38857000,None,-200582000,None,-93090000,-13496000,148839000
2014-09-30,334367000,None,None,79001000,48476000,53955000,83986000,64498000,6258000,233050000,-103329000,-233454000,-51628000,81573000,81573000,None,74380000,74380000,None,None,56650000,None,-71928000,None,-11973000,-9557000,230322000
2014-06-30,160948000,None,None,-50239000,75177000,48020000,90546000,19898000,44105000,209077000,-79416000,-131671000,-3459000,85294000,85294000,None,76203000,76203000,None,None,0,None,-63648000,None,-43857000,6282000,205915000
2014-03-31,167518000,None,None,-66526000,41504000,45776000,65664000,78676000,-30608000,219055000,-52179000,-165557000,38508000,150553000,150553000,None,64682000,64682000,None,None,0,None,-140383000,None,-55080000,-4862000,216653000
2013-12-31,246070000,None,None,100066000,88407000,38738000,123784000,-3603000,68593000,159393000,-126600000,-222376000,-3785000,158854000,158854000,None,66778000,66778000,None,None,0,None,-155954000,None,-109351000,-6445000,156749000
2013-09-30,353605000,None,None,66960000,-21926000,45351000,65186000,-25819000,12814000,213075000,-184046000,-118507000,3164000,77219000,77219000,None,65139000,65139000,None,None,0,None,-58849000,None,51254000,202000,210789000
2013-06-30,210406000,None,None,-20747000,53156000,41868000,40213000,54084000,2351000,220753000,-47303000,-152172000,-5192000,132603000,132603000,None,67003000,67003000,None,None,3750000,None,-107922000,None,3225000,-7706000,217660000
2013-03-31,176417000,None,None,-70809000,13591000,38945000,42962000,101803000,-60122000,214527000,-41478000,-97814000,-3832000,69797000,69797000,None,56546000,56546000,None,None,-3750000,None,-46336000,None,33453000,-3672000,211838000
2012-12-31,240086000,None,None,-31611000,-19814000,45711000,94697000,-85104000,26988000,158486000,-131584000,-71963000,264000,44074000,44074000,None,58079000,58079000,None,None,0,None,-26256000,None,31260000,-5279000,156267000
2012-09-30,337889000,None,None,117307000,-11530000,39896000,58785000,2409000,-7198000,157804000,-57371000,-114120000,-48120000,85477000,85477000,None,56637000,56637000,None,None,0,None,-70271000,None,171057000,4659000,155394000
2012-06-30,131982000,None,None,-28668000,87023000,36763000,55742000,42009000,31927000,193101000,-77333000,-152908000,2359000,149224000,149224000,None,58344000,58344000,None,None,296748000,None,-140405000,None,-89009000,9250000,190704000
2012-03-31,106238000,None,None,-133569000,-3200000,36679000,40636000,86639000,-36845000,189458000,-39368000,-55445000,1651000,61757000,61757000,None,47017000,47017000,None,None,3252000,None,-31516000,None,3264000,-8161000,187516000
2011-12-31,186137000,None,None,126514000,157841000,45627000,73102000,-53643000,164153000,151708000,-62977000,-145226000,8908000,49700000,49700000,None,47808000,47808000,None,None,0,None,-18200000,None,-25172000,-3106000,148484000
2011-09-30,250502000,None,None,77339000,67045000,37529000,44040000,31445000,58020000,184047000,-392279000,53232000,9933000,50613000,50613000,None,46936000,46936000,None,None,172464000,None,-35702000,None,-105042000,-16497000,182121000
2011-06-30,191078000,None,None,82144000,96765000,33473000,51407000,152912000,13719000,171569000,-51861000,-12022000,2739000,98000,98000,None,47449000,47449000,None,None,0,None,23955000,None,131009000,3814000,169885000
2011-03-31,118391000,None,None,-86377000,7340000,32571000,28393000,-45631000,-16212000,159088000,-27951000,-73430000,2980000,50671000,50671000,None,38334000,38334000,None,None,0,None,-36798000,None,21242000,4232000,157933000
2010-12-31,104474000,None,None,-35794000,-68889000,40455000,62257000,26017000,50085000,133201000,-52648000,-28971000,192903000,428000,428000,None,38210000,38210000,None,None,-200000000,None,17775000,None,26946000,4091000,132210000
2010-09-30,205687000,None,None,122934000,-94474000,37322000,37925000,-54037000,58856000,151297000,-48523000,-262540000,2865000,247872000,247872000,None,39500000,39500000,None,None,None,None,-225659000,None,-101549000,3827000,150405000
2010-06-30,173093000,None,None,53395000,-55212000,35977000,13123000,-36794000,-72916000,129667000,-45097000,-279859000,3745000,250139000,250139000,None,40553000,40553000,None,None,None,None,-235902000,None,-160412000,-8549000,129077000
2010-03-31,113191000,None,None,-38115000,1434000,35924000,13819000,-62976000,44520000,99417000,-22891000,-7217000,487000,6364000,6364000,None,34075000,34075000,None,None,None,None,25511000,None,88598000,5515000,99173000
2009-12-31,222657000,None,None,81407000,-29097000,43438000,-230566000,26184000,-369682000,97364000,-185665000,-251584000,0,245031000,-500423000,None,-234733000,34635000,None,None,None,None,531648000,None,-212164000,2428000,97058000
2009-09-30,277129000,None,None,65821000,44847000,35588000,36248000,-30008000,73868000,144564000,-27287000,1856000,-2180000,0,None,None,34875000,34875000,None,None,None,None,38464000,None,255744000,4046000,144564000
2009-06-30,190094000,None,None,None,None,34872000,23497000,None,73285000,92466000,-21228000,-12815000,None,0,None,None,34559000,34559000,None,None,None,None,None,None,158721000,2670000,92466000
