fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-01-28,403980000,None,None,-132229000,-173521000,64067000,47210000,-68094000,-103894000,218729000,-48154000,-133365000,None,0,0,None,150294000,150294000,None,None,None,None,18898000,None,None,None,218863000
2023-10-29,319091000,None,None,-9315000,-7276000,36879000,101682000,32425000,-56250000,195483000,-101055000,-149087000,0,0,0,None,150372000,150372000,None,None,0,None,3511000,None,None,None,195935000
2023-07-30,317002000,None,None,74014000,11423000,74754000,77948000,24706000,-6774000,162571000,-77421000,-144238000,0,0,0,None,149944000,149944000,None,None,0,None,5934000,None,None,None,162679000
2023-04-30,208125000,None,None,-33850000,13064000,70785000,53529000,-26568000,15544000,217215000,-59599000,-165169000,0,0,0,None,150599000,150599000,None,None,0,None,-12383000,None,-16643000,None,217239000
2023-01-29,203629000,None,None,-171368000,-33257000,61503000,37052000,-79561000,11766000,217651000,-451469000,-141570000,None,None,None,None,142017000,142017000,None,None,None,None,2635000,None,-389410000,None,217719000
2022-10-30,371820000,None,None,69873000,120454000,44317000,89734000,68309000,40351000,280011000,-86210000,-142221000,None,0,0,None,141916000,141916000,None,None,0,None,1842000,None,143389000,None,279884000
2022-07-31,186046000,None,None,-38053000,102122000,65132000,60971000,12623000,84890000,218826000,-46016000,-140462000,0,0,0,None,141860000,141860000,None,None,0,None,2872000,None,-432000,None,218915000
2022-05-01,193355000,None,None,39223000,195153000,62156000,78466000,-24218000,210171000,261679000,-76131000,-79982000,None,0,0,None,141154000,141154000,None,None,None,None,64033000,None,37242000,None,261617000
2022-01-30,383756000,None,None,-85554000,-78971000,64280000,49747000,-85079000,16251000,239710000,-49680000,-124019000,None,0,0,None,132909000,132909000,None,None,None,None,11053000,None,210057000,None,239571000
2021-10-31,564148000,None,None,145286000,-44199000,46819000,93055000,-156000,-57041000,281750000,-95519000,-143385000,0,10305000,10305000,None,132908000,132908000,None,None,0,None,-8412000,None,325244000,None,281738000
2021-07-25,76527000,None,None,73251000,217825000,59183000,53817000,171960000,47570000,177074000,-3443064000,2172364000,None,0,0,None,132419000,132419000,None,None,0,None,30667000,None,177074000,None,176917000
2021-04-25,155573000,None,None,20654000,130936000,52264000,45181000,16379000,142771000,227921000,-47955000,-373705000,None,816000,816000,None,132271000,132271000,None,None,None,None,10759000,None,227921000,None,227901000
2021-01-24,205686000,None,None,-124092000,-2314000,99307000,40363000,3444000,11876000,222395000,-39301000,-134754000,None,8837000,8837000,None,125516000,125516000,None,None,None,None,-7072000,None,31631000,None,222283000
2020-10-25,249938000,189045000,None,121839000,111193000,56007000,140671000,53463000,88869000,234526000,-150276000,-117820000,None,0,0,None,125373000,125373000,None,None,None,None,9682000,None,234526000,None,234356000
2020-07-26,329796000,4421000,None,109662000,19601000,6100000,88267000,113227000,-66405000,203260000,-82905000,872723000,None,0,0,None,125253000,125253000,None,None,None,None,7700000,None,210960000,None,203119000
2020-04-26,359872000,4788000,None,15764000,-24173000,5401000,80352000,-35682000,-35540000,227615000,-362631000,-110816000,None,12360000,12360000,None,124501000,124501000,None,None,None,None,28000000,None,255615000,None,227734000
2020-01-26,188418000,3662000,None,-135988000,8874000,45893000,58211000,-11492000,14915000,242953000,-60504000,-77915000,None,0,0,None,112249000,112249000,None,None,None,None,36353000,None,49999000,None,242872000
2019-10-27,350084000,None,None,50239000,-4250000,42995000,139607000,52455000,-66221000,255566000,-134788000,-100294000,None,0,0,None,112082000,112082000,None,None,None,None,11788000,None,255566000,None,255503000
2019-07-28,207319000,None,None,13999000,63179000,2600000,66610000,-8675000,78463000,199427000,-69886000,-215478000,0,106624000,106624000,None,112684000,112684000,None,None,None,None,3800000,None,203227000,None,199449000
2019-04-28,178168000,None,None,38971000,85901000,3100000,48191000,3628000,80700000,282636000,426506000,-481573000,0,22813000,22813000,None,112162000,112162000,None,None,None,None,28300000,None,310936000,3537000,282429000
2019-01-27,187425000,None,None,-147318000,264000,40048000,39430000,-36262000,30901000,241519000,-1679000,-128899000,0,44809000,44809000,None,100125000,100125000,None,None,None,None,-28812000,None,53553000,-3294000,241425000
2018-10-28,498524000,None,None,132558000,-6129000,40750000,145632000,42597000,-40634000,261496000,-139398000,-165639000,-95000000,2157000,2157000,None,99592000,99592000,None,None,None,None,28914000,None,190154000,-3333000,261406000
2018-07-29,299864000,None,None,38665000,7181000,3300000,102815000,8411000,-10167000,210353000,-109510000,-178584000,-90000000,0,0,None,99376000,99376000,None,None,None,None,10700000,None,7411000,-4359000,210243000
2018-04-29,139164000,None,None,-64770000,24822000,3000000,87466000,-17512000,37839000,237522000,-81161000,-182307000,-70000000,19542000,19542000,None,99325000,99325000,None,None,None,None,6500000,None,-124204000,100000,237384000
2018-01-28,304177000,None,None,-58077000,-48943000,39123000,53694000,-69629000,21255000,303211000,-905299000,538168000,255000000,25199000,25199000,None,89814000,89814000,None,None,None,None,-1744000,None,-58347000,4607000,303107000
2017-10-29,502492000,353354000,None,163956000,-67345000,34856000,102775000,46439000,-113910000,218363000,-610929000,-82280000,0,0,0,None,89669000,89669000,None,None,None,None,7389000,None,-189219000,1498000,218154000
2017-07-30,250841000,4155000,None,48744000,49037000,2100000,41536000,23688000,25090000,182551000,-40353000,-129280000,0,44904000,44904000,None,89834000,89834000,None,None,None,None,-39446000,None,84440000,3232000,182508000
2017-04-30,85303000,3074000,None,-117122000,45396000,2000000,39080000,-5529000,30279000,210886000,-41468000,-107392000,0,18995000,18995000,None,89878000,89878000,None,None,0,None,-17514000,None,-60920000,2637000,210926000
2017-01-29,195249000,17630000,None,-98131000,-17850000,31319000,37895000,-36507000,17513000,235303000,105571000,-99819000,0,30588000,30588000,None,76629000,76629000,None,None,None,None,-23190000,None,194678000,-6323000,235147000
2016-10-30,418334000,393367000,None,30787000,-25499000,35448000,89696000,26378000,-48298000,244190000,-80595000,-301006000,-145000000,42909000,42909000,None,76749000,76749000,None,None,None,None,-40067000,None,35546000,-1187000,243940000
2016-07-24,-232387000,2734000,None,3761000,-213000,2500000,65976000,9424000,26527000,195776000,-242914000,33113000,145000000,38618000,38618000,None,76866000,76866000,None,None,None,None,-37755000,None,-284000,-3034000,195654000
2016-04-24,215384000,16307000,None,-81440000,25377000,1900000,66372000,-6240000,32613000,215384000,-63984000,-61936000,0,0,0,None,76741000,76741000,None,None,None,None,-1502000,None,4666000,142000,215397000
2016-01-24,576012000,20149000,None,-27787000,-57429000,31804000,33480000,-50951000,1439000,235167000,-20981000,-227474000,-185000000,None,None,None,66137000,66137000,None,None,None,None,3514000,None,27976000,-2260000,235061000
2015-10-25,-419764000,318411000,None,117882000,46132000,34407000,47261000,56519000,6938000,187443000,-54254000,-244559000,-165000000,0,0,None,66073000,66073000,None,None,None,None,-22297000,None,-1930000,-4864000,187231000
2015-07-26,146956000,3379000,None,-6436000,-78494000,2300000,41818000,-51654000,756000,146956000,-808138000,289171000,None,None,None,None,66046000,66046000,None,None,None,None,1838000,None,-275226000,-767000,146938000
2015-04-26,180435000,7797000,None,-78931000,-48695000,1900000,27310000,3972000,-53307000,180435000,-35744000,-65877000,None,None,None,None,67495000,65914000,None,None,None,None,3942000,None,97298000,-316000,180201000
2015-01-25,503532000,2963000,None,-39944000,-86466000,32759000,27674000,-31288000,-36824000,172430000,-2811000,-49362000,None,None,None,None,52801000,52801000,None,None,None,None,2057000,None,192923000,-1406000,171718000
2014-10-26,171848000,305386000,None,98602000,-55663000,32910000,47311000,35481000,-84586000,171848000,-472545000,-77252000,None,None,None,None,52796000,52796000,None,None,None,None,-28842000,None,-196803000,481000,171264000
2014-07-27,139014000,7776000,None,24859000,48985000,2300000,34764000,21344000,23391000,139014000,-31785000,-54982000,None,None,None,None,52766000,52766000,None,None,None,None,-9992000,None,-33669000,-917000,137975000
2014-04-27,140706000,5927000,None,-83599000,125557000,2300000,40025000,10137000,129001000,140706000,-42312000,-59851000,None,None,None,None,52761000,52761000,None,None,None,None,-13017000,None,140706000,906000,140090000
2014-01-26,314292000,4111000,None,32445000,-88340000,31760000,37038000,-46476000,-46161000,154458000,-70133000,-37285000,None,None,None,None,44833000,44833000,None,None,None,None,3437000,None,411660000,-1044000,153348000
2013-10-27,158485000,243176000,None,25941000,16738000,31864000,38031000,37102000,-35759000,158485000,-36195000,-68625000,None,None,None,None,44894000,44894000,None,None,None,None,-24207000,None,457410000,382000,157340000
2013-07-28,113905000,792000,None,79575000,51451000,2400000,23237000,52159000,4876000,113905000,-23110000,-81316000,None,None,None,None,45021000,45021000,None,None,None,None,-37087000,None,113905000,-117000,113635000
2013-04-28,126641000,4877000,None,-62314000,-5975000,2600000,23441000,-4297000,-3977000,126641000,-698112000,-42625000,None,None,None,None,44967000,44967000,None,None,None,None,-2535000,None,126641000,63000,125520000
2013-01-27,141813000,13261000,None,-53949000,-117220000,29844000,22053000,-40505000,3161000,131045000,66343000,-2955000,None,None,None,None,39438000,39438000,None,None,None,None,23222000,None,410578000,88000,129716000
2012-10-28,134286000,241620000,None,114088000,60764000,30867000,38388000,32616000,23474000,134286000,-33852000,-50885000,None,None,None,None,39521000,39521000,None,None,None,None,-9884000,None,134286000,180000,132601000
2012-07-29,112407000,2193000,None,-25471000,22802000,2200000,35698000,35077000,14375000,112407000,-21076000,-41252000,None,None,None,None,39497000,39497000,None,None,None,None,-4722000,None,112407000,-256000,111167000
2012-04-29,128935000,2705000,None,-28934000,64536000,2100000,27759000,16843000,29844000,128935000,-23263000,-61709000,None,None,None,None,39586000,39586000,None,None,None,None,-24828000,None,128935000,262000,127887000
2012-01-29,152160000,1929000,None,-60167000,-44667000,30815000,30458000,-38605000,-2995000,129333000,-28573000,-38903000,None,None,None,None,33600000,33600000,None,None,None,None,-7232000,None,170976000,804000,128395000
2011-10-30,118495000,None,None,75467000,61924000,31238000,40658000,33183000,19948000,118495000,-98031000,-107257000,None,None,None,None,33984000,33984000,None,None,None,None,-69042000,None,118495000,-847000,117309000
2011-07-31,43506000,None,None,31120000,129240000,30646000,20361000,22135000,55487000,99964000,-40491000,-419355000,None,45930000,45930000,None,34066000,34066000,None,None,-93000,None,-39154000,None,-416340000,622000,98481000
2011-05-01,110587000,None,None,-25060000,-9068000,31084000,19155000,-885000,23108000,110702000,-13942000,218246000,None,None,None,None,34021000,34021000,None,None,None,None,-1238000,None,314891000,488000,109579000
2011-01-30,165332000,None,None,-77795000,-50386000,31197000,16737000,-24262000,-6491000,150035000,-18521000,-15843000,None,None,None,None,27904000,27904000,None,None,None,None,10284000,None,130968000,1030000,148826000
2010-10-31,213910000,None,None,None,None,33473000,26069000,None,2896000,122608000,-88974000,-34008000,None,16403000,None,None,27945000,27945000,None,None,None,None,-16403000,None,90928000,None,121148000
2010-07-25,92284000,None,None,None,None,30647000,22799000,None,23683000,86364000,-22458000,-48090000,None,None,None,None,28029000,28029000,None,None,None,None,-23345000,None,21736000,None,85370000
2010-04-25,65403000,None,None,None,None,30621000,20103000,None,36974000,78535000,-128443000,-30871000,None,None,None,None,28027000,28027000,None,None,None,None,-13745000,None,-93911000,None,77862000
2010-01-24,113935000,None,None,None,None,30850000,17652000,None,10356000,112269000,-18601000,-31494000,None,None,None,None,25373000,25373000,None,None,None,None,-16081000,None,63840000,None,111207000
2009-10-25,226645000,None,None,None,None,33064000,25932000,None,-22296000,104606000,-24988000,-111505000,None,None,None,None,25496000,25496000,None,None,None,None,-24271000,None,90152000,None,103876000
2009-07-26,68172000,None,None,None,None,31580000,25208000,None,7836000,78095000,None,-67229000,None,None,None,None,25504000,25504000,None,None,None,None,-3501000,None,None,None,77169000
