fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1215000000,None,None,None,None,187000000,217000000,None,None,512000000,-152000000,-754000000,-35000000,130000000,130000000,None,399000000,399000000,None,None,6000000,None,-130000000,None,None,None,509000000
2023-09-30,927000000,None,None,None,None,189000000,160000000,None,None,591000000,-191000000,-468000000,-29000000,32000000,32000000,None,399000000,399000000,None,None,0,None,-31000000,None,None,None,587000000
2023-06-30,787000000,None,None,None,None,189000000,188000000,None,None,86000000,40000000,-755000000,1000000,33000000,33000000,None,399000000,399000000,None,None,9000000,None,52000000,None,72000000,None,102000000
2023-03-31,613000000,None,None,None,None,188000000,201000000,None,None,575000000,-115000000,-397000000,-308000000,30000000,30000000,None,391000000,391000000,None,None,348000000,None,-19000000,None,101000000,None,566000000
2022-12-31,991000000,None,None,None,None,186000000,197000000,None,-76000000,515000000,-268000000,-651000000,-226000000,26000000,26000000,None,391000000,391000000,None,None,0,None,-16000000,None,None,None,507000000
2022-09-30,798000000,None,None,None,None,188000000,209000000,None,-76000000,470000000,-240000000,-489000000,-66000000,25000000,25000000,None,392000000,392000000,None,None,0,None,-16000000,None,470000000,None,467000000
2022-06-30,740000000,None,None,None,None,192000000,217000000,None,None,441000000,-161000000,-753000000,-281000000,24000000,24000000,None,391000000,391000000,None,None,0,None,28000000,None,441000000,None,437000000
2022-03-31,204000000,None,None,None,None,188000000,253000000,None,None,535000000,-116000000,133000000,834000000,25000000,25000000,None,384000000,384000000,None,None,0,None,-2000000,None,221000000,None,523000000
2021-12-31,1062000000,None,None,None,None,194000000,273000000,None,-417000000,361000000,-320000000,-755000000,-951000000,7000000,7000000,None,383000000,383000000,None,None,600000000,None,6000000,None,-24000000,None,357000000
2021-09-30,782000000,None,None,None,None,194000000,235000000,None,-417000000,479000000,-249000000,-547000000,-106000000,62000000,62000000,None,385000000,385000000,None,None,0,None,-37000000,None,479000000,None,469000000
2021-06-30,565000000,None,None,None,None,189000000,201000000,None,-417000000,410000000,-242000000,-342000000,216000000,162000000,162000000,None,389000000,389000000,None,None,0,None,-145000000,None,410000000,None,404000000
2021-03-31,321000000,None,None,None,None,189000000,298000000,None,-417000000,594000000,-245000000,-52000000,744000000,169000000,169000000,None,359000000,359000000,None,None,5000000,None,-159000000,None,24000000,None,584000000
2020-12-31,887000000,None,None,None,None,190000000,323000000,None,-96000000,546000000,-1328000000,-795000000,-64000000,251000000,251000000,None,364000000,364000000,None,None,3000000,None,-246000000,None,-1232000000,None,539000000
2020-09-30,559000000,None,None,None,None,192000000,258000000,None,-96000000,483000000,-287000000,-205000000,170000000,186000000,186000000,None,365000000,365000000,None,None,601000000,None,-109000000,None,483000000,None,472000000
2020-06-30,1579000000,None,None,None,None,201000000,284000000,None,-96000000,692000000,-331000000,-787000000,-385000000,49000000,49000000,None,365000000,365000000,None,None,0,None,-22000000,None,692000000,None,681000000
2020-03-31,704000000,None,None,None,None,213000000,352000000,None,-96000000,675000000,-359000000,220000000,-282000000,214000000,214000000,None,357000000,357000000,None,None,1241000000,None,-106000000,None,565000000,None,660000000
2019-12-31,924000000,None,None,None,None,217000000,342000000,None,24000000,556000000,-275000000,-632000000,-21000000,256000000,256000000,None,354000000,354000000,None,None,6000000,None,-239000000,None,26000000,9000000,547000000
2019-09-30,886000000,None,None,None,None,230000000,298000000,None,24000000,680000000,-245000000,-747000000,-219000000,214000000,214000000,None,354000000,354000000,None,None,4000000,None,-163000000,None,-118000000,-12000000,671000000
2019-06-30,609000000,None,None,None,None,236000000,253000000,None,24000000,495000000,-198000000,-371000000,-308000000,166000000,166000000,None,355000000,355000000,None,None,696000000,None,-32000000,None,43000000,3000000,485000000
2019-03-31,317000000,None,None,None,None,234000000,316000000,None,24000000,466000000,-324000000,-42000000,851000000,164000000,164000000,None,345000000,345000000,None,None,0,None,-138000000,None,-48000000,1000000,454000000
2018-12-31,949000000,None,None,None,None,230000000,311000000,None,-127000000,421000000,-270000000,-632000000,-487000000,204000000,204000000,None,347000000,347000000,None,None,507000000,None,-192000000,None,45000000,-2000000,411000000
2018-09-30,692000000,None,None,None,None,217000000,219000000,None,-127000000,462000000,-220000000,-453000000,349000000,176000000,176000000,None,348000000,348000000,None,None,0,None,-148000000,None,10000000,-9000000,451000000
2018-06-30,787000000,None,None,None,None,224000000,158000000,None,-127000000,465000000,-156000000,-747000000,-145000000,223000000,223000000,None,350000000,350000000,None,None,0,None,-215000000,None,-142000000,-26000000,455000000
2018-03-31,542000000,None,None,None,None,211000000,189000000,None,-127000000,97000000,-256000000,-283000000,249000000,197000000,197000000,None,341000000,341000000,None,None,0,None,-183000000,None,10000000,7000000,93000000
2017-12-31,863000000,None,None,None,None,184000000,190000000,None,-33000000,625000000,-174000000,-741000000,249000000,107000000,107000000,None,342000000,342000000,None,None,0,None,-100000000,None,-39000000,13000000,617000000
2017-09-30,805000000,None,None,None,None,182000000,209000000,None,None,579000000,-290000000,-916000000,-3000000,207000000,207000000,None,343000000,343000000,None,None,593000000,None,-200000000,None,-396000000,5000000,567000000
2017-06-30,825000000,None,None,None,None,180000000,171000000,None,None,540000000,-209000000,-397000000,-82000000,302000000,302000000,None,345000000,345000000,None,None,344000000,None,-273000000,None,216000000,-3000000,531000000
2017-03-31,436000000,None,None,None,None,178000000,215000000,None,None,575000000,-178000000,-367000000,196000000,295000000,295000000,None,329000000,329000000,None,None,0,None,-217000000,None,-88000000,21000000,563000000
2016-12-31,871000000,1024000000,None,None,None,177000000,189000000,None,230000000,518000000,-156000000,-648000000,-71000000,227000000,227000000,None,330000000,330000000,None,None,3000000,None,-217000000,None,39000000,-28000000,505000000
2016-09-30,948000000,5000000,None,None,None,179000000,185000000,None,None,563000000,-192000000,-534000000,-515000000,219000000,219000000,None,331000000,331000000,None,None,494000000,None,-180000000,None,228000000,6000000,550000000
2016-06-30,860000000,0,None,None,None,177000000,177000000,None,None,578000000,-155000000,-688000000,353000000,153000000,153000000,None,332000000,332000000,None,None,0,None,-126000000,None,21000000,4000000,566000000
2016-03-31,553000000,30000000,None,None,None,172000000,220000000,None,None,560000000,-229000000,-315000000,-675000000,140000000,140000000,None,318000000,318000000,None,None,796000000,None,-109000000,None,16000000,7000000,545000000
2015-12-31,665000000,566000000,None,None,None,181000000,258000000,None,-28000000,344000000,-227000000,-439000000,412000000,358000000,358000000,None,320000000,320000000,None,None,3000000,None,-320000000,None,-24000000,-23000000,333000000
2015-09-30,849000000,2000000,None,None,None,182000000,271000000,None,None,529000000,-297000000,-455000000,-292000000,145000000,145000000,None,321000000,321000000,None,None,587000000,None,-125000000,None,40000000,-57000000,517000000
