fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,2670000000,None,None,None,None,271000000,851000000,None,None,1986000000,-926000000,-4225000000,None,1096000000,1096000000,None,3874000000,3874000000,None,115000000,None,None,-981000000,None,None,None,1973000000
2023-09-30,4300000000,None,None,None,None,290000000,386000000,None,None,3083000000,-1657000000,-3087000000,None,109000000,109000000,None,1989000000,1989000000,None,65000000,None,None,-44000000,None,None,None,3087000000
2023-06-30,4469000000,None,None,None,None,281000000,339000000,None,None,2521000000,-883000000,-3063000000,None,236000000,236000000,None,1988000000,1988000000,None,130000000,None,None,-106000000,None,523000000,None,2547000000
2023-03-31,160000000,None,None,None,None,286000000,276000000,None,None,3113000000,117000000,2065000000,None,848000000,848000000,None,101000000,101000000,None,229000000,None,None,-619000000,None,2342000000,None,3107000000
2022-12-31,2950000000,None,None,None,None,307000000,708000000,None,-960000000,2056000000,1426000000,-5172000000,None,6000000,6000000,None,3706000000,3706000000,None,130000000,None,None,124000000,None,-796000000,None,2031000000
2022-09-30,3522000000,None,None,None,None,307000000,289000000,None,-960000000,2822000000,-1044000000,-1128000000,None,202000000,202000000,None,100000000,100000000,None,55000000,None,None,-147000000,None,1350000000,None,2825000000
2022-06-30,3923000000,None,None,None,None,322000000,270000000,None,None,1900000000,-1291000000,-975000000,None,664000000,664000000,None,1904000000,1904000000,None,203000000,None,None,-461000000,None,1657000000,None,1905000000
2022-03-31,623000000,None,None,None,None,324000000,217000000,None,None,2793000000,146000000,-2975000000,None,546000000,546000000,None,1906000000,1906000000,None,449000000,None,None,-97000000,None,-2206000000,None,2781000000
2021-12-31,3394000000,None,None,None,None,341000000,639000000,None,-135000000,2450000000,-4684000000,-195000000,None,7000000,7000000,None,1815000000,1815000000,None,209000000,None,None,202000000,None,-1588000000,-103000000,2414000000
2021-09-30,3706000000,None,None,None,None,362000000,278000000,None,-135000000,2475000000,166000000,-1629000000,None,0,0,None,1814000000,1814000000,None,151000000,None,None,151000000,None,2105000000,-138000000,2471000000
