fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-02-02,1108000000,762000000,None,-1234000000,-581000000,496000000,620000000,None,-635000000,1020000000,-595000000,-802000000,0,201000000,201000000,None,632000000,632000000,None,None,None,None,-139000000,None,None,None,1020000000
2023-11-03,1064000000,699000000,None,-1241000000,95000000,486000000,579000000,None,107000000,1773000000,-591000000,-2757000000,0,1581000000,1581000000,None,642000000,642000000,None,None,0,None,-1578000000,None,None,None,1773000000
2023-08-04,3862000000,None,None,None,None,476000000,385000000,None,-2099000000,2673000000,-411000000,-2907000000,0,2250000000,0,None,624000000,624000000,None,None,0,None,0,None,544000000,None,2673000000
2023-04-30,2106000000,None,None,None,None,465000000,380000000,None,-990000000,2260000000,-304000000,-200000000,0,None,0,None,633000000,633000000,None,None,0,None,0,None,1602000000,None,2260000000
2023-02-03,451000000,884000000,None,-1353000000,250000000,472000000,739000000,None,286000000,958000000,-194000000,-2117000000,499000000,1997000000,1997000000,None,643000000,643000000,None,None,None,None,-1932000000,None,-1860000000,None,958000000
2022-10-28,2126000000,473000000,None,-104000000,440000000,502000000,403000000,None,580000000,154000000,-406000000,22000000,0,3999000000,3999000000,None,666000000,666000000,None,None,None,None,-3985000000,None,1742000000,None,154000000
2022-07-29,3035000000,61000000,None,-1638000000,-1010000000,504000000,344000000,None,-918000000,2992000000,-399000000,-4568000000,0,4091000000,4091000000,None,524000000,524000000,None,None,None,None,-4020000000,None,-1932000000,None,2992000000
2022-04-29,2977000000,375000000,None,2751000000,2858000000,503000000,343000000,None,2646000000,2333000000,-310000000,-386000000,0,4037000000,4037000000,None,537000000,537000000,None,None,None,None,-4036000000,None,2281000000,None,2333000000
2022-01-28,934000000,813000000,None,-150000000,860000000,494000000,597000000,None,967000000,1207000000,-286000000,-5625000000,0,4013000000,4013000000,None,551000000,551000000,None,None,None,None,-3953000000,None,-4985000000,-8000000,1207000000
2021-10-29,2266000000,325000000,None,-1028000000,-723000000,481000000,410000000,None,-650000000,1896000000,485000000,-1464000000,0,2825000000,2825000000,None,563000000,563000000,None,None,None,None,-2816000000,None,1896000000,None,1896000000
