fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,2488900000,46600000,None,None,None,90500000,895000000,None,None,2552600000,-839400000,-585700000,350200000,851800000,851800000,None,1208100000,1208100000,None,None,2170700000,None,-802900000,None,None,None,2039000000
2023-09-30,3029000000,35700000,None,None,None,96700000,662200000,None,None,2657800000,-933300000,-136200000,6900000,1054400000,1054400000,None,1104700000,1104700000,None,None,1996100000,None,-992200000,None,None,None,2317100000
2023-06-30,1673300000,86200000,None,None,None,95200000,640500000,None,None,2640600000,-670500000,-3093800000,-157100000,569700000,569700000,None,1108800000,1108800000,None,None,0,None,-494800000,None,-2091000000,None,2310400000
2023-03-31,2420700000,3200000,None,None,None,99300000,600900000,None,None,2132000000,-741300000,-558400000,12800000,578400000,578400000,None,1111200000,1111200000,None,None,1054300000,None,-504600000,None,1121000000,None,1802300000
2022-12-31,2201400000,None,None,None,None,91400000,986400000,-264100000,5600000,2339500000,-1071300000,-1517000000,14800000,489100000,489100000,None,1111500000,1111500000,None,None,0,None,-409200000,None,-386900000,None,1903400000
2022-09-30,2433900000,None,None,None,None,93300000,683500000,None,5600000,2287800000,-733100000,-546400000,-305400000,869200000,869200000,None,1014700000,1014700000,None,None,1500000000,None,-806800000,None,1154400000,None,1981600000
2022-06-30,618100000,None,None,None,None,93000000,548400000,None,None,1478600000,-319200000,-686700000,310100000,1031200000,1031200000,None,1016900000,1016900000,None,None,1874500000,None,-984000000,None,-387800000,None,1188000000
2022-03-31,2133300000,None,None,None,None,92700000,487900000,None,None,1391700000,-554500000,-3830100000,6000000,1506500000,1506500000,None,1025100000,1025100000,None,None,0,None,-1447800000,None,-2373500000,-122200000,1104400000
2021-12-31,2666500000,None,1195500000,None,None,86500000,944700000,309900000,-62200000,2111100000,-1122700000,-1098000000,7500000,803300000,803300000,None,1029100000,1029100000,None,None,1154400000,None,-716200000,None,403400000,-42400000,1638800000
2021-09-30,2617800000,None,1243100000,None,None,84100000,530100000,None,-62200000,2443600000,-384900000,-927400000,-300000,17700000,17700000,None,963900000,963900000,None,None,0,None,48900000,None,1256400000,-49100000,2149900000
