fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-01-26,2474000000,484000000,None,446000000,-63000000,649000000,346000000,23000000,-86000000,1337000000,-707000000,-1500000000,-311000000,132000000,132000000,None,917000000,917000000,None,None,0,None,-75000000,None,None,None,1322000000
2023-10-27,661000000,193000000,None,-26000000,487000000,672000000,461000000,281000000,206000000,911000000,-424000000,-90000000,821000000,226000000,226000000,None,918000000,918000000,None,None,0,None,-154000000,None,None,None,909000000
2023-07-28,875000000,84000000,None,-673000000,246000000,672000000,354000000,-164000000,410000000,797000000,-539000000,-501000000,500000000,152000000,152000000,None,918000000,918000000,None,None,0,None,-75000000,None,None,None,791000000
2023-04-28,2460000000,987000000,None,533000000,171000000,679000000,378000000,168000000,3000000,1189000000,-475000000,-4890000000,-2904000000,97000000,97000000,None,905000000,905000000,None,None,1979000000,None,2000000,None,-2905000000,None,1179000000
2023-01-27,1574000000,-192000000,None,177000000,214000000,679000000,332000000,62000000,152000000,1229000000,-287000000,-2134000000,276000000,71000000,71000000,None,904000000,904000000,None,None,0,None,-15000000,None,-847000000,None,1222000000
2022-10-28,922000000,283000000,None,133000000,839000000,671000000,323000000,435000000,404000000,435000000,-1146000000,3014000000,349000000,141000000,141000000,None,904000000,904000000,None,None,0,None,-31000000,None,2790000000,None,427000000
2022-07-29,1083000000,171000000,None,-147000000,291000000,668000000,426000000,-89000000,380000000,931000000,-1585000000,-950000000,2284000000,336000000,336000000,None,903000000,903000000,None,None,None,None,-293000000,None,-1452000000,None,929000000
2022-04-29,2057000000,797000000,None,207000000,466000000,688000000,389000000,265000000,201000000,1492000000,271000000,-1949000000,0,1406000000,1406000000,None,843000000,843000000,None,None,0,None,-1321000000,None,379000000,None,1485000000
2022-01-28,2228000000,15000000,None,452000000,244000000,672000000,330000000,41000000,203000000,1483000000,-437000000,-1177000000,0,394000000,394000000,None,847000000,847000000,None,None,0,None,-324000000,None,3883000000,None,1480000000
2021-10-29,1769000000,217000000,None,-30000000,212000000,676000000,271000000,131000000,81000000,1317000000,-709000000,-1155000000,0,429000000,429000000,None,847000000,847000000,None,None,0,None,-266000000,None,3590000000,None,1311000000
2021-07-30,1292000000,63000000,None,-416000000,115000000,671000000,378000000,40000000,75000000,769000000,-784000000,-1055000000,0,315000000,315000000,None,846000000,846000000,None,None,None,None,-204000000,None,-547000000,None,763000000
2021-04-30,1745000000,464000000,None,2000000,158000000,684000000,377000000,311000000,-153000000,1366000000,1919000000,-5129000000,-2853000000,575000000,575000000,None,781000000,781000000,None,None,0,None,-415000000,None,-1465000000,None,1360000000
2021-01-29,2356000000,13000000,None,421000000,-289000000,678000000,363000000,-219000000,-70000000,1279000000,-2773000000,-998000000,-254000000,9000000,9000000,None,781000000,781000000,None,None,0,None,186000000,None,3674000000,None,1270000000
2020-10-30,1861000000,249000000,None,649000000,437000000,671000000,281000000,527000000,-90000000,494000000,-2020000000,32000000,-41000000,68000000,68000000,None,780000000,780000000,None,None,7172000000,None,25000000,None,2419000000,None,489000000
2020-07-31,278000000,72000000,None,-541000000,377000000,669000000,334000000,142000000,235000000,491000000,8000000,1959000000,2773000000,0,0,None,778000000,778000000,None,None,0,None,26000000,None,2245000000,None,487000000
2020-04-24,1450000000,349000000,None,-147000000,-1179000000,672000000,336000000,-1410000000,231000000,640000000,365000000,-1310000000,-34000000,118000000,118000000,None,724000000,724000000,None,None,0,None,-41000000,None,640000000,None,646000000
2020-01-24,2407000000,83000000,None,397000000,237000000,663000000,293000000,158000000,79000000,1919000000,-1801000000,-873000000,-25000000,246000000,246000000,None,723000000,723000000,None,None,0,None,-93000000,None,4448000000,None,1915000000
2019-10-25,1867000000,289000000,None,335000000,425000000,671000000,283000000,280000000,145000000,1371000000,-1216000000,-1741000000,-46000000,629000000,629000000,None,723000000,723000000,None,None,1000000,None,-407000000,None,3063000000,None,1364000000
2019-07-26,1510000000,143000000,None,-629000000,-197000000,657000000,301000000,-319000000,122000000,877000000,-551000000,-274000000,88000000,333000000,333000000,None,724000000,724000000,None,None,5567000000,None,-123000000,None,687000000,2000000,864000000
2019-04-26,2087000000,433000000,None,188000000,348000000,667000000,335000000,441000000,-93000000,1182000000,-529000000,-860000000,-17000000,149000000,149000000,None,671000000,671000000,None,None,7791000000,None,-48000000,None,1182000000,None,1172000000
2019-01-25,2055000000,58000000,None,187000000,158000000,675000000,302000000,103000000,55000000,1271000000,-1009000000,-1268000000,4000000,681000000,681000000,None,671000000,671000000,None,None,2000000,None,-590000000,None,-208000000,14000000,1269000000
