fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-02-29,138400000,1800000,None,14400000,-14200000,45800000,62000000,-16500000,2300000,166000000,-61800000,-67700000,57300000,300000,300000,None,112700000,112700000,None,None,None,None,4100000,None,None,None,166000000
2023-11-30,577200000,382900000,None,22300000,-111600000,48900000,76700000,-26300000,-85300000,219300000,-75700000,-483000000,-114600000,9000000,9000000,None,-312900000,104700000,None,None,None,None,-8300000,None,None,None,219300000
2023-08-31,265900000,3800000,None,-8500000,-18600000,53800000,68600000,49400000,-68000000,170100000,-68700000,-183100000,-73200000,8100000,8100000,None,104600000,104600000,None,0,0,None,-3300000,None,None,None,170100000
2023-05-31,290800000,1700000,None,-27100000,-88700000,48800000,57100000,-16800000,-71900000,152100000,-54600000,-473400000,-844700000,15100000,15100000,None,104600000,104600000,None,0,0,None,-9200000,None,None,None,152100000
2023-02-28,103400000,1900000,None,-54800000,-9500000,47800000,61500000,-9700000,200000,139100000,-61500000,-44700000,67900000,3500000,3500000,None,104600000,104600000,None,0,0,None,1700000,None,-2800000,None,139100000
2022-11-30,401400000,376800000,None,24500000,-31000000,52400000,95200000,2200000,-33200000,185700000,-90900000,-313500000,-199800000,12700000,12700000,None,-296700000,99200000,None,0,0,None,-11200000,None,-3000000,None,185700000
2022-08-31,95700000,5800000,None,34300000,168900000,50000000,65200000,90900000,78000000,222900000,33700000,-92000000,770100000,13200000,13200000,None,99300000,99300000,None,0,0,None,-9400000,None,235100000,None,222900000
2022-05-31,136500000,2100000,None,61300000,96500000,49200000,57900000,-14100000,110600000,118500000,-45500000,-86100000,30700000,4200000,4200000,None,99200000,99200000,None,0,0,None,1600000,None,144300000,None,118500000
2022-02-28,17900000,2000000,None,5200000,16700000,49000000,43700000,-33200000,49900000,154900000,-43700000,4400000,97300000,8700000,8700000,None,99000000,99000000,None,0,0,None,21600000,None,-21400000,None,154900000
2021-11-30,455400000,357200000,None,51600000,21100000,47200000,88100000,23900000,-2800000,197400000,-78000000,-325000000,-227800000,5400000,5400000,None,-271700000,90900000,None,0,0,None,-2400000,None,52400000,None,197400000
