fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1986000000,None,None,171000000,-532000000,537000000,358000000,-201000000,-331000000,947000000,-301000000,-924000000,-280000000,2000000,2000000,None,828000000,828000000,None,None,None,None,17000000,19000000,None,None,945000000
2023-09-30,1910000000,None,None,23000000,-157000000,535000000,405000000,-22000000,-135000000,-2071000000,-287000000,-704000000,-166000000,2000000,2000000,None,828000000,828000000,None,None,None,None,25000000,27000000,None,None,-2075000000
2023-06-30,1509000000,None,None,-273000000,310000000,449000000,377000000,320000000,-10000000,-6836000000,-233000000,-803000000,651000000,0,0,None,828000000,828000000,None,None,None,None,31000000,31000000,473000000,None,-6841000000
2023-03-31,1275000000,None,None,-1000000,-18000000,466000000,475000000,73000000,-91000000,981000000,-386000000,-716000000,0,29000000,29000000,None,827000000,827000000,None,None,None,None,158000000,187000000,173000000,None,976000000
2022-12-31,1922000000,None,None,-100000000,-751000000,460000000,506000000,-362000000,-389000000,543000000,-388000000,-1315000000,0,536000000,536000000,None,819000000,819000000,None,None,None,None,-465000000,71000000,219000000,None,541000000
2022-09-30,1531000000,None,None,-228000000,191000000,450000000,435000000,10000000,181000000,3863000000,156000000,-933000000,-4000000,155000000,155000000,None,850000000,850000000,None,None,None,None,-72000000,83000000,754000000,None,3859000000
2022-06-30,1127000000,None,None,-48000000,786000000,462000000,384000000,268000000,518000000,82000000,-551000000,-1048000000,349000000,0,0,None,848000000,848000000,None,None,None,None,63000000,63000000,82000000,None,78000000
2022-03-31,1011000000,None,None,440000000,508000000,459000000,424000000,189000000,319000000,1303000000,-263000000,-2054000000,-5000000,773000000,773000000,None,852000000,852000000,None,None,None,None,-609000000,164000000,-1306000000,None,1299000000
2021-12-31,2005000000,None,None,-25000000,-122000000,507000000,556000000,-202000000,80000000,1340000000,115000000,-2412000000,-6000000,938000000,938000000,None,848000000,848000000,None,None,None,None,-865000000,73000000,-292000000,None,1339000000
2021-09-30,1874000000,None,None,29000000,166000000,476000000,343000000,-13000000,179000000,1437000000,-389000000,-1299000000,0,527000000,527000000,None,856000000,856000000,None,None,None,None,-441000000,86000000,1437000000,None,1434000000
2021-06-30,1887000000,None,None,73000000,472000000,472000000,394000000,132000000,340000000,1525000000,-674000000,-1183000000,-2000000,503000000,503000000,None,858000000,858000000,None,None,None,None,-316000000,187000000,1525000000,29000000,1524000000
2021-03-31,1688000000,None,None,197000000,509000000,460000000,310000000,205000000,304000000,1627000000,-369000000,-1251000000,6000000,231000000,231000000,None,858000000,858000000,None,None,None,None,62000000,293000000,2000000,-66000000,1624000000
2020-12-31,2515000000,None,None,286000000,82000000,498000000,422000000,-52000000,134000000,1390000000,-259000000,-1802000000,-5000000,2000000,2000000,None,848000000,848000000,None,None,None,None,102000000,104000000,1390000000,59000000,1389000000
2020-09-30,2480000000,None,None,94000000,-113000000,481000000,368000000,128000000,-241000000,1434000000,-523000000,-2097000000,-6000000,0,0,None,847000000,847000000,None,None,None,None,89000000,89000000,1417000000,42000000,1430000000
2020-06-30,1905000000,None,None,-76000000,-393000000,492000000,379000000,-384000000,-9000000,1303000000,577000000,-2509000000,-594000000,1000000,1000000,None,846000000,846000000,None,None,None,None,86000000,87000000,1287000000,-7000000,1306000000
2020-03-31,1213000000,None,None,80000000,350000000,440000000,332000000,143000000,207000000,1310000000,-375000000,1108000000,462000000,365000000,365000000,None,847000000,847000000,None,None,None,None,-216000000,149000000,1900000000,-46000000,1308000000
2019-12-31,2338000000,449000000,None,363000000,-474000000,463000000,538000000,-359000000,-115000000,970000000,-5299000000,-2451000000,150000000,164000000,164000000,None,828000000,828000000,None,None,None,None,-54000000,110000000,970000000,34000000,969000000
2019-09-30,2022000000,76000000,None,61000000,-424000000,379000000,349000000,-244000000,-180000000,1588000000,90000000,2804000000,-25000000,142000000,142000000,None,828000000,828000000,None,None,None,None,-70000000,72000000,1588000000,-34000000,1583000000
2019-06-30,1662000000,None,None,-333000000,-73000000,376000000,421000000,180000000,-253000000,1131000000,-10000000,-1735000000,-13000000,400000000,400000000,None,830000000,830000000,None,None,None,None,-250000000,150000000,1131000000,-6000000,1127000000
2019-03-31,1048000000,None,None,-3000000,256000000,375000000,391000000,78000000,178000000,893000000,-1225000000,258000000,-428000000,701000000,701000000,None,830000000,830000000,None,None,None,None,-486000000,215000000,85000000,4000000,891000000
2018-12-31,2258000000,None,None,272000000,-344000000,371000000,531000000,-291000000,-53000000,1349000000,-416000000,-2152000000,414000000,1269000000,1269000000,None,787000000,787000000,None,None,None,None,-1185000000,84000000,1349000000,-22000000,1347000000
2018-09-30,2139000000,None,None,48000000,215000000,355000000,377000000,-10000000,225000000,1546000000,-269000000,-1453000000,-1472000000,1064000000,1064000000,None,794000000,794000000,None,None,None,None,-968000000,96000000,1546000000,-33000000,1543000000
2018-06-30,1899000000,None,None,98000000,474000000,380000000,365000000,346000000,128000000,1862000000,626000000,-3142000000,-807000000,1600000000,1600000000,None,802000000,802000000,None,None,None,None,-1514000000,86000000,1862000000,-73000000,1857000000
2018-03-31,143000000,None,None,124000000,469000000,382000000,304000000,260000000,209000000,606000000,281000000,46000000,1581000000,937000000,937000000,None,810000000,810000000,None,None,None,None,-718000000,219000000,438000000,-32000000,602000000
2017-12-31,1860000000,None,None,767000000,-399000000,349000000,459000000,-350000000,-49000000,525000000,-2732000000,1044000000,518000000,504000000,504000000,None,699000000,699000000,None,None,None,None,-352000000,152000000,525000000,50000000,523000000
2017-09-30,1750000000,None,None,27000000,272000000,377000000,325000000,183000000,89000000,1433000000,-781000000,-843000000,173000000,380000000,380000000,None,701000000,701000000,None,None,None,None,-294000000,86000000,1433000000,51000000,1429000000
2017-06-30,1642000000,None,None,96000000,373000000,380000000,302000000,175000000,198000000,1585000000,517000000,-1705000000,-45000000,494000000,494000000,None,701000000,701000000,None,None,None,None,-313000000,181000000,1585000000,27000000,1583000000
2017-03-31,988000000,None,None,101000000,386000000,438000000,287000000,237000000,149000000,1326000000,-90000000,-1151000000,-68000000,690000000,690000000,None,702000000,702000000,None,None,None,None,-375000000,315000000,-225000000,28000000,1323000000
2016-12-31,2209000000,203000000,None,201000000,-228000000,384000000,436000000,-156000000,-72000000,1156000000,-230000000,-1846000000,-299000000,924000000,924000000,None,664000000,664000000,None,None,None,None,-861000000,63000000,90000000,-43000000,1155000000
2016-09-30,1908000000,13000000,None,207000000,23000000,368000000,347000000,50000000,-27000000,1331000000,-543000000,-752000000,-161000000,774000000,774000000,None,670000000,670000000,None,None,None,None,-645000000,129000000,620000000,7000000,1329000000
2016-06-30,71000000,10000000,None,-377000000,179000000,366000000,323000000,174000000,5000000,1293000000,-350000000,-602000000,-475000000,828000000,828000000,None,672000000,672000000,None,None,None,None,-573000000,255000000,351000000,18000000,1291000000
2016-03-31,1252000000,25000000,None,218000000,282000000,356000000,314000000,245000000,37000000,1278000000,-280000000,-1426000000,138000000,1227000000,1227000000,None,672000000,672000000,None,None,None,None,-870000000,357000000,-461000000,-15000000,1275000000
2015-12-31,-1070000000,27000000,None,-35000000,-562000000,397000000,446000000,-420000000,-142000000,1039000000,-206000000,-1954000000,-300000000,1134000000,1134000000,None,628000000,628000000,None,None,None,None,-1017000000,117000000,193000000,15000000,1038000000
2015-09-30,1298000000,8000000,None,-245000000,-98000000,355000000,354000000,32000000,-130000000,1298000000,-2777000000,-220000000,1199000000,1523000000,1523000000,None,635000000,635000000,None,None,None,None,-1455000000,68000000,-1378000000,-45000000,1296000000
2015-06-30,1303000000,28000000,None,-611000000,288000000,344000000,370000000,150000000,138000000,1303000000,166000000,-320000000,-35000000,1695000000,1695000000,None,646000000,646000000,None,None,None,None,-1554000000,141000000,1192000000,8000000,1300000000
2015-03-31,2083000000,101000000,None,156000000,427000000,339000000,291000000,296000000,131000000,1201000000,0,-1154000000,-4000000,886000000,886000000,None,652000000,652000000,None,None,None,None,-577000000,309000000,-106000000,-32000000,1199000000
2014-12-31,1179000000,224000000,None,190000000,-438000000,350000000,490000000,-319000000,-119000000,1179000000,-18000000,-2130000000,-1908000000,1279000000,1279000000,None,544000000,544000000,None,None,None,None,-1050000000,229000000,-32000000,-67000000,1179000000
2014-09-30,1311000000,24000000,None,18000000,93000000,350000000,369000000,103000000,-10000000,1311000000,1000000,-1889000000,1873000000,1239000000,1239000000,None,550000000,550000000,None,None,None,None,-1085000000,154000000,-196000000,-19000000,1303000000
2014-06-30,1283000000,46000000,None,-146000000,248000000,358000000,341000000,137000000,111000000,1283000000,-292000000,-1185000000,-404000000,1426000000,1426000000,None,556000000,556000000,None,None,None,None,-1108000000,318000000,171000000,8000000,1267000000
2014-03-31,1092000000,51000000,None,219000000,478000000,350000000,293000000,347000000,131000000,1225000000,-287000000,-1399000000,466000000,1708000000,1708000000,None,566000000,566000000,None,None,None,None,-1441000000,267000000,-627000000,-33000000,1207000000
2013-12-31,1116000000,193000000,None,223000000,-375000000,357000000,543000000,-306000000,-69000000,1116000000,-154000000,-1603000000,-609000000,1674000000,1674000000,None,423000000,423000000,None,None,None,None,-1437000000,237000000,241000000,5000000,1103000000
2013-09-30,1245000000,17000000,None,-366000000,3000000,343000000,404000000,15000000,-12000000,1245000000,38000000,-1916000000,619000000,1543000000,1543000000,None,431000000,431000000,None,None,None,None,-1274000000,269000000,-602000000,125000000,1230000000
2013-06-30,1213000000,17000000,None,169000000,320000000,335000000,394000000,181000000,139000000,1213000000,-335000000,-1241000000,1000000,1190000000,1190000000,None,436000000,436000000,None,None,None,None,-825000000,365000000,14000000,-89000000,1197000000
