fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-01-31,172356000,None,None,None,None,33544000,7530000,None,None,109572000,-5725000,-140491000,None,7371000,7371000,None,38855000,38855000,None,14418000,805000,None,7047000,None,None,None,109572000
2023-10-31,163210000,None,None,None,None,31261000,10339000,None,None,127778000,-1034883000,852586000,None,11545000,11545000,None,38809000,38809000,None,2924000,899445000,None,-8621000,None,None,None,127778000
2023-07-31,190167000,None,None,None,None,27102000,8895000,None,None,127891000,-8843000,-166896000,0,23798000,23798000,None,37084000,37084000,None,6641000,493351000,None,-17157000,None,14428000,None,127891000
2023-04-30,164568000,None,None,None,None,27101000,6047000,None,None,127563000,-6017000,-150871000,0,47490000,47490000,None,37264000,37264000,None,3001000,218822000,None,-44489000,None,7680000,None,127563000
2023-01-31,123337000,None,None,None,None,26434000,9302000,None,None,104261000,-387136000,215693000,0,6875000,6875000,None,37199000,37199000,None,8807000,566978000,None,1932000,None,-48106000,None,104261000
2022-10-31,173440000,None,None,None,None,24681000,12055000,-72907000,-69132000,141249000,-12190000,-121588000,0,29102000,29102000,None,37239000,37239000,None,3279000,0,None,-25823000,None,39662000,None,141249000
2022-07-31,125190000,None,None,None,None,24887000,14597000,None,None,141811000,-14197000,-101483000,0,93301000,93301000,None,29374000,29374000,None,1047000,54628000,None,-92254000,None,9510000,None,141811000
2022-04-30,96414000,None,None,None,None,24965000,12285000,None,None,109634000,-12277000,-131033000,0,105464000,105464000,None,29577000,29577000,None,2077000,8078000,None,-103387000,None,122027000,None,109634000
2022-01-31,118087000,None,None,None,None,25390000,12491000,None,None,120409000,-184097000,-61902000,0,35002000,35002000,None,29724000,29724000,None,5721000,361000,None,-29281000,None,-127912000,None,120409000
2021-10-31,170471000,None,None,181128000,None,12940000,10230000,None,-50584000,110460000,-10172000,-34787000,0,14130000,14130000,None,29662000,29662000,None,7644000,3663000,None,-6486000,None,12940000,None,110460000
