fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,2878000000,666000000,None,-324000000,-153000000,1681000000,2094000000,None,None,915000000,-4690000000,2446000000,-1255000000,None,None,None,959000000,959000000,None,9000000,3879000000,None,9000000,None,None,None,1210000000
2023-09-30,3664000000,646000000,None,478000000,938000000,2026000000,2656000000,None,None,1019000000,-5963000000,2335000000,1299000000,0,0,None,947000000,947000000,None,2002000000,0,None,2002000000,None,None,None,1219000000
2023-06-30,3086000000,602000000,None,597000000,853000000,1551000000,2504000000,None,None,2564000000,-4997000000,478000000,629000000,0,0,None,946000000,946000000,None,1000000,3323000000,None,1000000,None,-1433000000,None,2795000000
2023-03-31,1673000000,549000000,None,-1794000000,-889000000,893000000,2294000000,None,None,1785000000,-7817000000,6890000000,1635000000,0,0,None,930000000,930000000,None,2502000000,6655000000,None,2502000000,None,746000000,None,2086000000
2022-12-31,995000000,547000000,None,-70000000,910000000,1247000000,3165000000,None,None,1267000000,-4510000000,2991000000,214000000,0,0,None,845000000,845000000,None,2000000,2240000000,None,2000000,None,-524000000,None,1522000000
2022-09-30,2474000000,162000000,None,304000000,120000000,1356000000,2052000000,None,None,1559000000,-4541000000,1543000000,-86000000,0,0,None,836000000,836000000,None,1457000000,2001000000,None,1457000000,None,-524000000,None,1696000000
2022-06-30,2831000000,423000000,None,1880000000,1004000000,1227000000,2225000000,None,None,1113000000,-4615000000,3542000000,-244000000,0,0,None,835000000,835000000,None,0,5306000000,None,0,None,1758000000,None,1380000000
2022-03-31,1962000000,243000000,None,-273000000,206000000,960000000,2300000000,None,None,-693000000,-4693000000,4153000000,1073000000,0,0,None,836000000,836000000,None,1000000,4309000000,None,1000000,None,1422000000,None,-451000000
2021-12-31,1317000000,445000000,None,-81000000,186000000,1050000000,2624000000,None,None,953000000,-1746000000,741000000,-2211000000,0,0,None,757000000,757000000,None,7000000,7069000000,None,7000000,None,312000000,None,1204000000
2021-09-30,2741000000,None,None,832000000,727000000,1298000000,1764000000,None,None,304000000,-3684000000,517000000,3035000000,0,0,None,756000000,756000000,None,2000000,2255000000,None,2000000,None,304000000,None,447000000
