fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1520322000,None,None,200511000,-208106000,311461000,717909000,-492204000,284098000,872832000,-655889000,-348469000,-11728000,177176000,177176000,None,149181000,126538000,None,None,0,None,-175795000,None,None,None,785399000
2023-09-30,2464012000,None,None,-6299000,-825428000,58500000,439162000,-441935000,-383493000,1221255000,-460882000,-654944000,2600000,500059000,500059000,None,151735000,128102000,None,0,0,None,-496832000,None,None,None,1141506000
2023-06-30,1920424000,None,None,None,None,58400000,525353000,None,35743000,1587075000,-609877000,-668724000,4023000,450878000,0,None,129369000,129369000,None,0,0,None,0,None,None,None,1461354000
2023-03-31,1207173000,None,None,None,None,279858000,531733000,-67505000,138694000,1231629000,-769783000,-920674000,-19765000,425820000,None,None,130525000,130525000,None,None,None,None,-425820000,None,-483284000,None,1136542000
2022-12-31,2533533000,None,None,-197736000,-1197332000,287221000,517772000,-605976000,-591356000,1326245000,-715516000,-585842000,-15568000,400029000,400029000,None,160960000,129439000,None,0,0,None,-398781000,None,1326245000,None,1255733000
2022-09-30,2804780000,None,None,-459597000,-1072862000,77200000,461330000,-543818000,-529044000,1799043000,-450923000,-1310679000,-35860000,652078000,652078000,None,164349000,132112000,None,None,0,None,-649293000,None,1799043000,None,1694748000
2022-06-30,2261573000,None,None,130346000,838352000,45900000,521113000,556175000,282177000,2727237000,-3554589000,-425033000,13988000,802569000,802569000,None,191428000,134451000,None,None,998875000,None,-800336000,None,2727237000,None,2561233000
2022-03-31,2472168000,None,None,-151601000,-31807000,236889000,447682000,92394000,-124201000,2227115000,-981681000,-189309000,-21202000,905324000,905324000,None,349145000,137587000,None,None,1093059000,None,-888738000,None,2227115000,None,2095623000
2021-12-31,2610413000,None,None,253551000,100014000,241288000,414901000,-230584000,330598000,2340132000,-497343000,-1648014000,4986000,1502240000,1502240000,None,146944000,116863000,None,0,0,None,-1500859000,None,2340132000,None,2250418000
2021-09-30,1737177000,None,None,38389000,832423000,34800000,504710000,529647000,302776000,2223265000,-1695109000,-797077000,2051000,857703000,857703000,None,143490000,120067000,None,None,196990000,None,-842629000,None,2223265000,None,2127743000
2021-06-30,1352775000,None,None,906200000,1446473000,20800000,388868000,568451000,878022000,1571459000,-379406000,-747124000,44387000,614286000,614286000,None,146039000,122638000,None,None,0,None,-593010000,None,1571459000,None,1506868000
2021-03-31,530411000,None,None,496001000,1320510000,200950000,313510000,524570000,795940000,987514000,-301994000,-410664000,-1607000,301859000,301859000,None,197696000,123901000,None,None,None,None,-194335000,None,987514000,None,942432000
2020-12-31,491286000,None,None,47138000,473190000,196901000,364138000,166837000,306353000,425866000,-433522000,-310713000,-5872000,0,1000,None,132334000,123019000,None,0,0,None,11845000,None,425866000,None,398843000
2020-09-30,855623000,None,None,354132000,100447000,20700000,401764000,226877000,-126430000,222630000,-615844000,-27245000,-874000,0,0,None,166245000,123017000,None,None,162640000,None,0,None,222630000,None,193415000
2020-06-30,1148762000,None,None,-200371000,-894457000,20700000,360760000,-388460000,-505997000,133153000,-460051000,852426000,11391000,0,0,None,146151000,122679000,None,None,1042995000,None,0,None,133153000,None,108881000
2020-03-31,201206000,None,None,-188782000,166029000,197275000,416557000,124036000,41993000,54379000,-254877000,-228614000,-9183000,39499000,39499000,None,162433000,122940000,None,None,32000000,None,-39499000,None,54379000,None,20331000
2019-12-31,689199000,2884000,None,-105418000,-399441000,192041000,492647000,-163557000,-235884000,134253000,-625510000,-215874000,14719000,101030000,100989000,None,127898000,122792000,None,10253000,0,None,-90736000,None,134253000,None,107823000
2019-09-30,932359000,None,None,76856000,-281410000,22000000,334699000,-85768000,-195642000,293587000,-536232000,-141488000,-12362000,0,0,None,126657000,122796000,None,0,None,None,0,None,293887000,None,275031000
2019-06-30,537147000,None,None,-360285000,-263269000,21200000,361161000,-90057000,-173212000,412277000,-366816000,-289810000,-11351000,124681000,124681000,None,140052000,123074000,None,2755000,None,None,-121926000,None,416077000,None,386483000
2019-03-31,650708000,None,None,-231690000,-129865000,179671000,288786000,-21958000,-107907000,530793000,-265633000,-233238000,13568000,72830000,72830000,None,173802000,123400000,None,3137000,3137000,None,-69693000,None,151837000,None,501806000
2018-12-31,492493000,None,None,32188000,317551000,178623000,357792000,-129685000,447236000,681070000,-397101000,-627120000,5042000,502608000,502605000,None,127079000,120394000,None,-1000,0,None,-502606000,None,681070000,None,646779000
2018-09-30,1030867000,None,None,-6654000,-18697000,22100000,263253000,12704000,-31401000,706287000,-266730000,-310275000,-6339000,181077000,181077000,None,130697000,121333000,None,11822000,0,None,-169255000,None,706587000,None,676656000
2018-06-30,742671000,None,None,505621000,687765000,22100000,189283000,258432000,429333000,713615000,-195076000,174750000,-14869000,141122000,141122000,None,137199000,121862000,None,-3032000,0,None,-144154000,None,726199000,3854000,683153000
2018-03-31,127921000,None,None,72956000,590915000,181118000,172203000,343982000,246933000,380112000,-171162000,-145532000,21203000,29193000,29193000,None,146580000,121787000,None,15312000,0,None,-13881000,None,-188850000,-77000,354179000
2017-12-31,288770000,None,None,-200281000,-133164000,183845000,156243000,-77081000,-56083000,395094000,-182392000,-724768000,2463000,-1000,-1000,None,126899000,121019000,None,1653000,0,None,1654000,None,-626840000,-8450000,383891000
2017-09-30,415707000,None,None,135999000,185578000,23000000,103077000,10130000,175448000,266105000,-161374000,-205898000,11174000,0,0,None,127272000,121598000,None,1882000,0,None,-84348000,None,64591000,16156000,254850000
2017-06-30,-26787000,None,None,-112711000,367870000,23000000,94700000,106191000,261679000,341724000,-90401000,-164538000,-8945000,None,None,None,139277000,121401000,None,-3897000,None,None,-3897000,None,-146406000,1814000,323048000
2017-03-31,9137000,None,None,467858000,810163000,180893000,94535000,290261000,519902000,377648000,-484725000,-147102000,30180000,None,None,None,182847000,121303000,None,7432000,None,None,7432000,None,-388202000,-517000,356899000
2016-12-31,-519116000,None,None,25430000,-266882000,173879000,277404000,-110264000,-156618000,175185000,-79643000,-143870000,-11840000,0,0,None,133188000,120408000,None,9943000,0,None,10024000,None,341254000,-3144000,159639000
2016-09-30,331365000,None,None,-265774000,35935000,18500000,100094000,-70266000,106201000,331365000,-273521000,-115791000,9855000,0,0,None,128497000,120373000,None,3845000,None,None,3845000,None,-76443000,-2849000,305447000
2016-06-30,271369000,None,None,443061000,591549000,17500000,146645000,294014000,297535000,271369000,-639874000,-176717000,-16704000,0,0,None,148980000,120149000,None,0,None,None,1882000,None,-497338000,3740000,243620000
2016-03-31,122497000,None,None,171170000,-10227000,170361000,80697000,104252000,-114479000,122497000,-32080000,-190056000,-14671000,5173000,5173000,None,170006000,120153000,None,None,None,None,-5173000,None,339019000,10296000,87565000
2015-12-31,-15288000,None,None,-446468000,-550203000,175105000,91036000,-326818000,-690757000,-155106000,-144553000,-205869000,-3287000,None,None,None,135824000,119971000,None,1000,0,None,-66504000,None,44044000,-5278000,-187481000
