fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,760658000,202992000,None,123766000,None,475856000,1372052000,None,-125349000,219762000,-2716295000,1795208000,976451000,None,None,None,556114000,556114000,None,1589499000,0,None,1589499000,None,None,None,218405000
2023-09-30,731998000,179832000,None,44785000,None,495566000,2032242000,None,None,233877000,-1991951000,1394747000,1188411000,None,None,None,543343000,543343000,None,873280000,0,0,873280000,None,None,None,233473000
2023-06-30,734879000,183563000,None,78259000,None,472278000,3005598000,-16348000,16347999,197153000,-2968889000,2297577000,983915000,None,None,None,515091000,515091000,None,2180493000,0,0,2180493000,None,63567000,None,195415000
2023-03-31,731234000,149229000,None,38483000,None,451477000,1712595000,42081000,None,226122000,-1677719000,949824000,1090968000,None,None,None,497245000,497245000,None,796190000,1029383000,0,796190000,None,3339000,None,225016000
2022-12-31,630490000,163787000,None,26719000,None,438174000,3912855000,-237362000,237362000,228336000,-3857937000,3103914000,749092000,None,None,None,470736000,470736000,None,2151936000,0,0,2151936000,None,-123533000,None,227265000
2022-09-30,676805000,145723000,None,2912000,None,419016000,1865230000,73819000,-73819000,220287000,-1608644000,1004144000,-121000,None,None,None,458586000,458586000,None,691392000,0,0,691396000,None,72305000,None,219567000
2022-06-30,743082000,129515000,None,10570000,None,409437000,1653397000,151717000,-151717000,223822000,-1502487000,809112000,729060000,None,None,None,445829000,445829000,None,1056606000,0,0,1056602000,None,49707000,None,223207000
2022-03-31,513479000,130505000,None,-45491000,None,403762000,1556135000,-17698000,None,199971000,-1418008000,821073000,676631000,None,None,None,438280000,438280000,None,656094000,0,0,656094000,None,-83456000,None,199369000
2021-12-31,352123000,277543000,None,-36029000,None,333229000,2634061000,8378000,None,4467000,-2834743000,2245104000,-750000000,None,None,None,371179000,371179000,None,1707895000,0,0,0,None,-237516000,None,4041000
2021-09-30,388932000,101231000,None,25105000,None,198832000,1609293000,21300000,None,135276000,-1577376000,1470236000,1033387000,None,None,None,273791000,273791000,None,1615576000,0,0,593940000,None,334108000,None,134996000
2021-06-30,314681000,55300000,None,46162000,None,187789000,1088761000,-46603000,None,124768000,-1031850000,791904000,0,None,None,None,263359000,263359000,None,449664000,0,0,-295000,None,312557000,None,124479000
2021-03-31,266453000,98200000,None,-32019000,None,177985000,1028431000,-21367000,None,96236000,-993726000,69876000,-950000000,None,None,None,260697000,260697000,None,669590000,0,0,669590000,None,-657397000,None,95940000
2020-12-31,305738000,65900000,None,25802000,None,175041000,995213000,-19493000,None,118150000,-920553000,723317000,1227722000,None,None,None,247632000,247632000,None,1094938000,0,0,0,None,293191000,None,117931000
